 	celui	qui	assiste	au	dépeçage	d'	un	animal	s'	en	sort	toujours	avec	une	part	aussi	petite	soit-elle	</S>
a66	0.218217	0.146622	0.0906974	0.043549	0.0399132	0.0534608	0.0634383	0.0556999	0.0497358	0.045294	0.0469761	0.0380773	0.0302929	0.0245309	0.0202884	0.0120073	0.00755408	0.00625691	0.00738907
a87	0.398962	0.19568	0.0582082	0.0400495	0.0267528	0.0257045	0.0202493	0.0176885	0.0260866	0.0234068	0.026092	0.0198244	0.0147831	0.0169326	0.0142444	0.0114345	0.0154178	0.0203706	0.0281118
a23	0.421407	0.232338	0.084847	0.0617991	0.0273916	0.0263767	0.0168727	0.0153402	0.0201319	0.017342	0.0162217	0.0116254	0.00719196	0.00666895	0.00506261	0.00360864	0.00557117	0.00853919	0.0116639
a79	0.328458	0.207597	0.0891719	0.0594997	0.031542	0.0180192	0.0127567	0.0135397	0.0272228	0.0322195	0.0355541	0.0308156	0.0228093	0.0214036	0.0138225	0.00810899	0.00986439	0.0154517	0.0221434
a57	0.218865	0.122683	0.0745208	0.055644	0.0314667	0.0231607	0.0198418	0.0290908	0.0450791	0.0472216	0.0491115	0.0472238	0.0370074	0.0334978	0.0275492	0.0218497	0.0294228	0.0361301	0.0506345
a82	0.185684	0.126453	0.10338	0.0866989	0.0820108	0.0391852	0.0338494	0.0347137	0.0369329	0.0319228	0.0316623	0.0292644	0.0244889	0.0231367	0.0217616	0.0176745	0.025852	0.0274376	0.0378913
a10	0.16427	0.133208	0.137797	0.106173	0.109682	0.0490897	0.0387398	0.0355902	0.0294347	0.0230538	0.0183742	0.0194145	0.019344	0.0189765	0.0195769	0.0180225	0.0202009	0.0197341	0.0193189
a62	0.181564	0.122641	0.13001	0.0904791	0.100121	0.0434332	0.0384833	0.0337837	0.0321212	0.0274497	0.0248756	0.0245218	0.0237041	0.0220595	0.0209852	0.0188784	0.0202474	0.0223278	0.0223141
a12	0.106902	0.149005	0.211207	0.145695	0.0868837	0.0319222	0.0300187	0.0278483	0.0235555	0.0151893	0.0161351	0.0145022	0.0116243	0.0111754	0.0118623	0.0105004	0.0208652	0.0289541	0.0461532
a62	0.0445448	0.0851632	0.184156	0.196136	0.121792	0.0626655	0.0505794	0.0426162	0.0312368	0.0198891	0.0204279	0.0189186	0.0145728	0.0134605	0.012286	0.00985561	0.0175592	0.0232397	0.0309008
a83	0.0407157	0.0699862	0.170421	0.235875	0.165076	0.0822332	0.0566866	0.0420956	0.0271307	0.0180905	0.0161492	0.0148022	0.011556	0.0100466	0.00859659	0.006218	0.00787922	0.00814809	0.00829475
a9	0.0281084	0.0462531	0.113626	0.21033	0.184875	0.1165	0.0755855	0.0557703	0.0348445	0.024451	0.0215478	0.0187799	0.0146979	0.0123047	0.0102355	0.00729085	0.0084821	0.00842406	0.00789387
a50	0.032203	0.0514564	0.0894313	0.151554	0.155099	0.15573	0.0972548	0.0654508	0.0371654	0.026629	0.0226103	0.0191105	0.0151681	0.0134652	0.0118554	0.00996877	0.0144796	0.0159488	0.0154194
a62	0.0240332	0.0265328	0.0509344	0.100864	0.156691	0.142815	0.10325	0.0769934	0.0562448	0.0456117	0.0465899	0.0367694	0.0298073	0.024352	0.0205117	0.0150213	0.0153886	0.0148595	0.0127298
a88	0.0149659	0.0152437	0.03218	0.0884559	0.143352	0.136783	0.112489	0.0991067	0.0726047	0.0568462	0.0561305	0.0431931	0.0337576	0.0261906	0.021754	0.0142764	0.0123076	0.011107	0.00925553
a62	0.00814742	0.00790581	0.0158504	0.0339317	0.0948147	0.149434	0.144092	0.121915	0.0843009	0.0665357	0.0620167	0.0474436	0.0366581	0.0297436	0.0244369	0.0171809	0.0180342	0.0181927	0.0193651
a47	0.00746254	0.00706627	0.0153573	0.0309045	0.0899619	0.145193	0.153729	0.137275	0.0910463	0.069621	0.0609869	0.0468208	0.0356616	0.0285341	0.0238359	0.0153714	0.0142727	0.0134115	0.0134877
a62	0.00790213	0.007114	0.0144163	0.0299698	0.0913056	0.158947	0.156269	0.128891	0.0932516	0.0701009	0.0600083	0.048542	0.0376236	0.0300119	0.0236509	0.0140278	0.0104277	0.00885985	0.00868088
a21	0.00517147	0.00481631	0.00982378	0.0214772	0.0748945	0.141216	0.160895	0.142318	0.102349	0.0788033	0.0667192	0.0523258	0.040113	0.0315833	0.0247614	0.014515	0.0104464	0.00889999	0.00887166
a12	0.00386236	0.00384166	0.00744153	0.0159849	0.0620153	0.138216	0.168172	0.132775	0.0922595	0.0806688	0.0688769	0.0544269	0.0460077	0.0372997	0.0298484	0.0192943	0.0137832	0.0124118	0.0128139
a18	0.00460722	0.0042315	0.00722825	0.017961	0.060058	0.117938	0.143239	0.112338	0.089355	0.0830263	0.0781603	0.0652855	0.0583055	0.0466068	0.0366267	0.0255822	0.0174638	0.0154871	0.0165002
a21	0.00630769	0.00514584	0.00861182	0.0106721	0.0240089	0.07161	0.100208	0.129596	0.127153	0.1105	0.0844331	0.0709758	0.0617453	0.0569688	0.0430912	0.0268875	0.0206362	0.0192021	0.0222469
a47	0.00360974	0.00325518	0.00446774	0.00862991	0.0242655	0.0584405	0.0989392	0.0980894	0.0842933	0.0977693	0.0929984	0.0765366	0.0766856	0.0674931	0.0575199	0.0457008	0.0358012	0.0320876	0.0334171
a31	0.00487869	0.00453524	0.0067094	0.0171336	0.0459865	0.0820962	0.108792	0.102267	0.0885671	0.0902315	0.0821863	0.071693	0.0681783	0.0597734	0.049881	0.0370357	0.0283856	0.0244967	0.0271728
a0	0.00324773	0.00276438	0.00385276	0.00933967	0.0265324	0.0525489	0.0816986	0.085215	0.0834516	0.0948887	0.0940202	0.0859466	0.0858976	0.0759719	0.0641081	0.0498216	0.037125	0.0325817	0.0309875
a75	0.00335212	0.00273276	0.00385379	0.00863723	0.0206918	0.0465175	0.0627125	0.0802118	0.0936039	0.10508	0.0998025	0.0862042	0.0891985	0.0821605	0.0650075	0.0470368	0.0366558	0.0320797	0.0344607
a96	0.000794382	0.000491589	0.000543174	0.00127048	0.00666663	0.0241781	0.0511818	0.0610369	0.0622768	0.0750472	0.0910688	0.0782526	0.0912253	0.0832004	0.0753936	0.0712631	0.0649186	0.0737373	0.0874533
a98	0.00252975	0.0017764	0.00224426	0.00520516	0.0139691	0.0340117	0.0455233	0.0569863	0.0719437	0.085944	0.0898042	0.0818423	0.0969499	0.0933257	0.0842495	0.0711141	0.0537415	0.0498289	0.0590103
a85	0.000782135	0.000461694	0.00052127	0.00119281	0.00572837	0.0208043	0.0392358	0.0554322	0.0689951	0.0799979	0.107724	0.0915821	0.0999195	0.0879835	0.0780165	0.0688631	0.05455	0.0624949	0.0757143
a37	0.000514283	0.000303882	0.000292995	0.000601166	0.00389254	0.015831	0.0317094	0.0519103	0.069603	0.0815167	0.126975	0.106387	0.110698	0.0880748	0.0757561	0.0636123	0.0464479	0.0546143	0.0712589
a5	0.00222828	0.00135485	0.00131494	0.00236429	0.00674053	0.0212711	0.0271092	0.0451719	0.0673088	0.080445	0.104951	0.0975168	0.111829	0.0984929	0.0873956	0.074533	0.0497665	0.0511766	0.0690298
a37	0.00240443	0.00149129	0.00173379	0.00284118	0.00865414	0.027389	0.0378235	0.0465341	0.0618556	0.0800904	0.091246	0.0831088	0.0928112	0.08724	0.0881956	0.0842374	0.0593954	0.0618291	0.0811191
a7	0.00296629	0.00173193	0.00177816	0.00300906	0.00687746	0.0275411	0.0323649	0.0477982	0.0658685	0.0803347	0.089481	0.0835073	0.0876593	0.0863889	0.0789392	0.0762476	0.0593352	0.066562	0.101609
a2	0.00860221	0.00536408	0.00486931	0.00627638	0.00838215	0.0251041	0.0251438	0.0434593	0.0661931	0.0746486	0.0983928	0.106164	0.107185	0.097814	0.0795437	0.0757833	0.0447027	0.0512579	0.0711132
a57	0.0241204	0.0191422	0.0195766	0.0264502	0.0269154	0.0576466	0.0448472	0.0503745	0.0650246	0.0768861	0.103447	0.0980194	0.0862265	0.0711256	0.0559967	0.0531898	0.037605	0.0397649	0.043641
a87	0.0266573	0.0173074	0.0171514	0.0217352	0.0239698	0.0543055	0.0526715	0.0572494	0.0673446	0.0794221	0.089974	0.085292	0.0832383	0.0740641	0.0607769	0.0526935	0.0435259	0.0462459	0.0463752
a23	0.0580325	0.0251943	0.0132789	0.0156271	0.0146667	0.0472013	0.057749	0.0844106	0.071701	0.0665504	0.0637317	0.0639051	0.0595094	0.056032	0.0519982	0.0460037	0.0661185	0.0752585	0.0630312
