 	lève	la	main	en	l'	air	</S>
a87	0.326593	0.132795	0.0850924	0.0683986	0.0923821	0.184405	0.110335
a23	0.157354	0.0744277	0.115047	0.119467	0.160215	0.208566	0.164923
a87	0.344393	0.142399	0.130797	0.104682	0.0982796	0.104768	0.0746811
a23	0.300499	0.14895	0.121109	0.106827	0.110072	0.134036	0.078507
a10	0.349138	0.191022	0.12407	0.0789027	0.0713881	0.115496	0.0699822
a11	0.401615	0.183958	0.0865489	0.0477654	0.0436938	0.132866	0.103554
a75	0.380369	0.216648	0.118536	0.0823938	0.0477527	0.0922568	0.0620441
a41	0.243301	0.230292	0.185647	0.151612	0.0674531	0.078661	0.0430334
a35	0.266148	0.248784	0.195977	0.139933	0.0613279	0.0585063	0.0293231
a66	0.234568	0.229395	0.201783	0.152047	0.0794387	0.070414	0.0323538
a75	0.157346	0.145523	0.144694	0.144739	0.124282	0.174681	0.108733
a41	0.176229	0.158797	0.151839	0.161772	0.136582	0.136015	0.0787659
a26	0.161837	0.127392	0.123332	0.128079	0.135338	0.197727	0.126294
a76	0.0524919	0.0449676	0.0558517	0.0910355	0.174272	0.335314	0.246068
a20	0.0506035	0.0410708	0.0517603	0.0866743	0.17149	0.31335	0.285052
a14	0.035961	0.024131	0.0289133	0.0509392	0.157034	0.323821	0.3792
a35	0.024767	0.0186003	0.0246645	0.0431862	0.134823	0.299622	0.454338
a24	0.0165066	0.0120119	0.0142651	0.0230901	0.0817831	0.262149	0.590194
a25	0.00820649	0.00620805	0.00779005	0.0136132	0.0597501	0.229124	0.675308
a87	0.00409926	0.0024166	0.00296112	0.00812165	0.0489753	0.196073	0.737353
a79	0.00233695	0.00145438	0.00174941	0.00404243	0.0287439	0.156096	0.805577
a90	0.00503223	0.00220466	0.00285407	0.00767503	0.0555265	0.262828	0.66388
a93	0.00664336	0.00316896	0.00418494	0.00905873	0.0531326	0.227838	0.695974
a4	0.00513619	0.0028174	0.00434247	0.0102829	0.0518167	0.179305	0.7463
a13	0.0058932	0.00246212	0.0038444	0.00979571	0.059133	0.201222	0.71765
a9	0.0176688	0.0076521	0.00984288	0.0160188	0.0593377	0.183289	0.70619
a87	0.0234072	0.0116623	0.0153165	0.0217126	0.0667783	0.200722	0.660401
</S>	0.016734	0.00980908	0.011067	0.0156182	0.061728	0.247702	0.637341
