 	la	manière	dont	je	me	suis	fait	baisée	hier	était	fantastique	</S>
a15	0.109593	0.0762841	0.063233	0.0678412	0.120048	0.161742	0.16539	0.131112	0.0592986	0.0264581	0.0108868	0.00811424
a66	0.343679	0.163848	0.142117	0.100185	0.0671558	0.0507937	0.0409215	0.0368183	0.0189249	0.0145228	0.0101821	0.0108527
a87	0.199759	0.11969	0.112585	0.126677	0.0740861	0.0628048	0.0498033	0.0385544	0.0221634	0.0373213	0.0748775	0.0816777
a23	0.28317	0.171686	0.155138	0.122273	0.0640253	0.0563175	0.0422638	0.0334995	0.0148991	0.0160502	0.0189924	0.0216856
a10	0.288381	0.208998	0.177129	0.116945	0.0450986	0.0414538	0.0287592	0.0238714	0.0126938	0.0102789	0.0159111	0.0304792
a38	0.245039	0.209177	0.18063	0.120192	0.0496423	0.043325	0.0295615	0.0324989	0.0258275	0.0205275	0.0183406	0.0252388
a44	0.282188	0.229378	0.178139	0.0934128	0.0433783	0.0294751	0.0189285	0.0160319	0.0201721	0.0236735	0.0285844	0.036638
a26	0.306458	0.277499	0.181757	0.0764593	0.0410567	0.0222319	0.0110781	0.00811144	0.0110517	0.0174219	0.0228432	0.0240321
a7	0.187105	0.280146	0.208315	0.110062	0.0609339	0.0363454	0.0180912	0.0150872	0.0163698	0.0219908	0.0230448	0.0225086
a0	0.156321	0.230789	0.182933	0.109044	0.0699013	0.0482669	0.0257148	0.0235011	0.0223847	0.0303388	0.0472675	0.0535383
a75	0.107453	0.181602	0.196071	0.146613	0.0807277	0.0688804	0.0364978	0.0323807	0.030633	0.0311395	0.044069	0.0439327
a47	0.0747801	0.146569	0.160371	0.127641	0.105805	0.0784636	0.0462948	0.0448538	0.0394496	0.048704	0.0627331	0.0643348
a37	0.0534786	0.105605	0.135251	0.137789	0.122724	0.0991843	0.0533775	0.0390381	0.0300635	0.0396783	0.0756451	0.108166
a92	0.0625121	0.0858441	0.123871	0.158862	0.141367	0.13325	0.0826699	0.0581951	0.0373653	0.0280328	0.0400902	0.0479401
a37	0.0247862	0.0374463	0.0669129	0.124775	0.157902	0.165302	0.12019	0.0952569	0.0706721	0.0425948	0.0415782	0.0525843
a11	0.0237699	0.0266357	0.0492494	0.111193	0.150626	0.181619	0.14874	0.110731	0.0682364	0.0354863	0.0394993	0.0542132
a34	0.0171349	0.0132651	0.022563	0.059268	0.105387	0.171247	0.174724	0.170161	0.100317	0.051525	0.0519024	0.062507
a70	0.00971745	0.0102099	0.0142648	0.0448942	0.0968257	0.189953	0.191816	0.157419	0.0978575	0.0527921	0.0595832	0.0746683
a83	0.00819693	0.00793197	0.0115772	0.0286509	0.0651612	0.164676	0.206982	0.203953	0.111719	0.0570782	0.0596181	0.0744557
a71	0.0084398	0.00795842	0.0120277	0.0234497	0.04646	0.127034	0.186466	0.242852	0.140685	0.0660248	0.060776	0.0778256
a9	0.0126288	0.0104838	0.0153444	0.0234016	0.0444575	0.112622	0.187531	0.289198	0.152017	0.0589475	0.0464972	0.0468717
a99	0.0141835	0.011773	0.015589	0.0206625	0.0344856	0.0855932	0.168763	0.313556	0.163836	0.0712151	0.0528671	0.0474756
a87	0.0240854	0.0167603	0.0192757	0.022482	0.0308996	0.0648073	0.135066	0.296098	0.148002	0.0715691	0.0753366	0.095618
a23	0.108665	0.0556682	0.0439703	0.0334499	0.0408251	0.0578148	0.090087	0.145451	0.120965	0.11243	0.0990441	0.0916307
a13	0.05366	0.0205424	0.0218753	0.0203392	0.0363833	0.0498821	0.0734118	0.119824	0.149047	0.149991	0.126877	0.178168
a57	0.00444112	0.00314584	0.00391725	0.00557686	0.00953582	0.0144792	0.0191498	0.0350372	0.0747694	0.152938	0.27312	0.40389
a30	0.00347903	0.00266115	0.00410816	0.00630965	0.00997243	0.0148892	0.0214654	0.043531	0.0908464	0.152279	0.259462	0.390997
a93	0.00296805	0.00245223	0.00336783	0.00529293	0.00879139	0.0134165	0.0192408	0.0378286	0.0719957	0.141253	0.278647	0.414746
a70	0.00163653	0.00113662	0.00127858	0.00208915	0.00447582	0.0104801	0.015452	0.0273514	0.0552794	0.138519	0.359531	0.382771
a83	0.00288235	0.00253758	0.00276284	0.00430096	0.0076791	0.0180265	0.0237587	0.0340167	0.0515781	0.113257	0.348207	0.390993
a54	0.00243454	0.00179794	0.00201936	0.00354237	0.00666419	0.0180779	0.0299979	0.0485885	0.0641156	0.12334	0.343204	0.356217
a79	0.000550524	0.000720389	0.00115164	0.00220741	0.00428148	0.0115176	0.0229059	0.0425523	0.0641036	0.11431	0.315929	0.419771
a6	0.000630443	0.000800344	0.00116661	0.0023429	0.00505386	0.0134956	0.0242644	0.0333918	0.0469525	0.0871442	0.314364	0.470394
a36	0.00073314	0.000801583	0.00106937	0.00251095	0.00545567	0.0142004	0.0286204	0.0404487	0.0500856	0.0833273	0.271045	0.501702
a62	0.000330666	0.000251383	0.000296755	0.000661713	0.00154237	0.00420398	0.011963	0.0228302	0.0400237	0.0941764	0.291471	0.532249
a88	0.000271871	0.000202178	0.000249047	0.000565394	0.00135732	0.00400601	0.0110776	0.0230853	0.0355258	0.0814082	0.283952	0.558299
a38	0.000273659	0.000205293	0.000271835	0.000570198	0.00123786	0.00321103	0.00879402	0.021997	0.0313317	0.0642357	0.256952	0.61092
a25	0.000482118	0.000324004	0.000467146	0.000938041	0.00197902	0.00419469	0.00927529	0.0258886	0.0356354	0.0682034	0.243686	0.608926
a87	0.00118519	0.000797242	0.0010058	0.00120088	0.00170573	0.00259988	0.00645754	0.026076	0.0441446	0.0977444	0.268817	0.548266
a23	0.0606668	0.0172593	0.0178762	0.0164208	0.0238738	0.0242822	0.0513387	0.0934711	0.140007	0.149322	0.188373	0.217109
a87	0.0120092	0.00316469	0.00269586	0.00358826	0.00629673	0.00822156	0.0176948	0.0302256	0.0404933	0.0833591	0.323208	0.469043
</S>	0.00735968	0.00245103	0.00260553	0.0036996	0.00821353	0.014687	0.0261039	0.0307031	0.0263205	0.0532584	0.271732	0.552866
