 	les	poissons	mangent	les	escargots	</S>
a66	0.561287	0.281003	0.102827	0.0256083	0.0144538	0.0148208
a87	0.491367	0.233226	0.118366	0.0478507	0.0393295	0.0698616
a23	0.405172	0.255935	0.189896	0.0576429	0.0390151	0.0523394
a40	0.34637	0.209707	0.207057	0.0844132	0.073395	0.079058
a36	0.497271	0.287694	0.124491	0.0373683	0.0239658	0.0292102
a11	0.457216	0.326306	0.153684	0.036965	0.0171368	0.00869298
a75	0.427693	0.332335	0.171225	0.0408136	0.0179521	0.00998041
a56	0.261337	0.324068	0.258251	0.0893807	0.0406716	0.0262921
a96	0.236979	0.286788	0.267223	0.10554	0.0651172	0.0383529
a98	0.189784	0.265224	0.271073	0.130527	0.083425	0.0599672
a47	0.119037	0.206995	0.239481	0.174177	0.129507	0.130803
a36	0.0745702	0.133354	0.217807	0.194893	0.16286	0.216517
a75	0.0507541	0.0663663	0.11034	0.182014	0.228083	0.362443
a47	0.0341196	0.0506024	0.093994	0.180683	0.222801	0.4178
a36	0.00229434	0.00498355	0.0162436	0.0702524	0.193191	0.713035
a7	0.00272476	0.00359381	0.00753938	0.0348744	0.176898	0.77437
a90	0.00166418	0.00245052	0.00598373	0.0219237	0.125038	0.84294
a69	0.00242079	0.00419816	0.00993359	0.0332663	0.138976	0.811205
a58	0.000370923	0.000962789	0.00350082	0.0192531	0.114029	0.861884
a57	0.00374092	0.00463506	0.00753762	0.0243413	0.120925	0.83882
a82	0.061247	0.0402805	0.0512116	0.0744974	0.159267	0.613496
a87	0.230029	0.137188	0.102376	0.106872	0.128081	0.295454
a23	0.176321	0.112604	0.0874925	0.09876	0.137404	0.387418
a97	0.00550069	0.00528293	0.0131327	0.0438228	0.220032	0.712229
a87	0.0029969	0.00444039	0.0178664	0.0546934	0.202465	0.717537
a99	0.00462167	0.00527682	0.0137337	0.0352054	0.132177	0.808985
a97	0.00178764	0.00279738	0.0119932	0.0464892	0.251112	0.685821
</S>	0.00365121	0.00557663	0.0235273	0.0683861	0.244865	0.653994
