 	dans	le	district	de	boundji	on	ne	trouve	plus	de	lieu	sacré	kwebhe	</S>
a66	0.0696252	0.0676168	0.0550318	0.0384579	0.0365752	0.0469774	0.0871745	0.117112	0.17717	0.184614	0.0836313	0.024965	0.00709408	0.00395458
a87	0.220938	0.113401	0.057866	0.0223038	0.0190955	0.0220342	0.0391549	0.0662551	0.0949135	0.154344	0.113093	0.0502429	0.0206681	0.00569018
a23	0.241254	0.157141	0.071269	0.0397496	0.0280896	0.026097	0.0359643	0.0566017	0.0797013	0.0997228	0.095421	0.0513293	0.0133215	0.0043378
a99	0.320557	0.197501	0.089151	0.0558872	0.0478367	0.0415667	0.0533936	0.0479011	0.0403801	0.0334849	0.0332967	0.0232013	0.00989784	0.00594437
a30	0.219049	0.12958	0.100691	0.0864075	0.0897403	0.0738538	0.0752866	0.0530147	0.0332935	0.0241305	0.0327765	0.0467146	0.0231149	0.0123468
a93	0.15075	0.111627	0.103584	0.111417	0.126439	0.0966164	0.0877245	0.0479783	0.0268821	0.0217796	0.0354581	0.0416982	0.0275735	0.0104726
a70	0.14738	0.137454	0.0893311	0.0567242	0.053773	0.0500393	0.0430532	0.0382004	0.0434721	0.0645565	0.103723	0.103405	0.0590313	0.00985705
a75	0.0809176	0.0950844	0.112326	0.0958465	0.076344	0.0558519	0.0434375	0.0447388	0.0482438	0.0511931	0.0604467	0.0889504	0.115506	0.0311134
a85	0.0571424	0.0662531	0.0788937	0.0623311	0.0551706	0.0433618	0.0360381	0.0415488	0.0522626	0.0546764	0.064478	0.107764	0.223691	0.0563886
a6	0.0381932	0.0409329	0.0592263	0.0536486	0.0480976	0.0470225	0.0473068	0.0675498	0.0871644	0.0890297	0.0718616	0.0993998	0.166466	0.0841004
a5	0.0652337	0.0724467	0.0813694	0.0737894	0.0665132	0.0584697	0.0579779	0.0706387	0.0846848	0.0723734	0.052024	0.0606551	0.0990833	0.0847408
a37	0.0550078	0.0548197	0.0707489	0.0719065	0.083974	0.093412	0.0987623	0.106631	0.100178	0.0610226	0.0325376	0.0385283	0.0713637	0.0611079
a26	0.0248423	0.0274555	0.038231	0.0447506	0.0768616	0.110281	0.161934	0.161463	0.122453	0.0573353	0.0240145	0.0270635	0.064308	0.0590066
a75	0.0433097	0.0613656	0.0607905	0.0644055	0.108036	0.116596	0.16398	0.0870542	0.0557026	0.0312905	0.0292042	0.0369238	0.0917051	0.0496366
a21	0.0164589	0.0166504	0.0223759	0.0227948	0.0384522	0.067635	0.121928	0.140573	0.113273	0.0763078	0.0286467	0.0427989	0.120795	0.171309
a5	0.0152443	0.0151357	0.0175049	0.0178954	0.0288874	0.0607073	0.123319	0.155259	0.123042	0.0721755	0.0288052	0.0368272	0.120987	0.184211
a75	0.0175909	0.0178874	0.0173676	0.018295	0.0323007	0.0667999	0.133578	0.151176	0.107916	0.0731686	0.027258	0.0374015	0.12218	0.177081
a6	0.0112668	0.0111273	0.012022	0.0123275	0.0204533	0.0400176	0.0911878	0.100643	0.0741279	0.0570801	0.0237874	0.0391741	0.176897	0.329888
a36	0.00755438	0.00690101	0.00747607	0.00774432	0.0130576	0.0257085	0.0586973	0.0589012	0.0459743	0.040628	0.0201519	0.0360111	0.181961	0.489234
a2	0.0529899	0.0491427	0.0395369	0.0382524	0.0430719	0.0496858	0.0616391	0.0423907	0.038762	0.0376016	0.0263251	0.0466858	0.119988	0.353928
a57	0.0512916	0.0450728	0.0396158	0.0349211	0.0500548	0.0706682	0.0958222	0.101548	0.0916875	0.0573273	0.0429126	0.0482511	0.0977511	0.173076
a87	0.118905	0.0695894	0.0404671	0.0293369	0.0318288	0.0371866	0.0459265	0.0581725	0.0708966	0.10645	0.100512	0.0634844	0.0840431	0.143202
a23	0.139019	0.095427	0.0487878	0.0258819	0.0156373	0.0125148	0.0138541	0.0245625	0.0462378	0.139893	0.157941	0.0778725	0.0805388	0.121833
a87	0.0767809	0.0498879	0.0218321	0.0126812	0.00963606	0.00797103	0.0122272	0.020709	0.0437406	0.176788	0.26406	0.129075	0.0759329	0.0986774
a23	0.0447034	0.0265261	0.0104479	0.00573546	0.00425401	0.00402222	0.00641586	0.0118931	0.0267828	0.109019	0.154593	0.0899829	0.124902	0.380722
a87	0.0747561	0.0442694	0.0220115	0.0152407	0.0126811	0.00981257	0.0147958	0.0263428	0.0540253	0.13792	0.152355	0.0790991	0.133284	0.223407
a23	0.0547515	0.0317649	0.0136817	0.00820488	0.00626291	0.00517342	0.00806831	0.0147599	0.0322751	0.0993569	0.121512	0.0762034	0.165846	0.362139
a87	0.0739161	0.0460997	0.0243539	0.017684	0.0161158	0.0142949	0.0214937	0.0322417	0.0512348	0.120245	0.120706	0.068208	0.126581	0.266825
</S>	0.0637179	0.0407498	0.0188305	0.0117146	0.00881709	0.00747421	0.012306	0.0232226	0.0456704	0.111204	0.112479	0.0691499	0.135247	0.339417
