 	cette	parcelle-ci	est	la	mienne	</S>
a66	0.380133	0.207571	0.135871	0.109035	0.0913057	0.0760839
a87	0.553421	0.247262	0.106964	0.048549	0.0249772	0.0188269
a23	0.54415	0.276011	0.106577	0.0451255	0.0186878	0.00944745
a87	0.453463	0.357251	0.111828	0.0455414	0.019039	0.0128778
a23	0.479327	0.355772	0.0996236	0.0376584	0.015666	0.0119523
a87	0.502296	0.32231	0.0970586	0.0364746	0.0227146	0.0191458
a23	0.482128	0.345804	0.0969144	0.0404966	0.0188611	0.0157957
a99	0.514868	0.261015	0.106147	0.0539755	0.033334	0.0306601
a66	0.361411	0.297938	0.169072	0.0884775	0.0458081	0.0372935
a38	0.269206	0.412906	0.148623	0.0932647	0.0401375	0.0358626
a70	0.20407	0.432906	0.153387	0.116432	0.0512759	0.0419298
a99	0.109146	0.248754	0.194991	0.216126	0.138356	0.0926263
a70	0.114238	0.237207	0.209854	0.219553	0.133368	0.0857796
a62	0.0780919	0.133071	0.196224	0.224085	0.204717	0.163811
a12	0.0257245	0.0518333	0.146795	0.217644	0.304058	0.253945
a41	0.0133588	0.0255846	0.088276	0.155054	0.336661	0.381066
a56	0.0183384	0.0278778	0.0954657	0.161005	0.322531	0.374782
a96	0.00888166	0.0124206	0.0516768	0.105405	0.328798	0.492818
a54	0.0018311	0.00276656	0.0203622	0.0559325	0.346709	0.572399
a37	0.00661323	0.0077525	0.0325401	0.069144	0.288538	0.595412
a26	0.00403744	0.00552636	0.0277346	0.0627425	0.25771	0.642249
a10	0.0271478	0.0164101	0.0315089	0.0554904	0.185859	0.683584
a82	0.285815	0.108249	0.0764781	0.0660708	0.102306	0.361081
a97	0.388852	0.184794	0.102922	0.0676073	0.068806	0.187019
a87	0.457578	0.226748	0.0831221	0.0520346	0.0537634	0.126754
a97	0.403459	0.255725	0.107323	0.0676115	0.0601344	0.105747
a87	0.320235	0.282228	0.137962	0.092866	0.0752894	0.0914194
a23	0.279765	0.30703	0.160642	0.100955	0.0720713	0.0795354
a87	0.371743	0.285905	0.142506	0.0772327	0.0586432	0.0639706
a97	0.369538	0.199751	0.142554	0.100741	0.0919307	0.095485
a10	0.365524	0.188846	0.145119	0.0922173	0.0958485	0.112446
a9	0.293446	0.228081	0.168295	0.102481	0.0968073	0.11089
a10	0.245352	0.227693	0.190706	0.111542	0.099601	0.125105
</S>	0.195486	0.235906	0.222681	0.137572	0.100377	0.107979
