 	un	troupeau	de	sangliers	est	entré	dans	ce	bosquet	</S>
a66	0.251622	0.186336	0.145825	0.13144	0.110761	0.0584575	0.0593612	0.0278165	0.016218	0.0121641
a87	0.245545	0.11676	0.0806308	0.0704782	0.0646313	0.104244	0.0995686	0.0720292	0.0829107	0.0632021
a97	0.223721	0.0773365	0.0557344	0.0560968	0.111633	0.160906	0.149038	0.078916	0.0437764	0.0428412
a83	0.170975	0.0615887	0.0546415	0.0650188	0.143651	0.173506	0.155651	0.0941184	0.0414115	0.0394377
a44	0.239537	0.127131	0.1015	0.110709	0.100457	0.0748267	0.0882658	0.0635734	0.055382	0.0386187
a54	0.39438	0.205431	0.123766	0.0974227	0.05951	0.0293611	0.0322623	0.0239601	0.0228693	0.0110376
a47	0.189014	0.155706	0.138782	0.145357	0.0979911	0.0661648	0.0663674	0.0563862	0.0575129	0.0267195
a85	0.145597	0.14774	0.157437	0.162211	0.100809	0.0579873	0.0592464	0.0509874	0.0687217	0.0492632
a6	0.182412	0.165032	0.150504	0.138904	0.0952245	0.0533396	0.0510336	0.0431123	0.0646174	0.0558215
a0	0.181259	0.156249	0.140847	0.124963	0.0978326	0.0638744	0.0565923	0.0472709	0.0664501	0.0646609
a56	0.113598	0.109073	0.118763	0.121101	0.11524	0.0874845	0.0774397	0.0715332	0.091278	0.0944891
a96	0.106306	0.103103	0.113596	0.115831	0.120487	0.105055	0.0909027	0.0802827	0.0909183	0.0735173
a83	0.0644028	0.0842905	0.10439	0.107321	0.122103	0.124443	0.109603	0.0975353	0.102698	0.0832143
a62	0.0355198	0.056057	0.0889882	0.103891	0.126175	0.136684	0.131282	0.1249	0.119832	0.0766697
a96	0.0290594	0.0504511	0.0912086	0.103995	0.123504	0.133736	0.136702	0.130391	0.120859	0.0800938
a18	0.0132122	0.02426	0.0554914	0.0731354	0.103692	0.133101	0.142189	0.164681	0.179022	0.111217
a66	0.00891201	0.0140429	0.0300586	0.0425291	0.0789376	0.129068	0.135395	0.199691	0.225499	0.135866
a44	0.00761432	0.0122851	0.026068	0.0371763	0.0728882	0.126403	0.125999	0.193236	0.209887	0.188443
a56	0.00524347	0.00901544	0.0185042	0.0265876	0.0539663	0.11631	0.11277	0.184278	0.223587	0.249738
a21	0.00383606	0.00805531	0.0152977	0.0186956	0.0340716	0.091909	0.082035	0.147339	0.246851	0.35191
a5	0.00142273	0.00255231	0.00461126	0.00563766	0.0117685	0.0411997	0.038226	0.0978202	0.268848	0.527914
a43	0.000616693	0.00160158	0.00357194	0.00473482	0.00947025	0.0344134	0.03291	0.0994195	0.254005	0.559257
a75	0.00106527	0.00225206	0.00444785	0.00633062	0.0109516	0.0409938	0.0430972	0.116012	0.201584	0.573265
a6	0.000332644	0.000693674	0.00130396	0.00169335	0.00295156	0.0131774	0.0124878	0.0460335	0.159	0.762326
a5	0.000410318	0.000864863	0.00150147	0.00187498	0.00326414	0.0139895	0.0127038	0.0464268	0.158118	0.760846
a12	0.00119434	0.00248072	0.0040171	0.00495023	0.00624862	0.0185489	0.0163912	0.0462516	0.147614	0.752303
a18	0.000654832	0.0014097	0.00223319	0.00262315	0.00326768	0.0103119	0.00985195	0.0302369	0.121382	0.818029
a25	0.0062378	0.0107133	0.0154467	0.0203124	0.0194191	0.0364684	0.0329405	0.0537628	0.131529	0.67317
a87	0.0761169	0.0647909	0.0583257	0.0566546	0.0446751	0.0703122	0.0621229	0.0745199	0.142319	0.350163
a23	0.176076	0.0732936	0.0488747	0.042829	0.0432537	0.0954113	0.0769578	0.0835065	0.119249	0.240548
a87	0.0526321	0.0241636	0.0180346	0.014845	0.0185059	0.0587294	0.0486779	0.0755374	0.182692	0.506182
a97	0.00836186	0.00443985	0.00536361	0.0062338	0.0107799	0.0434658	0.0357592	0.0580507	0.185779	0.641766
</S>	0.023336	0.0148793	0.0200484	0.0248165	0.0386743	0.0738323	0.0687669	0.0885743	0.163132	0.48394
