 	le	chauffeur	tourne	le	volant	pour	garer	sa	voiture	</S>
a66	0.336979	0.245063	0.113164	0.0692479	0.0576531	0.0408639	0.0364357	0.0371634	0.0323691	0.0310606
a87	0.254624	0.204662	0.0938425	0.0899	0.0744997	0.0820748	0.0580089	0.0601337	0.0488402	0.0334147
a97	0.346122	0.278315	0.1187	0.082374	0.0725585	0.0399321	0.0176066	0.0125856	0.0153728	0.0164337
a30	0.389547	0.29035	0.111481	0.0683684	0.0627229	0.0353708	0.0119694	0.00867348	0.0105087	0.0110089
a44	0.465134	0.272136	0.0804831	0.0540079	0.0488089	0.0271574	0.0112398	0.00959576	0.0143054	0.0171318
a56	0.471798	0.238164	0.100422	0.0538308	0.0384845	0.0177106	0.00928712	0.0104289	0.0199223	0.0399519
a70	0.456286	0.205755	0.149435	0.0716308	0.0534916	0.0229565	0.0129965	0.00646136	0.00811416	0.0128721
a61	0.243441	0.182246	0.205094	0.123003	0.0891154	0.0502925	0.0363314	0.0183015	0.0233491	0.0288258
a43	0.101268	0.111365	0.174812	0.125075	0.11627	0.0871587	0.103903	0.0551294	0.0564621	0.0685582
a54	0.100874	0.100439	0.173805	0.116598	0.109817	0.0837002	0.111777	0.0624647	0.0609692	0.0795561
a79	0.0990745	0.104896	0.170324	0.13322	0.112772	0.0822411	0.0944242	0.0564887	0.061297	0.0852626
a44	0.104094	0.108771	0.166596	0.121845	0.103871	0.07177	0.0883003	0.0621456	0.0667775	0.10583
a40	0.0576944	0.0782246	0.147452	0.118254	0.103292	0.0807723	0.129525	0.085057	0.0803696	0.119359
a79	0.047071	0.0791837	0.138418	0.120267	0.111875	0.0789332	0.113589	0.0930784	0.0847684	0.132816
a90	0.039845	0.075845	0.132815	0.113942	0.106218	0.0774534	0.116007	0.109347	0.0942762	0.134252
a93	0.0365702	0.072291	0.13444	0.116754	0.112304	0.0905586	0.141865	0.109705	0.0840021	0.10151
a4	0.0210999	0.0463987	0.104985	0.0972473	0.105938	0.103984	0.184205	0.13106	0.0891741	0.115908
a94	0.0183286	0.0429759	0.0981272	0.0981419	0.110944	0.108122	0.172085	0.134153	0.0970041	0.120119
a96	0.0123883	0.0313877	0.0808818	0.0911395	0.107977	0.10508	0.16948	0.141363	0.11317	0.147133
a75	0.00896232	0.0235252	0.0627622	0.075596	0.0919264	0.108304	0.190089	0.155073	0.11923	0.164531
a85	0.00963168	0.0234265	0.0641152	0.0765427	0.0964972	0.0989376	0.163169	0.144532	0.139615	0.183533
a41	0.030096	0.0426786	0.0879684	0.0949921	0.116188	0.0955324	0.113233	0.104999	0.117545	0.196768
a61	0.0113241	0.0197329	0.0508407	0.0670912	0.0961364	0.106265	0.161969	0.130694	0.127613	0.228334
a34	0.00489135	0.00899538	0.0235134	0.0362677	0.0549421	0.101054	0.209214	0.165945	0.147186	0.247992
a75	0.00486364	0.0086032	0.0197798	0.0289126	0.0442326	0.0842035	0.18466	0.159976	0.156	0.308768
a41	0.0127362	0.0216435	0.0426969	0.05027	0.0655434	0.0807859	0.140834	0.125802	0.149662	0.310026
a61	0.00856435	0.0138502	0.0308153	0.0438774	0.0629648	0.0825916	0.142244	0.132154	0.149599	0.333338
a18	0.00446733	0.00764425	0.0172167	0.0232428	0.0356996	0.0673524	0.1542	0.14851	0.162238	0.379429
a11	0.00117737	0.00163974	0.00330793	0.00647447	0.012345	0.0379412	0.0853042	0.148928	0.222994	0.479889
a70	0.00101623	0.00145902	0.00276517	0.00556473	0.0105205	0.0340039	0.0807444	0.140015	0.210377	0.513534
a83	0.00102797	0.00178059	0.00378908	0.00656628	0.0109847	0.0284569	0.0841792	0.127737	0.191118	0.54436
a56	0.000539028	0.000878172	0.00171785	0.00306876	0.00529902	0.0160334	0.0491694	0.10591	0.186469	0.630916
a70	0.000956402	0.00160349	0.00307549	0.00505493	0.00808251	0.0205049	0.0635463	0.11006	0.189908	0.597208
a50	0.000572355	0.000918375	0.00162412	0.00270668	0.00429308	0.012096	0.0391391	0.0908391	0.179098	0.668713
a88	0.000497401	0.000688323	0.00109588	0.00173171	0.00255798	0.00882494	0.033671	0.0932563	0.195346	0.66233
a38	0.000206717	0.000302073	0.000519866	0.0010327	0.0016393	0.006329	0.0230219	0.0835153	0.203915	0.679518
a5	0.000250242	0.000321138	0.00048303	0.000954075	0.00150846	0.00556677	0.0205382	0.0818961	0.22317	0.665313
a96	0.00128087	0.00131294	0.0017866	0.00309064	0.0051492	0.0131349	0.035984	0.0895624	0.235221	0.613478
a0	0.000456888	0.000517075	0.000753394	0.00133408	0.00224662	0.00666021	0.0198029	0.0600804	0.183721	0.724428
a54	0.000385401	0.000465148	0.000631334	0.00114773	0.00175844	0.00545709	0.0145642	0.0576109	0.184522	0.733458
a44	0.000454329	0.00073661	0.00108012	0.00193054	0.00284074	0.00568788	0.0148457	0.0520125	0.172814	0.747598
a79	0.000183248	0.000246047	0.000361675	0.000727056	0.00115433	0.00339606	0.00957972	0.042523	0.174557	0.767272
a44	0.000304987	0.00049198	0.000841805	0.00156375	0.00255787	0.00632069	0.0165374	0.0615571	0.187374	0.722451
a53	0.000117542	0.000164307	0.000286919	0.000615296	0.00102794	0.0028508	0.00937875	0.0439337	0.17503	0.766595
a44	0.000321052	0.000394598	0.000643899	0.0012318	0.00204848	0.00525682	0.016526	0.062139	0.202264	0.709174
a70	0.000294782	0.000329875	0.000442408	0.000839229	0.001326	0.00368781	0.0107776	0.0472015	0.183936	0.751164
a83	0.000695008	0.000713371	0.000887349	0.00152918	0.00220386	0.00598539	0.0153997	0.0546764	0.201753	0.716156
a71	0.000657454	0.000739909	0.00105486	0.00185816	0.00242913	0.0066135	0.0175504	0.0713604	0.228227	0.669509
a9	0.00151979	0.00132462	0.00181412	0.00319802	0.00422529	0.00888816	0.0235067	0.0925643	0.220605	0.642354
a82	0.00886537	0.00592313	0.0063356	0.0092424	0.0109961	0.0180585	0.0411326	0.110611	0.254124	0.534711
a3	0.0366508	0.0212442	0.0175199	0.0250922	0.0266976	0.0383766	0.0507522	0.113581	0.256197	0.413888
a10	0.0681344	0.040303	0.0304321	0.0399867	0.0427561	0.0631908	0.065513	0.107363	0.229392	0.312929
a82	0.0743864	0.0491556	0.0417243	0.0516431	0.061408	0.0911867	0.0923665	0.118901	0.185491	0.233738
</S>	0.0660108	0.0572886	0.0660903	0.0821757	0.102182	0.12113	0.106791	0.118419	0.139185	0.140728
