 	je	reviens	du	marché	</S>
a66	0.596213	0.174449	0.0894988	0.0659971	0.0738419
a87	0.198209	0.189325	0.214497	0.228369	0.1696
a10	0.428132	0.249654	0.156741	0.11239	0.0530825
a87	0.52871	0.251393	0.111286	0.0715099	0.0371004
a97	0.522683	0.250484	0.113528	0.0745888	0.0387165
a13	0.488807	0.230653	0.12711	0.0973886	0.0560408
a62	0.550163	0.259602	0.111535	0.0552596	0.023441
a12	0.55662	0.259759	0.110789	0.0470358	0.0257957
a94	0.413986	0.32464	0.141253	0.0772725	0.0428486
a93	0.230121	0.300936	0.227882	0.161929	0.0791318
a70	0.11254	0.160789	0.230857	0.316046	0.179768
a11	0.0514743	0.0585	0.139959	0.335509	0.414557
a21	0.0113103	0.0138253	0.0645271	0.257606	0.652731
a5	0.00419678	0.00607011	0.0321233	0.173204	0.784406
a37	0.00361579	0.00500556	0.0258712	0.130907	0.8346
a61	0.00725513	0.00975477	0.043662	0.141299	0.798029
a66	0.00801415	0.0110757	0.0503974	0.162542	0.767971
a71	0.0192465	0.0243188	0.0726828	0.178004	0.705748
a9	0.078416	0.056192	0.0911269	0.179849	0.594416
a97	0.340917	0.14956	0.139484	0.165075	0.204963
a87	0.259604	0.187777	0.187756	0.205365	0.159499
a97	0.176497	0.119214	0.170363	0.262616	0.27131
</S>	0.107639	0.0955451	0.162432	0.286466	0.347918
