 	il	ne	peut	pas	s'	empêcher	de	bouder	</S>
a85	0.275905	0.212116	0.178388	0.140836	0.0798082	0.0448452	0.0248416	0.0233433	0.0199173
a87	0.202651	0.142347	0.112492	0.0786941	0.0594858	0.0483083	0.0696857	0.114874	0.171462
a23	0.295181	0.182251	0.100768	0.0649353	0.0457859	0.0328116	0.0506822	0.0929174	0.134668
a40	0.214385	0.148212	0.0820514	0.052902	0.0431917	0.0437333	0.0594327	0.12295	0.233143
a44	0.355109	0.177402	0.0923946	0.0775465	0.0630334	0.0597584	0.0473595	0.0569252	0.070472
a26	0.377073	0.256048	0.135081	0.0755453	0.0433296	0.0292858	0.0231291	0.0301124	0.0303961
a35	0.328345	0.247501	0.160086	0.091181	0.0522833	0.0350787	0.0273451	0.0284228	0.0297569
a54	0.204993	0.204702	0.188532	0.127985	0.0763818	0.054099	0.0456439	0.0461066	0.0515567
a41	0.199484	0.190339	0.166681	0.123257	0.0912517	0.0715998	0.0543617	0.0502243	0.0528011
a37	0.19295	0.201546	0.18137	0.125812	0.0888582	0.0668812	0.0510108	0.045527	0.0460454
a75	0.167191	0.195687	0.210459	0.147348	0.0885645	0.0589841	0.0446814	0.0407938	0.0462917
a35	0.151562	0.16534	0.169766	0.115179	0.0855255	0.0830625	0.0821261	0.0660087	0.0814299
a41	0.113339	0.147472	0.173488	0.135316	0.106001	0.0958438	0.0862624	0.069377	0.0729013
a94	0.0707301	0.0922086	0.131666	0.115777	0.106471	0.117073	0.135859	0.111363	0.118853
a58	0.0828487	0.107534	0.167943	0.162702	0.135161	0.106925	0.086627	0.070194	0.0800656
a34	0.0531715	0.0777454	0.164111	0.193135	0.16278	0.121199	0.0815738	0.0629384	0.0833464
a35	0.0645491	0.0777109	0.140508	0.162137	0.148742	0.130085	0.101302	0.0802219	0.0947453
a24	0.0440383	0.0532468	0.0990499	0.128559	0.140279	0.14856	0.141547	0.11748	0.12724
a61	0.0421884	0.0457883	0.0770334	0.111092	0.132771	0.172747	0.170391	0.12477	0.12322
a0	0.0495954	0.050408	0.0758112	0.105662	0.122437	0.171861	0.178021	0.132803	0.113401
a9	0.057622	0.0538101	0.0697881	0.0887953	0.101196	0.144764	0.166381	0.145128	0.172516
a93	0.0288244	0.0275601	0.0457546	0.0695213	0.0900038	0.150573	0.19482	0.174297	0.218645
a94	0.0186251	0.015174	0.023548	0.0371779	0.0565753	0.120406	0.197006	0.189339	0.342148
a61	0.015012	0.0155919	0.0263497	0.0368401	0.0512877	0.105034	0.209018	0.215657	0.32521
a0	0.0175233	0.0164906	0.0234894	0.030298	0.0402646	0.0767495	0.173971	0.211011	0.410203
a75	0.00697509	0.00670254	0.0109496	0.0156464	0.0231627	0.0488353	0.138664	0.211271	0.537793
a41	0.009856	0.00886404	0.0116962	0.0139537	0.0199354	0.0444947	0.150183	0.199005	0.542012
a27	0.00360583	0.00351655	0.00576325	0.00770085	0.0117704	0.0277269	0.112751	0.18351	0.643656
a75	0.00340865	0.00272602	0.00414303	0.00562281	0.00897844	0.0260362	0.111086	0.201968	0.636031
a14	0.00195897	0.00184842	0.00293864	0.00416185	0.00688549	0.0170583	0.0995808	0.183615	0.681953
a30	0.00378498	0.00315743	0.00461598	0.00642756	0.0102789	0.0240342	0.104322	0.203693	0.639686
a2	0.00518589	0.00427895	0.00572658	0.00736309	0.0114587	0.0273817	0.119204	0.21765	0.601752
a57	0.00526695	0.00421363	0.00471203	0.00583319	0.0100663	0.0281529	0.141656	0.229959	0.570139
a87	0.0113775	0.00675213	0.0059101	0.00732305	0.0131088	0.0327837	0.148834	0.272885	0.501026
</S>	0.0130067	0.00926931	0.0099368	0.0133145	0.0201758	0.0398998	0.161133	0.265282	0.467982
