 	si	tu	attends	encore	un	peu	il	va	venir	</S>
a23	0.407715	0.17891	0.0781276	0.0486281	0.0502371	0.0563922	0.0491068	0.0472475	0.0432496	0.0403866
a87	0.336661	0.187742	0.109033	0.0895796	0.0743858	0.0612176	0.0418988	0.0330205	0.0319129	0.0345489
a23	0.147781	0.13108	0.139364	0.126054	0.11005	0.0933116	0.0749547	0.0607683	0.0570839	0.0595527
a20	0.255045	0.201636	0.185994	0.077856	0.0553985	0.0458414	0.0382686	0.0430208	0.0417373	0.0552026
a73	0.374609	0.286985	0.180376	0.0610933	0.0309669	0.0230679	0.0153055	0.0124341	0.00831532	0.00684626
a26	0.232997	0.260648	0.260389	0.120434	0.0567201	0.0308367	0.014998	0.0101978	0.00686709	0.00591214
a76	0.20502	0.236763	0.26343	0.14278	0.0718279	0.0378411	0.0172562	0.0113836	0.00717574	0.00652328
a90	0.154388	0.187426	0.211587	0.165412	0.112624	0.0678495	0.0376776	0.024949	0.019274	0.0188132
a57	0.168957	0.203319	0.216494	0.170969	0.104706	0.0584121	0.031813	0.018984	0.0134172	0.0129287
a76	0.137751	0.15099	0.187415	0.176016	0.13355	0.088556	0.0519797	0.0302902	0.0204301	0.023022
a35	0.134141	0.155343	0.189563	0.181325	0.131217	0.0764453	0.0511084	0.0331792	0.024548	0.0231308
a24	0.142499	0.166322	0.188596	0.177464	0.111031	0.0699295	0.0532638	0.0376887	0.0285759	0.0246307
a41	0.0774433	0.109951	0.161498	0.17425	0.128709	0.0944475	0.0831747	0.0651744	0.0550611	0.0502909
a36	0.0734815	0.0948184	0.140516	0.171325	0.124407	0.0861594	0.0763391	0.0691266	0.0750838	0.0887425
a76	0.0608509	0.0736196	0.118385	0.137308	0.127658	0.099657	0.0902873	0.0816354	0.0862861	0.124313
a94	0.0694208	0.0800579	0.0879116	0.0913954	0.0795081	0.0770789	0.0937927	0.10933	0.139576	0.171928
a41	0.0484448	0.059793	0.075557	0.0846799	0.0805087	0.0847026	0.105688	0.130979	0.151461	0.178185
a27	0.0352154	0.0378696	0.0556875	0.0629707	0.0643565	0.0727126	0.109751	0.146604	0.179084	0.235749
a30	0.0160268	0.0167697	0.0263348	0.0412249	0.0478023	0.0484163	0.0792452	0.134572	0.232684	0.356924
a87	0.0333664	0.0348365	0.0479224	0.0662344	0.0671045	0.0602412	0.0816961	0.123303	0.203555	0.28174
a23	0.0163202	0.011091	0.013127	0.0217342	0.0295756	0.0331814	0.0516859	0.102915	0.255123	0.465246
a20	0.013497	0.00987464	0.0117896	0.0195868	0.0270904	0.0339797	0.0620391	0.147502	0.294834	0.379807
a73	0.0274056	0.0219697	0.0255993	0.0314675	0.0274891	0.0280416	0.0503133	0.125475	0.249077	0.413162
a35	0.0209428	0.0224695	0.0336968	0.0524608	0.0445628	0.0376501	0.0555693	0.116364	0.242805	0.37348
a30	0.0170866	0.0184724	0.0227682	0.0324132	0.0293315	0.0290603	0.0512259	0.116801	0.268923	0.413918
a41	0.0148089	0.0162594	0.0220784	0.0307227	0.0338071	0.0350977	0.0551832	0.105859	0.243817	0.442366
a24	0.00565644	0.0062026	0.00793	0.00815481	0.00717928	0.00867717	0.0217171	0.0722424	0.258145	0.604095
a41	0.00877372	0.0105774	0.0124231	0.0130443	0.0115125	0.013302	0.0267936	0.0758629	0.257441	0.57027
a30	0.00823038	0.00824729	0.00981229	0.00876269	0.00776572	0.00939522	0.0230882	0.0767112	0.259346	0.588641
a2	0.0086518	0.00800671	0.00938307	0.00909445	0.00905769	0.0114696	0.0251974	0.0810913	0.248056	0.589992
a57	0.00390245	0.00345066	0.00378734	0.00489214	0.00549426	0.00808414	0.0203098	0.0657955	0.227154	0.65713
a87	0.00678957	0.00406665	0.00321482	0.00451288	0.00533188	0.00852029	0.0230965	0.0752126	0.264304	0.604951
</S>	0.00859716	0.00497197	0.00371832	0.00722547	0.0110852	0.0210815	0.0481703	0.110664	0.237746	0.54674
