 	il	a	l'	air	malade	</S>
a23	0.18205	0.151044	0.147395	0.21588	0.164295	0.139336
a87	0.138221	0.132209	0.145831	0.18108	0.173935	0.228724
a10	0.20952	0.198695	0.178368	0.156766	0.122362	0.134288
a87	0.176289	0.161832	0.153739	0.168758	0.160232	0.17915
a79	0.215023	0.202343	0.188354	0.153019	0.123037	0.118224
a20	0.192053	0.164177	0.126811	0.151362	0.172506	0.193091
a35	0.41995	0.222191	0.112184	0.125377	0.0721057	0.0481923
a30	0.466619	0.242702	0.116573	0.104734	0.0458719	0.0235005
a35	0.396186	0.254841	0.153718	0.112276	0.0533639	0.0296146
a57	0.357193	0.246122	0.164996	0.130176	0.0651425	0.0363704
a79	0.194015	0.167442	0.163929	0.190944	0.15698	0.126691
a75	0.236305	0.202617	0.17927	0.194355	0.114175	0.073278
a35	0.263262	0.202746	0.169513	0.193422	0.108026	0.0630312
a66	0.165004	0.150962	0.170544	0.241421	0.163177	0.108892
a26	0.102979	0.0969184	0.123583	0.21665	0.244981	0.214889
a24	0.0409353	0.0486328	0.084223	0.208511	0.307089	0.310609
a26	0.0329368	0.0402337	0.0767229	0.160217	0.282239	0.407651
a24	0.01825	0.0227429	0.0446744	0.142839	0.300191	0.471302
a25	0.0119141	0.0141344	0.0296242	0.107656	0.274718	0.561953
a87	0.00913844	0.0100449	0.0240079	0.0850592	0.264809	0.606941
a79	0.00504537	0.00744544	0.0248526	0.0716957	0.233755	0.657206
a90	0.00280517	0.00458522	0.0178138	0.0589454	0.260285	0.655566
a98	0.0081155	0.0127971	0.0354305	0.127643	0.284233	0.531782
a9	0.0062257	0.0109082	0.0354836	0.11845	0.281669	0.547264
a87	0.00339966	0.00637912	0.0246611	0.072748	0.250411	0.642401
a23	0.00667678	0.0124368	0.0379045	0.0778212	0.243133	0.622028
a87	0.0313406	0.0383434	0.070026	0.0975149	0.247092	0.515683
</S>	0.0271234	0.037607	0.0803938	0.135412	0.267454	0.45201
