 	il	faut	aimer	les	autres	</S>
a34	0.185994	0.238305	0.220199	0.159372	0.115826	0.0803034
a98	0.104999	0.180652	0.228558	0.20338	0.15624	0.126172
a44	0.26167	0.226429	0.146532	0.119842	0.114557	0.13097
a84	0.382571	0.231235	0.108708	0.0851848	0.0861825	0.106118
a40	0.354496	0.210967	0.137039	0.113357	0.082935	0.101205
a75	0.307214	0.234488	0.149592	0.107617	0.0954633	0.105626
a85	0.237529	0.206661	0.177663	0.142453	0.119634	0.116061
a92	0.198089	0.183725	0.181685	0.141828	0.146298	0.148375
a13	0.18814	0.186496	0.187379	0.146668	0.148693	0.142623
a62	0.109224	0.115994	0.174424	0.174598	0.208158	0.217601
a75	0.0614156	0.0669791	0.146339	0.181127	0.249632	0.294507
a85	0.0616207	0.066959	0.101829	0.156383	0.269389	0.343819
a44	0.0243485	0.0301493	0.064578	0.158771	0.294877	0.427276
a66	0.0363008	0.0353394	0.0687345	0.139499	0.269428	0.450698
a62	0.00423144	0.00840505	0.0318731	0.116972	0.26034	0.578178
a75	0.0114054	0.0156038	0.0437649	0.131345	0.257001	0.54088
a47	0.0124954	0.0177292	0.0405202	0.118744	0.256578	0.553933
a36	0.0187008	0.021106	0.0453747	0.120622	0.266904	0.527293
a57	0.0204457	0.0292215	0.07712	0.138127	0.239726	0.49536
a87	0.0171845	0.026404	0.0621385	0.103738	0.265784	0.524751
a23	0.0468825	0.0605856	0.130258	0.172646	0.268451	0.321177
a87	0.0334426	0.0276461	0.0546382	0.146824	0.281311	0.456138
</S>	0.0331418	0.0349465	0.07138	0.16029	0.264275	0.435967
