 	le	bâtiment	de	l'	hôpital	est	au	milieu	des	touffes	d'	herbes	</S>
a66	0.0927616	0.0777122	0.0603215	0.0649341	0.0752937	0.106472	0.136392	0.169201	0.141158	0.0534741	0.0121192	0.00579412	0.00436649
a87	0.188884	0.129008	0.0874641	0.083566	0.0797492	0.106429	0.0933567	0.0646893	0.058858	0.0423584	0.0219969	0.0181871	0.0254538
a23	0.20021	0.162109	0.126618	0.134857	0.119948	0.0835283	0.0641616	0.044343	0.0248372	0.0178287	0.00614501	0.0059502	0.00946453
a87	0.126032	0.183961	0.117749	0.132171	0.155121	0.106494	0.0894598	0.0632622	0.0102237	0.00397094	0.00290327	0.00337104	0.00527946
a23	0.086411	0.168701	0.119587	0.146281	0.160151	0.114726	0.0989113	0.0646306	0.0143992	0.00695184	0.00520872	0.00574167	0.00829953
a87	0.132111	0.170658	0.100213	0.112401	0.105404	0.0941039	0.0784872	0.08012	0.0364218	0.0281668	0.0162715	0.018516	0.0271272
a23	0.156778	0.146414	0.0907537	0.114715	0.117086	0.103802	0.0778108	0.0628566	0.0437645	0.0336615	0.0156787	0.0155076	0.0211724
a18	0.160572	0.144874	0.0797337	0.095923	0.0959955	0.0866076	0.0728766	0.0780952	0.0528137	0.046976	0.0267831	0.0266808	0.0320692
a62	0.163976	0.160193	0.0917601	0.0852543	0.0727789	0.067769	0.054278	0.07624	0.0859377	0.0703401	0.0282565	0.022025	0.0211918
a12	0.14176	0.178056	0.136256	0.102385	0.0688483	0.0803662	0.0628013	0.0873242	0.0728344	0.0405952	0.0118772	0.00948144	0.00741414
a75	0.0850069	0.1291	0.132431	0.116333	0.0912645	0.10948	0.0865601	0.092433	0.0743017	0.0482178	0.0144812	0.0114368	0.00895407
a56	0.079413	0.10493	0.103818	0.100938	0.0909983	0.118453	0.0998785	0.122855	0.0925216	0.0494611	0.0161916	0.0113428	0.00919946
a93	0.0669868	0.0877396	0.0983287	0.102275	0.0980314	0.13557	0.10711	0.109297	0.0935544	0.0608719	0.0191364	0.0116126	0.00948715
a4	0.0562454	0.0789704	0.0910834	0.100652	0.101255	0.133666	0.115774	0.118555	0.0996107	0.0611667	0.0191304	0.0122936	0.0115977
a62	0.0495745	0.0686786	0.0791003	0.0957003	0.103772	0.142161	0.129872	0.126892	0.0989702	0.0554789	0.0203416	0.0142059	0.0152528
a96	0.0299977	0.0491285	0.0638063	0.0799589	0.0951931	0.146828	0.140679	0.136332	0.119481	0.0700473	0.0255803	0.0193966	0.0235703
a18	0.0252372	0.0411212	0.0509762	0.0694407	0.0922554	0.142306	0.130605	0.119082	0.105524	0.0905537	0.0482915	0.0371643	0.0474423
a21	0.0188761	0.0212246	0.0289091	0.0486153	0.0973925	0.139409	0.103861	0.0755678	0.0739841	0.0856281	0.0986705	0.096164	0.111698
a85	0.00942263	0.0153583	0.01996	0.0271594	0.0449985	0.0982152	0.126905	0.123162	0.135116	0.137693	0.0946227	0.0727474	0.0946396
a5	0.0059334	0.00913484	0.0118389	0.0150245	0.0241749	0.0440465	0.0561607	0.0462435	0.0680292	0.0994293	0.133434	0.177436	0.309114
a61	0.00818138	0.0123761	0.0144196	0.0162278	0.0246422	0.0450441	0.0594629	0.0623125	0.0978039	0.129399	0.131625	0.151693	0.246812
a0	0.00641369	0.0105473	0.0120555	0.0138048	0.0212444	0.0379595	0.0433252	0.0393412	0.0685195	0.126367	0.188114	0.182983	0.249325
a31	0.0027712	0.00327894	0.00403507	0.00583166	0.00921405	0.0136462	0.0117751	0.0104995	0.0299733	0.0600163	0.183583	0.294748	0.370628
a61	0.00173114	0.00216456	0.00249441	0.00349305	0.00552765	0.00877763	0.00855688	0.00770842	0.0164176	0.037889	0.16935	0.317687	0.418203
a43	0.000696538	0.00104592	0.00118409	0.00155563	0.00244405	0.00416506	0.00427424	0.00395805	0.00936595	0.0316361	0.158033	0.314286	0.467355
a11	0.000418225	0.000530348	0.000643682	0.000959491	0.00159929	0.00247033	0.0024195	0.00229121	0.00548515	0.0163146	0.0956933	0.284463	0.586712
a70	0.000525437	0.00049285	0.000628167	0.00107395	0.00172645	0.00224265	0.00191699	0.00156034	0.00394036	0.0111432	0.0674345	0.259158	0.648157
a13	0.000316384	0.000332874	0.000463766	0.000751103	0.00119846	0.00161582	0.00116763	0.000739229	0.00221772	0.0107517	0.0740724	0.24124	0.665133
a9	0.00047134	0.00031263	0.000430991	0.000703447	0.00105306	0.00121772	0.000943194	0.000517136	0.00196213	0.0102493	0.0729866	0.252114	0.657039
a99	0.00456585	0.00267279	0.00256346	0.00316116	0.00363026	0.00386867	0.00343491	0.00148064	0.00501025	0.0136388	0.081264	0.265762	0.608948
a97	0.0690072	0.0310219	0.0236939	0.0223638	0.0202435	0.0173134	0.0166445	0.00934572	0.0186457	0.0326761	0.0899264	0.206945	0.442172
a87	0.201704	0.115359	0.0929821	0.088764	0.0815557	0.0617289	0.0687264	0.0323745	0.0298991	0.0307495	0.0399954	0.0588492	0.0973118
a23	0.176557	0.108598	0.098344	0.102415	0.0987293	0.0709532	0.07052	0.0302198	0.0351451	0.0370075	0.0474356	0.0560212	0.0680533
a87	0.154111	0.078857	0.0717165	0.0649386	0.0541574	0.0397255	0.0279152	0.0121773	0.0220769	0.0288875	0.072097	0.13193	0.24141
</S>	0.0275896	0.0158301	0.0134818	0.0111393	0.0110213	0.00976047	0.00892559	0.00585748	0.0142967	0.038218	0.116057	0.227679	0.500145
