 	le	repas	que	tu	nous	as	fait	aujourd'	hui	était	bon	</S>
a66	0.212798	0.148154	0.106393	0.09799	0.0836919	0.0898321	0.0886796	0.0707442	0.0496043	0.0260638	0.0140428	0.0120066
a87	0.458181	0.212236	0.0707818	0.0412427	0.0309982	0.0374536	0.0384584	0.027681	0.0244156	0.0194482	0.0176248	0.0214796
a23	0.368526	0.185121	0.111515	0.0727352	0.0418395	0.0471586	0.0367732	0.0275947	0.027837	0.0243167	0.0247793	0.031804
a18	0.240188	0.159965	0.090977	0.0716347	0.0630923	0.0775038	0.0495418	0.0269707	0.0245993	0.0286295	0.0532055	0.113692
a61	0.256376	0.17226	0.0978315	0.0838698	0.0550241	0.0601862	0.0406927	0.0272176	0.0248981	0.0361954	0.0556556	0.0897927
a5	0.347054	0.273136	0.121659	0.0806863	0.0389498	0.0311185	0.0217603	0.0142422	0.0131207	0.016186	0.0196992	0.0223885
a6	0.266112	0.297692	0.133384	0.0888332	0.0482321	0.0322484	0.0233916	0.01682	0.0156915	0.0220323	0.0256582	0.0299046
a36	0.218566	0.21828	0.116598	0.100794	0.0800125	0.0578033	0.0430837	0.0313111	0.0255036	0.0302958	0.0329675	0.0447838
a37	0.133333	0.142974	0.11639	0.127679	0.130281	0.110819	0.065643	0.0376164	0.0313781	0.0310924	0.0317118	0.0410823
a56	0.0870235	0.106202	0.106269	0.12843	0.142676	0.139136	0.0962265	0.0546237	0.0417972	0.0313994	0.0293452	0.0368706
a21	0.0785668	0.11317	0.12379	0.149513	0.152424	0.139699	0.0976095	0.0505908	0.0303678	0.019936	0.0189563	0.0253776
a12	0.0514957	0.0835342	0.0901983	0.112237	0.130802	0.132438	0.129451	0.0883647	0.0585887	0.037348	0.0355485	0.049994
a96	0.0238585	0.0436608	0.0603324	0.0882768	0.134358	0.157087	0.17282	0.122377	0.0753727	0.0405145	0.0340912	0.0472506
a18	0.0184677	0.0284906	0.0428387	0.0706667	0.130506	0.168333	0.193522	0.134823	0.0807823	0.0414246	0.0373031	0.0528423
a47	0.0300116	0.0246761	0.0369074	0.0545338	0.0922229	0.151632	0.176262	0.134563	0.0901755	0.0614284	0.0620684	0.0855197
a56	0.0233978	0.0209234	0.0318209	0.0497844	0.0931517	0.137472	0.177922	0.165863	0.114832	0.0582728	0.0508974	0.0756626
a34	0.0106908	0.01385	0.0203808	0.0344406	0.0677259	0.0891846	0.130337	0.170807	0.161545	0.104151	0.082289	0.1146
a96	0.00913147	0.0115993	0.0165033	0.0288384	0.0614792	0.0857952	0.121077	0.156592	0.162453	0.113775	0.0960952	0.136661
a0	0.0108946	0.01264	0.0181846	0.029558	0.0594854	0.0891809	0.110187	0.126035	0.132991	0.112322	0.120222	0.178299
a24	0.0134949	0.0120136	0.0189978	0.029859	0.0487556	0.0756603	0.0793021	0.0757197	0.0846647	0.10896	0.177134	0.275439
a71	0.0122948	0.00995511	0.0143274	0.0215435	0.032077	0.0488297	0.0534513	0.0541836	0.0706907	0.121761	0.233255	0.32763
a38	0.0192747	0.0158167	0.0247529	0.0384471	0.0476035	0.0643229	0.0697758	0.0785541	0.0845895	0.107898	0.186054	0.26291
a98	0.0096587	0.00788892	0.0107307	0.0149771	0.0243556	0.0411736	0.0442618	0.047962	0.0630229	0.117496	0.257303	0.36117
a79	0.00206963	0.00223463	0.00362316	0.00636714	0.0140109	0.0188664	0.0220596	0.0333613	0.0506568	0.118482	0.276183	0.452085
a92	0.000861861	0.00130356	0.00261984	0.00470803	0.0107539	0.0141937	0.0181347	0.030284	0.04617	0.0993865	0.28498	0.486604
a12	0.000664302	0.000779382	0.00168827	0.00315717	0.00721194	0.0109971	0.0163586	0.0324648	0.0561102	0.125627	0.298938	0.446003
a21	0.000734807	0.00079374	0.00154833	0.00276248	0.00690976	0.0109781	0.0146979	0.0251459	0.0475412	0.11439	0.286814	0.487683
a12	0.000426446	0.000429115	0.000775087	0.00124066	0.00270023	0.00453328	0.00631536	0.0123222	0.0309395	0.0940876	0.308792	0.537439
a96	0.00038541	0.000453256	0.000833538	0.00131245	0.00287406	0.00476048	0.00616713	0.0101404	0.0235682	0.0658971	0.270213	0.613395
a12	0.000685804	0.000820405	0.00143862	0.00230547	0.00513199	0.00883326	0.0116564	0.0174564	0.0367597	0.0830359	0.260175	0.571701
a18	0.000582383	0.00064271	0.00109286	0.00164961	0.00322387	0.00541452	0.0078495	0.0140809	0.0347124	0.0896522	0.281228	0.559871
a71	0.00154697	0.00139141	0.00257446	0.00417193	0.00830104	0.0120072	0.0135762	0.0196191	0.0380722	0.0846519	0.254058	0.560029
a25	0.00888179	0.00682622	0.0106833	0.0134532	0.0172787	0.0166559	0.0176271	0.0329436	0.0657759	0.114685	0.264602	0.430588
a10	0.0252139	0.0156466	0.0183285	0.0184776	0.0249029	0.0242712	0.0293554	0.049482	0.0854275	0.128532	0.242342	0.33802
a87	0.191149	0.109374	0.0907867	0.0690775	0.0590409	0.0522589	0.0553722	0.0605032	0.0654206	0.06751	0.0813284	0.0981781
a23	0.220615	0.147618	0.117511	0.0817252	0.0579741	0.048439	0.0452721	0.0407474	0.0394323	0.0420535	0.0608735	0.097739
a99	0.0797591	0.0490223	0.0349902	0.0234181	0.020487	0.0203299	0.0240711	0.0309049	0.0490886	0.0884571	0.195331	0.384141
a87	0.017667	0.00910487	0.00709393	0.00633938	0.00889567	0.0127897	0.0204826	0.0361223	0.0615517	0.106621	0.241419	0.471913
a23	0.00466278	0.00299994	0.00339213	0.00332441	0.00626812	0.00924794	0.0144604	0.0261814	0.054518	0.0988178	0.257488	0.518639
a99	0.0136182	0.00805102	0.00828862	0.00745447	0.0109688	0.0136269	0.0186904	0.030987	0.0621476	0.106162	0.264828	0.455177
a97	0.0199376	0.0105364	0.010383	0.0101088	0.0138538	0.0181777	0.0261676	0.0385984	0.0640387	0.105966	0.26223	0.420002
</S>	0.0115399	0.00802293	0.0089038	0.00902068	0.0140493	0.0178013	0.0225288	0.0303254	0.0532285	0.0922794	0.26169	0.47061
