 	les	têtards	à	grosse	tête	plate	nagent	dans	l'	étang	</S>
a66	0.129479	0.130279	0.18373	0.152063	0.159147	0.152188	0.0567806	0.0183496	0.00732065	0.00539918	0.00526386
a87	0.471678	0.200596	0.117274	0.0704089	0.0510939	0.0323055	0.00986061	0.0100314	0.0119314	0.012122	0.012698
a23	0.445153	0.163028	0.133396	0.0949566	0.0650137	0.0339464	0.00882088	0.00658763	0.0115618	0.0158252	0.0217107
a40	0.239747	0.16303	0.146431	0.127132	0.0886853	0.045925	0.0229432	0.0163476	0.0322819	0.0483357	0.0691408
a36	0.262169	0.15919	0.110447	0.105003	0.0951007	0.0917812	0.0389267	0.0372953	0.0340472	0.0323859	0.0336545
a44	0.234327	0.246241	0.0942619	0.116054	0.106052	0.0830438	0.0364844	0.0225113	0.0212268	0.0201243	0.0196743
a26	0.161528	0.204928	0.148227	0.105856	0.0994748	0.117162	0.0888128	0.0372109	0.0159853	0.0106549	0.0101613
a38	0.0507271	0.0910325	0.135507	0.12869	0.122121	0.161606	0.185196	0.0620755	0.0254948	0.0190434	0.0185073
a70	0.0256287	0.0441463	0.0937172	0.124854	0.136392	0.172003	0.226234	0.0701557	0.0369297	0.0340568	0.035883
a44	0.0178264	0.0270668	0.0748953	0.118163	0.144906	0.132436	0.232453	0.0786466	0.0510848	0.0569807	0.0655414
a98	0.0119902	0.01958	0.0626458	0.094145	0.114562	0.138866	0.244152	0.0926765	0.0616703	0.0728972	0.0868154
a47	0.0144162	0.0238837	0.0673222	0.0966932	0.106389	0.145647	0.215828	0.108414	0.0680828	0.0718458	0.0814769
a92	0.0153833	0.0266105	0.0656652	0.0761865	0.0854389	0.122362	0.204186	0.112495	0.076516	0.0944509	0.120706
a37	0.0206702	0.0254879	0.0455792	0.0519008	0.0535318	0.102088	0.189045	0.15979	0.102893	0.112177	0.136836
a54	0.0172356	0.0226242	0.0420885	0.0673398	0.0701298	0.0928832	0.186987	0.148548	0.093167	0.115733	0.143263
a47	0.0114355	0.0141816	0.0247293	0.0317767	0.0296726	0.0578702	0.107458	0.181668	0.150868	0.168936	0.221404
a6	0.00399581	0.00490405	0.00815807	0.0116346	0.0101931	0.0275444	0.0666834	0.189394	0.201949	0.216447	0.259097
a0	0.00345639	0.0033138	0.00465445	0.00599022	0.00602269	0.0185537	0.0466948	0.160782	0.245473	0.252187	0.252873
a61	0.00555398	0.00517537	0.00736718	0.0120114	0.0108463	0.0197647	0.0382758	0.105175	0.202406	0.283526	0.309898
a18	0.0013088	0.00117595	0.00231918	0.00403102	0.00382264	0.00752814	0.0197067	0.079679	0.213064	0.320138	0.347226
a71	0.00227276	0.00145747	0.00238949	0.00418711	0.00232339	0.00293471	0.00587302	0.0512237	0.137048	0.281492	0.508799
a11	0.00595576	0.00360802	0.00551819	0.0108196	0.00688811	0.00815383	0.0146571	0.0781435	0.128514	0.261929	0.475813
a93	0.057964	0.0283771	0.0253815	0.0390661	0.0241203	0.0278267	0.0383411	0.100544	0.128944	0.201924	0.327511
a96	0.00503672	0.00289126	0.00351237	0.00726765	0.00525562	0.00865458	0.0119303	0.0896097	0.202945	0.297666	0.36523
a70	0.00251488	0.00181685	0.0025124	0.00633712	0.00459295	0.00740705	0.0125743	0.0861773	0.178038	0.296502	0.401526
a13	0.000885848	0.000658508	0.00105556	0.00251279	0.00215857	0.00461124	0.00782762	0.0505946	0.153385	0.306775	0.469535
a9	0.000756512	0.000547634	0.000917718	0.00265114	0.00196416	0.00298919	0.00746357	0.0586324	0.157691	0.310795	0.455591
a99	0.0057678	0.00405251	0.00525363	0.0116795	0.00826404	0.00877184	0.0187275	0.0799891	0.156737	0.289529	0.411229
a87	0.0740632	0.0372112	0.0354359	0.0484039	0.0316514	0.0287302	0.0393295	0.0846991	0.136924	0.210337	0.273215
a23	0.382577	0.146272	0.131284	0.0881825	0.048145	0.0366369	0.0273319	0.0264901	0.0314507	0.0370788	0.0445506
a87	0.377246	0.122002	0.0786143	0.0895155	0.0387153	0.0242364	0.0197814	0.0218673	0.0435878	0.0756092	0.108825
</S>	0.0913117	0.0265633	0.0235104	0.0343346	0.0161881	0.0120024	0.0127545	0.0227578	0.0791569	0.219712	0.461708
