 	il	apprend	à	lire	</S>
a23	0.427114	0.189604	0.15319	0.11904	0.111052
a85	0.487999	0.21988	0.117863	0.100446	0.0738116
a87	0.34024	0.171242	0.14284	0.164611	0.181066
a23	0.439222	0.266886	0.122032	0.0888502	0.0830087
a87	0.238424	0.281499	0.201687	0.157755	0.120636
a23	0.240969	0.340566	0.208414	0.121193	0.0888577
a20	0.162468	0.255493	0.229505	0.205968	0.146566
a30	0.423032	0.205862	0.155053	0.155246	0.0608072
a35	0.514367	0.31253	0.11461	0.0443784	0.0141154
a30	0.390255	0.318524	0.173299	0.083475	0.034447
a41	0.270179	0.304403	0.215581	0.139523	0.070313
a24	0.210373	0.278135	0.240648	0.174088	0.0967556
a41	0.141168	0.223219	0.228649	0.225774	0.18119
a24	0.069339	0.11247	0.190144	0.271694	0.356354
a31	0.0364745	0.0782397	0.170065	0.313468	0.401752
a32	0.0540739	0.0937602	0.165155	0.282205	0.404806
a25	0.0259916	0.0352699	0.116088	0.302457	0.520194
a38	0.00834769	0.0138811	0.0639106	0.221674	0.692187
a35	0.00315643	0.00558373	0.0372704	0.180981	0.773008
a66	0.00174454	0.00468061	0.040401	0.223944	0.72923
a54	0.001121	0.00321856	0.0315903	0.186114	0.777956
a36	0.00476212	0.0135414	0.0716293	0.244273	0.665794
a26	0.00333708	0.00943745	0.0488507	0.18445	0.753924
a57	0.00667867	0.0154906	0.0409379	0.122798	0.814095
a87	0.0278865	0.0543357	0.09241	0.200812	0.624556
</S>	0.0185372	0.0425502	0.130586	0.294466	0.513861
