 	ii	m'	a	offert	une	grosse	asperge	</S>
a66	0.444183	0.21468	0.100492	0.0623395	0.0476233	0.0499663	0.0498985	0.0308179
a87	0.293861	0.22779	0.170342	0.135583	0.0763478	0.0401272	0.0309733	0.024976
a23	0.558405	0.22991	0.109551	0.0529766	0.0207263	0.00986608	0.00811119	0.0104542
a30	0.537534	0.204264	0.098977	0.0577215	0.0261035	0.0159452	0.0231275	0.0363275
a53	0.44072	0.167811	0.0986502	0.0701321	0.0426134	0.0336497	0.0497746	0.0966491
a15	0.354077	0.248933	0.176548	0.0887673	0.0489517	0.0342807	0.0243691	0.0240724
a20	0.184132	0.22538	0.24681	0.158958	0.0924246	0.0518937	0.0235211	0.0168807
a6	0.133882	0.196087	0.272824	0.186734	0.111421	0.0572043	0.0221717	0.019675
a92	0.0816197	0.146736	0.256809	0.249063	0.157668	0.0713062	0.021634	0.0151642
a37	0.0609648	0.119865	0.217301	0.268236	0.188092	0.0971728	0.0310776	0.0172913
a21	0.122766	0.154962	0.186511	0.211871	0.153888	0.103791	0.0396147	0.0265965
a6	0.0722694	0.0868576	0.114554	0.184378	0.183978	0.184148	0.109784	0.0640307
a36	0.0298137	0.0383241	0.0644818	0.142184	0.187474	0.238245	0.181278	0.118199
a25	0.0573381	0.040825	0.0504897	0.0907279	0.132266	0.231873	0.200883	0.195597
a92	0.0302634	0.0177092	0.0217081	0.0566643	0.121555	0.272716	0.241685	0.237698
a25	0.00996201	0.0113744	0.0201683	0.0575651	0.130521	0.277516	0.277255	0.215639
a20	0.00601134	0.00609446	0.0101886	0.0299207	0.0812862	0.234209	0.29106	0.34123
a54	0.00985841	0.00812181	0.011155	0.023018	0.0517142	0.172914	0.287814	0.435405
a6	0.00980717	0.00855629	0.0110759	0.0192541	0.0403064	0.129398	0.24634	0.535262
a36	0.00400343	0.00380609	0.00562934	0.0111	0.0287591	0.110501	0.220974	0.615227
a54	0.00494596	0.00416584	0.00598925	0.0112105	0.0272757	0.0917807	0.213404	0.641229
a36	0.00173994	0.00242779	0.00488193	0.00908043	0.024277	0.0859343	0.214282	0.657377
a2	0.00733065	0.00662074	0.0108172	0.0161079	0.0304268	0.0732111	0.203912	0.651574
a57	0.0786284	0.0593562	0.0553565	0.0614458	0.0768082	0.131957	0.176212	0.360236
a87	0.323083	0.149607	0.100027	0.0743105	0.0684413	0.0821021	0.0903002	0.112129
a23	0.362183	0.180831	0.124838	0.0835009	0.0655066	0.0625362	0.0637936	0.0568108
a99	0.163601	0.091834	0.0715029	0.0731479	0.100068	0.160584	0.135306	0.203956
a97	0.0686037	0.0437326	0.0492989	0.0781564	0.142394	0.222504	0.147998	0.247312
</S>	0.0199082	0.0215248	0.0435267	0.0837612	0.150732	0.233238	0.155902	0.291406
