 	jésus	est	réssuscité	après	trois	jours	</S>
a66	0.192498	0.315267	0.301163	0.108475	0.0437875	0.021683	0.0171263
a87	0.363902	0.202954	0.186911	0.112695	0.0729347	0.0359435	0.0246607
a23	0.524536	0.290657	0.0882596	0.0270119	0.0228023	0.0229434	0.0237893
a87	0.592901	0.275256	0.0745412	0.0187038	0.0122091	0.011212	0.0151766
a97	0.564098	0.310077	0.0659213	0.0202768	0.0139468	0.0124143	0.0132661
a87	0.579757	0.255066	0.0752503	0.027513	0.0214888	0.0196124	0.0213124
a23	0.571322	0.237321	0.0841984	0.0337247	0.0287412	0.0225613	0.0221311
a97	0.565299	0.191695	0.0745258	0.0522882	0.0513624	0.0339956	0.0308336
a87	0.493411	0.215502	0.0916554	0.0567024	0.0654066	0.0419821	0.0353408
a99	0.50646	0.230277	0.0948103	0.0492047	0.0490692	0.034904	0.0352749
a83	0.559722	0.196795	0.0732976	0.0468018	0.0532653	0.0356017	0.0345161
a62	0.560839	0.185291	0.0523908	0.0358727	0.0502741	0.0508004	0.0645322
a47	0.499585	0.22152	0.0641035	0.0457763	0.0537489	0.0532872	0.0619796
a31	0.413275	0.251321	0.0835413	0.0567799	0.0590577	0.0614616	0.0745637
a0	0.369143	0.25942	0.107554	0.0683769	0.0707598	0.0615634	0.0631833
a75	0.329272	0.2571	0.124434	0.0687822	0.0635912	0.074037	0.0827835
a25	0.247155	0.254548	0.164124	0.114281	0.081859	0.0654924	0.0725406
a15	0.128926	0.216126	0.175255	0.113798	0.101179	0.108013	0.156703
a7	0.112246	0.186494	0.178895	0.149648	0.112097	0.105152	0.155469
a84	0.060887	0.195747	0.290071	0.132404	0.0945107	0.0942714	0.132108
a40	0.0293012	0.141025	0.296156	0.170854	0.125075	0.115048	0.12254
a47	0.0448329	0.099717	0.184747	0.162866	0.109868	0.13942	0.258549
a85	0.0123916	0.0573348	0.197423	0.158634	0.109127	0.142084	0.323006
a92	0.0052424	0.0268746	0.13472	0.16174	0.124278	0.167441	0.379704
a85	0.00787968	0.0307995	0.167324	0.183317	0.154498	0.171457	0.284725
a92	0.00927598	0.0366032	0.167724	0.165433	0.142945	0.183103	0.294915
a37	0.00326294	0.0128338	0.112267	0.208102	0.187958	0.197813	0.277764
a85	0.00228187	0.00591617	0.081348	0.232049	0.184911	0.177127	0.316367
a21	0.00132845	0.00316848	0.0328949	0.106845	0.129817	0.231354	0.494592
a5	0.00277725	0.00650913	0.0606395	0.129846	0.172167	0.254518	0.373544
a47	0.0010332	0.00217024	0.0199509	0.0757226	0.124196	0.276068	0.50086
a37	0.000986942	0.00240093	0.0165885	0.0690972	0.115659	0.284378	0.510889
a26	0.000963623	0.00208735	0.00824021	0.0350806	0.0708041	0.301159	0.581665
a13	0.00744661	0.0108536	0.0282149	0.0765442	0.108482	0.26306	0.505399
a3	0.0259773	0.0257119	0.04617	0.0928769	0.125756	0.254847	0.428661
a87	0.0575499	0.0530203	0.0939376	0.182877	0.183529	0.206125	0.222961
a23	0.0471928	0.0550654	0.143276	0.271021	0.228133	0.139335	0.115977
a99	0.0408031	0.0397583	0.0657087	0.158576	0.187822	0.222075	0.285257
a97	0.00494501	0.00859995	0.0231497	0.0964611	0.158877	0.295741	0.412226
a87	0.00502081	0.00913353	0.025413	0.0632655	0.0936035	0.214925	0.588639
a23	0.0356229	0.0547094	0.115347	0.136076	0.139452	0.179117	0.339677
a4	0.0205515	0.0299178	0.0517338	0.0847378	0.120109	0.22174	0.471209
a99	0.00392485	0.00874791	0.0210081	0.0718496	0.13295	0.290493	0.471027
a93	0.00150263	0.00371364	0.0108723	0.0358526	0.0644674	0.211442	0.67215
a70	0.000468259	0.0015011	0.0141224	0.0451641	0.0766642	0.278591	0.583489
