 	le	safoutier	en	question	n'	a	pas	produit	des	fruits	</S>
a76	0.148542	0.102158	0.0813632	0.11227	0.148487	0.127006	0.090023	0.0654224	0.0489144	0.0402597	0.0355535
a98	0.0836785	0.0624479	0.0658517	0.0893722	0.0859181	0.0713742	0.0680648	0.0632479	0.079457	0.142298	0.18829
a92	0.266886	0.16953	0.0860204	0.0639158	0.0635	0.0628893	0.0582703	0.0536308	0.0541167	0.0584099	0.0628309
a43	0.325639	0.226362	0.101117	0.0720371	0.0550451	0.0446368	0.0399959	0.0336826	0.0321663	0.0322248	0.0370928
a11	0.295987	0.204524	0.12717	0.10644	0.0980529	0.0597887	0.0317115	0.0210234	0.0176968	0.0175946	0.020011
a75	0.213594	0.179406	0.156268	0.140726	0.135432	0.071773	0.0327301	0.0207656	0.016705	0.0153713	0.0172292
a41	0.195613	0.159486	0.136714	0.122068	0.119551	0.0814213	0.0501863	0.0364103	0.0311702	0.0324295	0.0349508
a44	0.150381	0.133207	0.12914	0.125822	0.127107	0.0914297	0.0615593	0.0473526	0.041663	0.044014	0.0483243
a98	0.115047	0.123455	0.148149	0.167865	0.169286	0.100951	0.0493578	0.0317972	0.0278891	0.0309547	0.0352478
a37	0.0660185	0.0857075	0.11302	0.136802	0.161285	0.12632	0.0826085	0.060738	0.0528541	0.0554134	0.0592337
a85	0.0720442	0.0849367	0.117348	0.142638	0.164275	0.1208	0.0769012	0.0548853	0.0492954	0.0549382	0.0619377
a37	0.0608888	0.0677557	0.0870993	0.109633	0.133344	0.115357	0.0953799	0.0806511	0.0748158	0.081752	0.0933243
a92	0.0589963	0.0631033	0.0843065	0.115674	0.160939	0.15056	0.103012	0.0648189	0.0532936	0.0640202	0.0812767
a66	0.0457142	0.0515657	0.0663839	0.0856501	0.128689	0.144589	0.125848	0.0987877	0.0829416	0.0829274	0.0869031
a11	0.0186626	0.0229913	0.0398172	0.0560928	0.0921112	0.126725	0.128764	0.106071	0.098578	0.129832	0.180354
a93	0.0111279	0.0146291	0.0253319	0.0365033	0.0606915	0.0907473	0.104912	0.102679	0.116458	0.171179	0.265741
a11	0.0122704	0.0168429	0.0252397	0.0326568	0.0553794	0.0906119	0.126779	0.147677	0.155639	0.162425	0.174479
a98	0.00494073	0.00629863	0.0111736	0.0140957	0.0219294	0.0346194	0.0544816	0.0828017	0.136811	0.250376	0.382473
a47	0.0109014	0.0153697	0.0201239	0.0207444	0.0259958	0.0357783	0.0558621	0.0853843	0.144586	0.251451	0.333803
a2	0.0106976	0.0142754	0.0176591	0.0187114	0.0221718	0.0321493	0.05357	0.0793738	0.143527	0.264625	0.343239
a75	0.00201888	0.00250867	0.00297896	0.00430155	0.00563379	0.00884155	0.0169869	0.0355358	0.0889446	0.266408	0.565841
a47	0.00288034	0.00325899	0.00380505	0.00477093	0.00623627	0.0108556	0.0249464	0.0518141	0.132293	0.31258	0.446559
a36	0.0040446	0.00538352	0.00650565	0.00718194	0.00911506	0.0149828	0.0300938	0.0597406	0.139656	0.311513	0.411784
a57	0.00285516	0.00329084	0.00333032	0.00490859	0.00651677	0.0104696	0.0215967	0.0501796	0.118444	0.282691	0.495717
a87	0.0146721	0.0131327	0.014492	0.0251435	0.0312744	0.0430399	0.0729574	0.0979935	0.137327	0.224148	0.325819
a23	0.0450446	0.0345334	0.0390306	0.0677625	0.0958361	0.115466	0.132313	0.122397	0.116799	0.115879	0.114939
a10	0.0232461	0.0164179	0.018282	0.0304447	0.042471	0.0568879	0.0831007	0.118862	0.168274	0.230894	0.211119
</S>	0.0181252	0.0150519	0.0184452	0.0313035	0.0399378	0.0437412	0.0594927	0.0816031	0.138811	0.2667	0.286789
