 	on	entend	les	abeilles	bourdonner	autour	de	la	ruche	</S>
a85	0.180363	0.106734	0.0798221	0.0921112	0.112743	0.139084	0.0847627	0.0633684	0.0686488	0.072363
a66	0.278453	0.226526	0.133869	0.0914468	0.0608353	0.0411919	0.0391259	0.0351214	0.0428442	0.0505869
a10	0.183187	0.235608	0.161528	0.122508	0.0952923	0.0439779	0.0313733	0.0331176	0.0422733	0.051135
a87	0.257363	0.243845	0.172757	0.100691	0.0644364	0.0218895	0.0284999	0.0355734	0.0400703	0.034874
a23	0.253275	0.231785	0.169878	0.0942766	0.0443755	0.0225458	0.0369648	0.0482068	0.0578548	0.0408376
a18	0.283224	0.272734	0.169293	0.0903133	0.046429	0.0187168	0.0219252	0.0263128	0.0361488	0.0349038
a38	0.320657	0.273344	0.140848	0.062613	0.0497035	0.0241277	0.0218924	0.0296302	0.0425588	0.0346256
a24	0.446029	0.259156	0.142763	0.0505945	0.0348742	0.019178	0.0134318	0.0116224	0.0120728	0.0102786
a32	0.407973	0.221572	0.170437	0.0824841	0.0488905	0.0245146	0.0158262	0.0106408	0.00979952	0.00786238
a94	0.243126	0.200785	0.202005	0.125653	0.0858098	0.0511768	0.0359647	0.0231872	0.0184151	0.0138775
a41	0.195852	0.174587	0.196764	0.135224	0.0980156	0.0697936	0.0488488	0.0338624	0.0264715	0.0205806
a35	0.188248	0.152151	0.178206	0.151159	0.122187	0.0848034	0.0583823	0.029252	0.0206648	0.0149463
a75	0.188054	0.143021	0.17398	0.160668	0.126766	0.0857614	0.0592757	0.0292721	0.019327	0.0138761
a30	0.141423	0.118458	0.169507	0.178766	0.154753	0.086754	0.0642453	0.037688	0.0278394	0.0205668
a14	0.0787251	0.098846	0.129982	0.159519	0.210594	0.12801	0.0917653	0.0494771	0.0292768	0.0238056
a35	0.091633	0.10921	0.139883	0.177347	0.193322	0.113817	0.076699	0.0442577	0.0304115	0.0234196
a26	0.0790824	0.107404	0.128178	0.176599	0.201343	0.11567	0.0748492	0.0466522	0.0354694	0.0347527
a35	0.0683627	0.111842	0.126153	0.168387	0.194475	0.124353	0.0839509	0.0488603	0.0341719	0.0394438
a75	0.0558048	0.0907665	0.0983779	0.144231	0.194926	0.145866	0.0985307	0.0645424	0.0468162	0.0601392
a41	0.041811	0.0536021	0.0675004	0.112718	0.186555	0.136635	0.103043	0.0913072	0.092139	0.114688
a35	0.0506521	0.0626346	0.0648551	0.0857901	0.145356	0.140876	0.107172	0.0977259	0.0998596	0.145079
a14	0.086251	0.0642219	0.0612684	0.0677917	0.112587	0.128118	0.105071	0.107607	0.109238	0.157846
a73	0.0859357	0.0616674	0.0530457	0.0536989	0.0961779	0.129186	0.10819	0.112091	0.11962	0.180387
a11	0.142001	0.0837099	0.0643829	0.057522	0.0781295	0.0863081	0.08301	0.0976658	0.106303	0.200967
a35	0.102789	0.0687313	0.0619915	0.062933	0.0693952	0.0654636	0.0686509	0.101627	0.127952	0.270466
a75	0.0534601	0.0399394	0.0351655	0.0382072	0.0601828	0.0754479	0.0779227	0.125418	0.164928	0.329328
a35	0.0381138	0.0390066	0.0348199	0.0414068	0.0717045	0.0905218	0.0932604	0.134046	0.163786	0.293334
a43	0.0331885	0.0342803	0.0361467	0.0450281	0.069795	0.0747207	0.0818576	0.135416	0.173092	0.316475
a75	0.0233462	0.0262894	0.0281278	0.0412542	0.0626946	0.0576532	0.0654007	0.136191	0.182422	0.376621
a35	0.0319627	0.0351491	0.0365651	0.0517994	0.0803221	0.083112	0.0859909	0.141347	0.163488	0.290263
a41	0.0294803	0.0322169	0.0341803	0.0429015	0.0660165	0.0643015	0.0722276	0.140302	0.193706	0.324667
a14	0.0240444	0.0255406	0.0285531	0.0383939	0.0540095	0.0583342	0.068432	0.141736	0.203266	0.357691
a2	0.0216074	0.0223228	0.0262171	0.0374661	0.0573991	0.0599051	0.0744424	0.148181	0.213273	0.339185
a75	0.0162359	0.0181657	0.0211742	0.0492955	0.0537575	0.0597141	0.0679658	0.137774	0.175667	0.400251
a14	0.0192719	0.0224497	0.0240974	0.036867	0.0412931	0.0391836	0.0470681	0.102897	0.19551	0.471362
a30	0.0127755	0.0150998	0.0179776	0.0273853	0.0359212	0.0381417	0.0479949	0.111522	0.208289	0.484894
a2	0.0233879	0.0174513	0.0182044	0.0275716	0.028716	0.0346977	0.0455736	0.106161	0.203688	0.494548
a57	0.0513024	0.0437719	0.035449	0.0530718	0.046034	0.0378369	0.048706	0.0971896	0.18067	0.405968
a87	0.0300374	0.0223603	0.0201578	0.0277441	0.0290513	0.0209454	0.0331796	0.0920523	0.25452	0.469952
</S>	0.0193506	0.012045	0.0089146	0.01125	0.018986	0.0171991	0.0344862	0.0954633	0.268933	0.513372
