 	l'	arrière	de	la	pirogue	s'	enfonce	</S>
a87	0.323712	0.199742	0.107977	0.0681446	0.0819287	0.0820373	0.0775276	0.0589304
a23	0.220486	0.129485	0.102064	0.0908561	0.0994815	0.113418	0.12499	0.11922
a13	0.162521	0.150802	0.17771	0.130563	0.0949084	0.0917239	0.0893804	0.10239
a9	0.288161	0.290385	0.20785	0.0844519	0.0472447	0.0306198	0.0242757	0.0270119
a53	0.260392	0.29286	0.220182	0.0926519	0.0474651	0.0333239	0.0269027	0.0262226
a20	0.237666	0.309363	0.20197	0.092339	0.0491219	0.036999	0.0343434	0.0381978
a94	0.233465	0.275821	0.211598	0.123238	0.0626055	0.0381083	0.0285612	0.026604
a76	0.250607	0.269191	0.214052	0.128199	0.0580541	0.0330318	0.0238332	0.0230328
a41	0.233391	0.234433	0.210222	0.139041	0.0719993	0.0450893	0.0344922	0.0313324
a26	0.214887	0.218784	0.196974	0.142669	0.0915929	0.0606956	0.0405745	0.0338227
a38	0.12237	0.162662	0.20315	0.180735	0.123818	0.0833368	0.061313	0.0626152
a41	0.0827004	0.119832	0.177965	0.187378	0.158589	0.113863	0.0791779	0.0804956
a24	0.0825816	0.100456	0.148852	0.171009	0.165626	0.146337	0.10036	0.0847785
a41	0.0429223	0.0461186	0.0707882	0.110287	0.166602	0.213599	0.184059	0.165624
a24	0.0375063	0.04236	0.0644336	0.0952857	0.154836	0.217983	0.195281	0.192315
a41	0.0169049	0.0179957	0.025962	0.0436067	0.097368	0.207435	0.259524	0.331204
a12	0.0246221	0.0284598	0.0376773	0.0467205	0.0953246	0.19209	0.245174	0.329932
a31	0.0132719	0.0141492	0.0195007	0.0277754	0.0613598	0.156593	0.271154	0.436197
a98	0.0223215	0.0202933	0.0253331	0.0310614	0.0573313	0.129559	0.254393	0.459708
a71	0.0162246	0.0150132	0.0205626	0.026038	0.050644	0.113249	0.241316	0.516953
a38	0.0202505	0.0186161	0.0275366	0.0351739	0.0504637	0.0941062	0.213965	0.539888
a20	0.0165654	0.0136062	0.0205405	0.026759	0.0424125	0.0804735	0.199087	0.600556
a84	0.0158752	0.0150024	0.0202557	0.0216146	0.0443192	0.0936186	0.212731	0.576584
a87	0.00752306	0.00844465	0.012431	0.016289	0.0324175	0.0707989	0.181765	0.670331
a23	0.0267658	0.0229951	0.0188953	0.0198699	0.0426282	0.0980688	0.237176	0.533601
a87	0.0452913	0.0439869	0.0366433	0.0331576	0.0518235	0.106667	0.269725	0.412706
</S>	0.015051	0.0144365	0.0189407	0.0219215	0.0477365	0.126022	0.265813	0.490079
