 	il	a	les	sourcils	en	broussaille	</S>
a23	0.46041	0.232414	0.125362	0.0621232	0.0447337	0.0430466	0.0319101
a30	0.404791	0.199731	0.108554	0.128415	0.0714636	0.0507112	0.0363345
a11	0.303322	0.208538	0.11266	0.0870971	0.0694289	0.0746356	0.144318
a31	0.400198	0.249696	0.141784	0.0865623	0.0553721	0.0409924	0.0253949
a24	0.336789	0.29675	0.200938	0.103755	0.0295655	0.0184922	0.0137095
a9	0.302313	0.293625	0.20507	0.122569	0.035634	0.0246981	0.0160906
a24	0.185751	0.203025	0.198624	0.158195	0.0941609	0.0818702	0.0783747
a62	0.152101	0.168034	0.175293	0.136527	0.106664	0.123158	0.138224
a31	0.117511	0.133958	0.160195	0.13624	0.117324	0.164961	0.16981
a24	0.0650265	0.0712901	0.0965339	0.11018	0.156929	0.242087	0.257952
a31	0.0471566	0.0424756	0.0557821	0.0823796	0.176941	0.271082	0.324183
a61	0.0209549	0.0215588	0.0340148	0.0688373	0.199998	0.305358	0.349278
a43	0.0106908	0.0112278	0.0181553	0.0429737	0.189697	0.322456	0.4048
a11	0.0114844	0.0106259	0.0141272	0.02743	0.158245	0.305008	0.47308
a13	0.010971	0.0102728	0.0115345	0.0197862	0.10831	0.286458	0.552667
a9	0.00693099	0.00620785	0.00583712	0.00991849	0.0598869	0.27863	0.632588
a87	0.0124172	0.0100609	0.00780292	0.0119583	0.0557618	0.267791	0.634208
a10	0.165943	0.0961777	0.0548685	0.0520177	0.109037	0.216478	0.305478
a87	0.10914	0.0638113	0.0355852	0.0441363	0.138271	0.276367	0.33269
a23	0.116024	0.0690725	0.0435877	0.0479821	0.127928	0.247942	0.347464
a87	0.0178477	0.0146534	0.013336	0.0241308	0.104974	0.282591	0.542467
</S>	0.0179084	0.0125443	0.0142044	0.0309596	0.10045	0.208787	0.615146
