 	cette	maladie	a	rendu	ngakosso	muet	</S>
a15	0.338055	0.191133	0.143724	0.160518	0.0964657	0.047304	0.0228005
a87	0.132745	0.165051	0.172214	0.168991	0.148604	0.141226	0.0711691
a10	0.225146	0.125271	0.104961	0.093332	0.0822187	0.141305	0.227765
a50	0.414368	0.179659	0.10828	0.0953573	0.0545465	0.0732693	0.0745193
a88	0.388305	0.175121	0.0982907	0.091214	0.0723842	0.090165	0.0845202
a9	0.423416	0.218776	0.114373	0.100588	0.0460561	0.0406845	0.0561066
a38	0.300229	0.230469	0.135102	0.10639	0.0654001	0.0658867	0.096523
a90	0.209008	0.253308	0.18953	0.133046	0.0552022	0.0704492	0.0894566
a25	0.343495	0.277349	0.183231	0.136189	0.0267698	0.0134667	0.0194998
a92	0.26142	0.269772	0.233807	0.17498	0.036563	0.0128874	0.0105711
a21	0.265869	0.289648	0.233804	0.154643	0.0342192	0.0126866	0.00913103
a61	0.242892	0.287086	0.258106	0.160401	0.0321381	0.0117761	0.00760065
a24	0.183269	0.233217	0.267063	0.223472	0.0520207	0.0204999	0.0204588
a61	0.117559	0.173804	0.238906	0.252076	0.12129	0.0537479	0.0426167
a47	0.120747	0.170903	0.221568	0.221482	0.129841	0.0707391	0.0647192
a21	0.0887077	0.129379	0.168754	0.179996	0.188322	0.130087	0.114753
a85	0.112839	0.149041	0.180435	0.186292	0.191367	0.11903	0.0609967
a61	0.0920429	0.112161	0.143191	0.170663	0.213239	0.183212	0.0854919
a75	0.0667379	0.0794766	0.112321	0.155054	0.2505	0.232004	0.103906
a44	0.0571367	0.0521624	0.0639912	0.105728	0.264791	0.302976	0.153215
a26	0.0351822	0.033714	0.0392614	0.0651603	0.249128	0.379736	0.197817
a53	0.0208406	0.0259376	0.0324385	0.0451886	0.196971	0.329	0.349623
a93	0.0179342	0.0153046	0.0165362	0.026702	0.173171	0.450641	0.299712
a70	0.00900835	0.0077177	0.00958885	0.0172763	0.127031	0.348922	0.480456
a0	0.00260674	0.0029058	0.00450839	0.00882275	0.0709068	0.305761	0.604489
a62	0.00170401	0.00205974	0.00298115	0.00561298	0.0533715	0.25855	0.675721
a98	0.00130667	0.00152836	0.0027982	0.00591782	0.0518545	0.233646	0.702949
a13	0.00311309	0.00345987	0.00572741	0.00987593	0.0568407	0.221317	0.699666
a18	0.000675699	0.000864089	0.00184843	0.00393926	0.0350495	0.221927	0.735696
a11	0.00115484	0.00137431	0.00223173	0.0039179	0.0392098	0.323727	0.628385
a56	0.000673057	0.00085744	0.00149742	0.00311721	0.0385393	0.300037	0.655278
a94	0.000256062	0.000332257	0.000666052	0.00139268	0.013926	0.169773	0.813654
a13	0.000366422	0.000485378	0.00104799	0.00199091	0.0191807	0.230994	0.745935
a9	0.00375118	0.0035583	0.0055812	0.00660359	0.0542314	0.35568	0.570594
a10	0.0340873	0.0180462	0.0182422	0.0195177	0.0869732	0.404351	0.418782
a38	0.0976988	0.0570865	0.0513763	0.0426322	0.117626	0.295642	0.337939
a9	0.0320097	0.018434	0.0168308	0.017031	0.0889163	0.305508	0.52127
a3	0.0346731	0.0248082	0.025788	0.0284124	0.0937115	0.313471	0.479136
</S>	0.0529598	0.0425012	0.0451979	0.0477875	0.109887	0.283916	0.41775
