 	nous	avons	mis	le	feu	dans	le	champ	</S>
a38	0.236838	0.1358	0.120287	0.136678	0.119249	0.112548	0.0701574	0.0386846	0.0297578
a47	0.263262	0.173763	0.130854	0.137555	0.123103	0.0785812	0.0467887	0.0255571	0.0205366
a0	0.411381	0.224155	0.11359	0.096699	0.0469394	0.0271893	0.0234298	0.0257769	0.0308399
a21	0.377089	0.264089	0.155832	0.0923137	0.042182	0.0238893	0.0172662	0.0140708	0.0132684
a66	0.466633	0.270451	0.142195	0.0732593	0.0288641	0.0100995	0.00416471	0.00240555	0.00192848
a11	0.299764	0.220726	0.168119	0.101846	0.0670385	0.0526946	0.0364338	0.0270967	0.0262814
a56	0.178964	0.169806	0.168225	0.122543	0.0974551	0.0889012	0.0680254	0.0534153	0.0526645
a61	0.138528	0.168637	0.199101	0.166479	0.129513	0.0828881	0.0479763	0.0341234	0.0327524
a90	0.136392	0.173441	0.203435	0.167897	0.13462	0.0859901	0.046716	0.0277094	0.0237981
a61	0.104446	0.148326	0.185112	0.164414	0.147714	0.106807	0.0603475	0.0421877	0.0406457
a21	0.0815889	0.119758	0.149732	0.12941	0.132869	0.133281	0.107346	0.0771412	0.0688737
a85	0.0718964	0.0989476	0.130602	0.125433	0.14621	0.155981	0.125022	0.0818698	0.0640386
a11	0.0482232	0.0679012	0.0980989	0.107632	0.139294	0.148685	0.128572	0.125334	0.13626
a75	0.0231025	0.0274856	0.0322553	0.0284066	0.0484196	0.117447	0.198323	0.252202	0.272359
a85	0.0130189	0.0177385	0.0208815	0.0178748	0.0332113	0.0979078	0.18943	0.268541	0.341396
a47	0.0113429	0.0141272	0.0171943	0.0164051	0.0285813	0.078257	0.165346	0.281062	0.387685
a56	0.00978212	0.0124369	0.0146663	0.0121769	0.0196161	0.0614157	0.163863	0.307673	0.39837
a96	0.00471961	0.00618343	0.00659355	0.00515299	0.00961285	0.0333434	0.112405	0.309373	0.512616
a13	0.0029023	0.00355627	0.00393754	0.00329212	0.0070986	0.025863	0.0958982	0.298966	0.558486
a93	0.00102869	0.00123316	0.00148879	0.00137915	0.00349287	0.0167918	0.0779881	0.282976	0.613621
a83	0.000861027	0.00101274	0.00118125	0.00105058	0.00286803	0.0156439	0.0746254	0.282382	0.620375
a36	0.00092236	0.00111562	0.00128189	0.00110553	0.00283024	0.0138242	0.064211	0.270309	0.6444
a2	0.00425151	0.00342036	0.0028042	0.00186429	0.00289123	0.0131549	0.0676588	0.267648	0.636307
a57	0.057886	0.0441811	0.0328884	0.0277261	0.0371046	0.062701	0.110901	0.200919	0.425693
a87	0.154779	0.129792	0.0985685	0.0798551	0.0646771	0.0608515	0.0863767	0.124049	0.20105
a23	0.109653	0.100695	0.0867591	0.0696907	0.0597786	0.0665324	0.109147	0.164543	0.233201
a87	0.0549119	0.0572509	0.0534739	0.0372485	0.0389911	0.0668603	0.149028	0.237057	0.305179
</S>	0.0148565	0.0220104	0.0245297	0.0200922	0.0285476	0.0559111	0.131056	0.261191	0.441805
