 	de	ces	enfants	qui	sera	le	dernier	à	marcher	à	quatre	pattes	</S>
a66	0.162338	0.13829	0.138338	0.130154	0.126209	0.0995416	0.0618738	0.0358151	0.0396715	0.0292975	0.0197123	0.0118536	0.00690661
a87	0.267492	0.230035	0.155782	0.112824	0.0802252	0.0301756	0.0206612	0.0174963	0.0271875	0.0239147	0.015644	0.00909377	0.00946894
a23	0.29345	0.212812	0.172609	0.166961	0.0592284	0.0266146	0.0160149	0.00948994	0.0112485	0.00770748	0.0064204	0.00728685	0.0101556
a10	0.179194	0.15603	0.12442	0.157469	0.115346	0.042746	0.041639	0.0349297	0.0340376	0.025967	0.0251951	0.0292238	0.0338034
a54	0.171242	0.146271	0.124382	0.184959	0.133765	0.047153	0.0252615	0.0156112	0.0194855	0.019173	0.0257471	0.0407118	0.0462374
a47	0.127315	0.142111	0.124563	0.11145	0.112255	0.087896	0.0469439	0.0392162	0.0459163	0.0433546	0.033232	0.0408623	0.0448856
a36	0.143399	0.162366	0.12284	0.0939648	0.125461	0.0925543	0.0506843	0.0544262	0.0506305	0.02857	0.0186654	0.0262037	0.0302351
a47	0.140609	0.194295	0.160395	0.128958	0.14254	0.0601759	0.0212011	0.0241954	0.0273805	0.0198164	0.0177145	0.0288418	0.0338789
a6	0.109596	0.156765	0.154019	0.123624	0.141653	0.0733115	0.0366664	0.0549801	0.0601515	0.0315377	0.0179926	0.0173295	0.0223735
a85	0.0702985	0.0921416	0.0931029	0.10043	0.12871	0.0859686	0.0656932	0.114982	0.116609	0.0571919	0.027467	0.0213559	0.0260492
a6	0.027944	0.036325	0.0437549	0.051822	0.0955371	0.0829602	0.0844149	0.183757	0.188836	0.0984242	0.0478454	0.0284104	0.0299688
a79	0.0432124	0.0520665	0.0667238	0.0806891	0.100707	0.0992074	0.102644	0.149187	0.147399	0.068156	0.0337663	0.0263245	0.0299175
a25	0.0139412	0.017934	0.0327111	0.0495425	0.0740921	0.0900007	0.113668	0.196796	0.188722	0.0987159	0.052208	0.03481	0.0368585
a69	0.00773392	0.0101335	0.0227143	0.0423131	0.0535483	0.0738392	0.108742	0.195368	0.198343	0.127498	0.0687992	0.0428665	0.0481013
a90	0.00505455	0.00499339	0.0106848	0.022086	0.0349299	0.0764503	0.150854	0.197178	0.183012	0.122004	0.0652234	0.0543687	0.0731608
a56	0.00290159	0.00286883	0.005843	0.0123651	0.0312163	0.0883766	0.151612	0.180248	0.167306	0.123808	0.0845233	0.0701545	0.0787781
a90	0.00423181	0.00348508	0.00524882	0.0103106	0.0222776	0.0691806	0.173142	0.192628	0.166433	0.13507	0.0868309	0.061884	0.0692779
a79	0.0027494	0.00225281	0.00334747	0.00681109	0.0120067	0.0457567	0.136908	0.16701	0.145548	0.145487	0.115662	0.100894	0.115568
a44	0.000772851	0.000725262	0.00122773	0.00279666	0.00603322	0.0260959	0.104584	0.132142	0.106176	0.131896	0.138309	0.156618	0.192623
a90	0.0020367	0.00158726	0.00193436	0.00337704	0.00413594	0.0169986	0.073931	0.0826459	0.0710899	0.103366	0.148484	0.23737	0.253043
a56	0.000641099	0.000544422	0.00088426	0.00195777	0.00509193	0.0246825	0.104872	0.10779	0.0815218	0.116271	0.153137	0.192573	0.210032
a75	0.000893757	0.000709628	0.000987466	0.00184505	0.00363213	0.0167223	0.0783714	0.0991747	0.0752317	0.0920982	0.12234	0.215358	0.292636
a5	0.000171844	0.000170651	0.000304554	0.000758699	0.00217529	0.00955472	0.0407397	0.0697422	0.0566999	0.0802619	0.107922	0.207876	0.423623
a37	0.00015098	0.000129928	0.000213444	0.000504408	0.00109452	0.00628107	0.036945	0.054395	0.0425382	0.0589177	0.0951325	0.259398	0.4443
a12	0.000594615	0.000478173	0.000620902	0.0011128	0.0014077	0.00672045	0.0354054	0.0457204	0.0334916	0.0448509	0.079514	0.264172	0.485911
a96	0.00048694	0.000382571	0.000533957	0.000990381	0.00150598	0.00663211	0.0278855	0.0382787	0.0294253	0.0393979	0.0709358	0.255856	0.527689
a61	0.000572222	0.00053814	0.000816785	0.00151977	0.00221175	0.0071779	0.0186181	0.0265306	0.0218234	0.030689	0.0543666	0.244766	0.590369
a43	0.000409498	0.000385123	0.00057919	0.00122385	0.00169345	0.0053617	0.0130709	0.0174576	0.0138076	0.0221372	0.0447288	0.253356	0.625789
a27	0.000969281	0.000810525	0.000832846	0.00142704	0.00168401	0.00352051	0.00824581	0.0106795	0.00887111	0.0182439	0.0495793	0.278031	0.617105
a30	0.0308562	0.0193811	0.0173489	0.0173191	0.0138607	0.0220373	0.0560409	0.0562167	0.040583	0.0594186	0.0917474	0.206668	0.368522
a87	0.113824	0.0708519	0.0504344	0.0387149	0.027473	0.0295915	0.0624918	0.0695712	0.0587528	0.0817288	0.0947711	0.129847	0.171948
a23	0.181239	0.135739	0.119971	0.100261	0.0630247	0.0421025	0.0695082	0.0483007	0.0436082	0.0408248	0.0421322	0.0506346	0.0626542
a87	0.0812064	0.0564345	0.0423024	0.0314734	0.0151459	0.0209155	0.0739307	0.0770499	0.0707214	0.0769664	0.0856279	0.131237	0.236989
</S>	0.00887761	0.00679208	0.00602775	0.00747999	0.00541494	0.0113139	0.0542186	0.101496	0.0859469	0.0987381	0.105394	0.173564	0.334737
