 	il	confectionne	une	brosse	</S>
a85	0.598921	0.325752	0.0241233	0.0213119	0.0298915
a87	0.340635	0.241723	0.155394	0.125938	0.13631
a23	0.365046	0.236117	0.11515	0.116209	0.167478
a79	0.18096	0.247688	0.141181	0.188229	0.241942
a40	0.324284	0.48993	0.0971016	0.0497387	0.0389459
a30	0.347571	0.536556	0.0900622	0.0175407	0.0082707
a26	0.393549	0.503723	0.0775985	0.0157592	0.00937059
a76	0.247574	0.435751	0.215966	0.0598804	0.0408282
a94	0.293829	0.352144	0.227485	0.0795517	0.0469893
a98	0.266352	0.353165	0.230063	0.0927393	0.0576803
a35	0.195624	0.303985	0.291876	0.128906	0.0796094
a94	0.119805	0.240303	0.319947	0.196018	0.123928
a54	0.0611766	0.131424	0.321135	0.297269	0.188995
a30	0.0621045	0.184536	0.311589	0.265767	0.176003
a35	0.0186747	0.0586952	0.190139	0.398759	0.333731
a57	0.0064615	0.0277698	0.0961992	0.4152	0.454369
a53	0.00155372	0.00967633	0.0642781	0.364936	0.559556
a4	0.00211424	0.0101668	0.060495	0.363994	0.56323
a58	0.00113226	0.00399896	0.0298073	0.271164	0.693898
a82	0.000927238	0.00277859	0.024912	0.281383	0.689999
a87	0.00265579	0.00847456	0.0446352	0.286602	0.657633
</S>	0.00377937	0.0147659	0.0430774	0.239861	0.698516
