 	cet	homme	est	en	train	de	rouler	un	tronc	d'	arbre	</S>
a23	0.153788	0.103633	0.0910657	0.102704	0.116848	0.118471	0.116263	0.0895891	0.0449762	0.0235706	0.0208686	0.0182223
a83	0.234364	0.124651	0.070595	0.0634952	0.0621235	0.0601481	0.0627226	0.0514799	0.0317911	0.0406791	0.0755907	0.12236
a13	0.163414	0.134476	0.0934818	0.0707858	0.0678316	0.0592009	0.0604715	0.0653983	0.0716866	0.0594376	0.065568	0.0882481
a54	0.257278	0.221783	0.127552	0.0744128	0.0664605	0.0675947	0.0569328	0.0464212	0.0313291	0.0165208	0.0159257	0.0177889
a47	0.205524	0.16725	0.112342	0.0843539	0.0817119	0.0806883	0.0710697	0.0638863	0.0548774	0.0240949	0.025989	0.0282128
a41	0.166639	0.157435	0.114768	0.0906499	0.10102	0.109502	0.0777189	0.0641723	0.0476095	0.0204169	0.0240793	0.0259889
a26	0.137766	0.140359	0.119172	0.103843	0.110774	0.126025	0.0933126	0.0795225	0.0439581	0.0156875	0.0148601	0.0147198
a61	0.112233	0.115962	0.115296	0.108638	0.116565	0.120312	0.0857537	0.080056	0.0611063	0.0304206	0.0272972	0.0263605
a66	0.0942876	0.118238	0.124151	0.119375	0.141226	0.158286	0.0960536	0.0706827	0.0344064	0.0156102	0.0141649	0.0135181
a90	0.0649319	0.0843615	0.113434	0.126909	0.13491	0.137334	0.0895005	0.0811853	0.0565712	0.0346972	0.0366246	0.0395408
a15	0.0732309	0.0915016	0.116377	0.129354	0.142312	0.156021	0.0978635	0.0753728	0.042807	0.0226615	0.0242914	0.0282063
a73	0.06118	0.0749953	0.106938	0.134199	0.157833	0.165861	0.10502	0.0799687	0.0426646	0.021846	0.0225032	0.0269905
a26	0.0344872	0.0401517	0.0609669	0.0975175	0.120861	0.140469	0.116611	0.119208	0.0874154	0.054908	0.0570075	0.0703968
a53	0.0200007	0.0201602	0.0374561	0.0763555	0.0900948	0.120597	0.125852	0.141314	0.0847151	0.0596077	0.0865728	0.137274
a94	0.0422963	0.0438315	0.0566972	0.0846114	0.0996414	0.119987	0.113096	0.134156	0.0990235	0.0607785	0.0670508	0.0788308
a90	0.0364839	0.037867	0.0492123	0.0699913	0.0795624	0.0947069	0.10536	0.149055	0.132865	0.0776144	0.0757287	0.0915536
a56	0.027169	0.0272491	0.0373425	0.0548937	0.0624657	0.0734471	0.0847575	0.147531	0.186113	0.117498	0.0897569	0.0917765
a75	0.0277978	0.0285148	0.0373278	0.0513125	0.055147	0.0621507	0.0714378	0.124137	0.190621	0.140129	0.104832	0.106593
a66	0.0328822	0.0327352	0.043066	0.0566191	0.055622	0.0510548	0.0498679	0.0670295	0.0862962	0.121832	0.174201	0.228794
a9	0.0121562	0.00971622	0.0136368	0.0225044	0.0237662	0.0260961	0.0272363	0.0513307	0.101886	0.15085	0.213289	0.347532
a11	0.00633717	0.00495217	0.00558684	0.00898519	0.0105459	0.0122162	0.0155078	0.0260134	0.0440015	0.0921944	0.243079	0.53058
a75	0.00386329	0.00229722	0.00229679	0.00342492	0.00330101	0.00309848	0.00394166	0.00736518	0.0208339	0.0723324	0.246367	0.630878
a96	0.00716863	0.00585673	0.00754217	0.0109227	0.0100984	0.0089964	0.0101985	0.0174327	0.0384526	0.0953041	0.247504	0.540523
a31	0.00349056	0.00278816	0.00343953	0.00510187	0.0039874	0.00412213	0.00506529	0.00936766	0.0241687	0.0863327	0.262549	0.589587
a66	0.00114768	0.000965719	0.00121686	0.00196182	0.00166525	0.0020343	0.00292276	0.00632897	0.0182837	0.0820204	0.272385	0.609067
a11	0.00317981	0.00214634	0.00205906	0.00275984	0.00234424	0.00219961	0.00385217	0.00853712	0.0231446	0.0997903	0.276648	0.573339
a90	0.00854193	0.00521363	0.0043702	0.00490849	0.00391367	0.00311389	0.00497217	0.00849084	0.0170079	0.0889657	0.262721	0.58778
a15	0.000845412	0.0005944	0.000633421	0.0008754	0.000751334	0.000823682	0.0017799	0.00443584	0.0136778	0.0512083	0.242569	0.681806
a73	0.00107989	0.000782996	0.000942057	0.00144321	0.00144795	0.00200089	0.00377415	0.00695364	0.0144731	0.0397507	0.196132	0.73122
a84	0.00538734	0.00383818	0.00410126	0.00513394	0.00470965	0.00508273	0.00905267	0.0129622	0.0256115	0.0767341	0.248629	0.598757
a57	0.0722386	0.0466454	0.0421896	0.0456379	0.0458434	0.0394178	0.0406787	0.0453247	0.0530797	0.110169	0.167301	0.291474
a87	0.0712687	0.0495324	0.0427356	0.0457864	0.0406877	0.0314966	0.0317746	0.0321167	0.048684	0.134887	0.199641	0.271389
a23	0.0962442	0.0652721	0.0546504	0.0613216	0.0501856	0.043356	0.0586395	0.058196	0.0602241	0.114908	0.143673	0.19333
a87	0.0439532	0.0314042	0.0261985	0.0244547	0.0198291	0.0184217	0.0230664	0.0277371	0.0543751	0.13643	0.232005	0.362125
</S>	0.0171797	0.0138803	0.0149365	0.0180047	0.0141278	0.0129647	0.0157421	0.0200893	0.0457915	0.124227	0.244923	0.458133
