 	ton	mari	est	en	train	de	se	gaver	dans	cette	cuisine-là	</S>
a66	0.174049	0.139568	0.109433	0.126168	0.135028	0.119286	0.0879892	0.0473353	0.0320788	0.0168639	0.00744626	0.00475415
a87	0.501865	0.241858	0.0892339	0.0469633	0.0315608	0.0262638	0.0160922	0.0114808	0.00729883	0.00686753	0.0086757	0.01184
a23	0.386814	0.192195	0.114125	0.0828258	0.0627461	0.0555626	0.0372966	0.0206829	0.0144407	0.0113935	0.0095907	0.0123271
a87	0.403186	0.197085	0.0978962	0.0609033	0.0437675	0.0424365	0.0426133	0.0295919	0.0262819	0.0212505	0.0153831	0.0196045
a23	0.369816	0.208271	0.115984	0.0699544	0.0480294	0.0455576	0.0441739	0.0276349	0.0230426	0.0206928	0.0142845	0.0125592
a4	0.358812	0.191568	0.0930905	0.060325	0.0452952	0.0453588	0.0477207	0.034093	0.0295448	0.0340031	0.027929	0.0322598
a93	0.320982	0.196935	0.100362	0.0832301	0.072595	0.0629641	0.0508931	0.0335251	0.0252195	0.0176381	0.0164252	0.0192306
a34	0.26708	0.20759	0.122691	0.104328	0.088652	0.0795833	0.056301	0.0349622	0.0177773	0.0095921	0.00650461	0.00493859
a56	0.187262	0.18262	0.131932	0.112841	0.0962751	0.09816	0.075082	0.0618115	0.0260715	0.0156154	0.00738839	0.00494149
a90	0.144272	0.135252	0.123797	0.116776	0.102111	0.105684	0.0821507	0.0986302	0.0431677	0.0282723	0.0116645	0.00822298
a56	0.073276	0.0853035	0.102708	0.111245	0.104651	0.112279	0.0958127	0.148619	0.0748979	0.0563472	0.0219109	0.0129493
a98	0.0915326	0.102574	0.119226	0.127509	0.114178	0.11301	0.0916827	0.115787	0.0589308	0.0407127	0.0142667	0.0105912
a92	0.0507076	0.0628502	0.0785692	0.0797017	0.0718901	0.0823525	0.0909643	0.184609	0.123021	0.10365	0.0404238	0.0312609
a75	0.0675918	0.0809262	0.100441	0.105418	0.0963855	0.0997531	0.0968552	0.13116	0.092611	0.0742879	0.0306683	0.0239016
a79	0.0274398	0.0424093	0.0751057	0.0955174	0.0986136	0.105471	0.116053	0.146661	0.122686	0.0957819	0.0471222	0.027139
a25	0.0136436	0.0249643	0.0521765	0.0756342	0.0942246	0.113837	0.140136	0.177188	0.141259	0.0942165	0.0447752	0.0279451
a85	0.00853957	0.0158424	0.0370269	0.0671644	0.102654	0.118626	0.13836	0.168535	0.152282	0.101911	0.0480358	0.0410234
a6	0.00502575	0.00967677	0.0264702	0.0566263	0.0925053	0.114258	0.152675	0.160849	0.151237	0.106961	0.0677321	0.0559826
a36	0.00632274	0.00990671	0.0239193	0.0526144	0.0963051	0.124898	0.168837	0.151695	0.148341	0.110243	0.0592936	0.0476238
a61	0.00316819	0.00399885	0.00751876	0.0175489	0.0468709	0.0860794	0.159349	0.165052	0.200558	0.138824	0.0722367	0.0987959
a31	0.00468573	0.0047383	0.00843343	0.0172103	0.0407482	0.0818764	0.166636	0.131568	0.192845	0.167508	0.100557	0.0831934
a24	0.0057143	0.00580565	0.00927405	0.0175112	0.0371686	0.0654857	0.1277	0.119729	0.177531	0.184366	0.133468	0.116247
a47	0.00692218	0.00769018	0.0123281	0.0228462	0.0446297	0.062105	0.0861423	0.0723894	0.0865543	0.132868	0.181619	0.283906
a88	0.0176639	0.0180484	0.0240276	0.0406645	0.0830125	0.0994194	0.107372	0.0752023	0.0818047	0.111941	0.137087	0.203757
a94	0.00704687	0.00729613	0.0112715	0.0206482	0.0421212	0.0571861	0.0725164	0.0595895	0.0665575	0.110796	0.206129	0.338841
a25	0.00720285	0.00767981	0.0118479	0.0228381	0.0525634	0.0658715	0.0751229	0.048266	0.05282	0.0915085	0.19304	0.371239
a20	0.0158701	0.013541	0.0172923	0.0257473	0.0491283	0.0589351	0.0607703	0.0376441	0.0432431	0.0759384	0.188553	0.413337
a75	0.00220179	0.00202888	0.00273036	0.00435151	0.00845697	0.0125228	0.0196226	0.0237513	0.032254	0.0674125	0.229429	0.595239
a85	0.000500739	0.000513027	0.000784491	0.00140302	0.00282804	0.00473706	0.0108044	0.0136707	0.0328106	0.0807357	0.244238	0.606974
a15	0.000246942	0.000237287	0.000359031	0.000694887	0.00184179	0.00340705	0.00821817	0.00900711	0.0244901	0.0580687	0.198804	0.694625
a7	0.000473878	0.000452114	0.000703641	0.00126509	0.00269388	0.00446242	0.00866242	0.0113163	0.0207282	0.0420535	0.178561	0.728627
a44	0.00147003	0.00111465	0.00130275	0.00201023	0.00428828	0.00628136	0.00940537	0.0117418	0.0149417	0.0362198	0.168847	0.742377
a58	0.000880995	0.000640682	0.000861587	0.00146108	0.00322876	0.00488561	0.00782493	0.00866893	0.0143577	0.03422	0.165711	0.757258
a13	0.00286873	0.0017914	0.00167428	0.00235768	0.00480757	0.00633599	0.00908765	0.0101007	0.0105112	0.0223407	0.114218	0.813906
a11	0.0079247	0.00518652	0.00508704	0.00733435	0.01261	0.0154814	0.0220306	0.0207549	0.0194315	0.0342712	0.140117	0.709771
a31	0.00665476	0.00399226	0.00447311	0.00725461	0.0147365	0.0198071	0.0275847	0.0241917	0.0209782	0.0422308	0.173594	0.654502
a88	0.000419476	0.000355251	0.000592691	0.00127309	0.0028049	0.00397608	0.00567202	0.00541969	0.00655584	0.0166376	0.107173	0.84912
a9	0.0013828	0.00115571	0.00170016	0.00328507	0.00781675	0.0109826	0.0149501	0.0144686	0.0128193	0.0280772	0.155217	0.748144
a10	0.0204206	0.0136934	0.0154799	0.0236948	0.0429617	0.0576684	0.0632865	0.0516967	0.0362356	0.0513824	0.173776	0.449704
a87	0.0663132	0.0346313	0.0306075	0.0401883	0.05445	0.0690435	0.0719268	0.0737517	0.0501318	0.0692529	0.162288	0.277415
a23	0.083025	0.0560242	0.046616	0.0546371	0.0632378	0.077236	0.0743517	0.0842861	0.0775957	0.103027	0.143332	0.136631
a87	0.0456899	0.0197946	0.0139016	0.0130659	0.0169397	0.0243173	0.0292683	0.0522223	0.0440077	0.0729064	0.213152	0.454734
