 	j'	ai	compris	tout	ce	que	tu	as	dit	</S>
a66	0.296092	0.111738	0.0924924	0.101615	0.108322	0.102924	0.088036	0.0539542	0.0261866	0.0186403
a87	0.284465	0.14637	0.110721	0.104649	0.0990867	0.0723864	0.0574732	0.045295	0.0384282	0.0411258
a23	0.314979	0.23249	0.14538	0.0764699	0.0536028	0.035477	0.0323691	0.0345886	0.0372702	0.0373728
a83	0.315204	0.269967	0.167382	0.0804606	0.0523946	0.0290548	0.0201147	0.0196531	0.0204676	0.0253013
a11	0.318035	0.218327	0.21171	0.0953591	0.0547645	0.0315447	0.0199805	0.0161846	0.0160414	0.0180535
a12	0.281265	0.305378	0.208595	0.0880726	0.0522357	0.0259535	0.015041	0.00901958	0.00747068	0.00696953
a96	0.202244	0.289872	0.236466	0.109323	0.0717328	0.0372147	0.0210701	0.0125183	0.0096287	0.00993094
a94	0.140013	0.257923	0.244137	0.140876	0.0995592	0.0486677	0.027218	0.0157386	0.0123153	0.0135513
a93	0.0939705	0.172623	0.21159	0.172207	0.141221	0.0780942	0.048536	0.030059	0.0240435	0.0276557
a56	0.0885868	0.133144	0.205657	0.196036	0.16208	0.0855776	0.0501381	0.0284759	0.0233269	0.0269774
a96	0.0719926	0.0938005	0.158337	0.179595	0.168493	0.107761	0.0766889	0.0485641	0.0434064	0.0513625
a66	0.0615871	0.0766525	0.119592	0.181749	0.17751	0.120033	0.0831613	0.0550525	0.054357	0.0703064
a90	0.0280941	0.0350064	0.0623183	0.127134	0.135335	0.138791	0.122867	0.104235	0.109788	0.136431
a98	0.0224269	0.021688	0.033335	0.0747137	0.114531	0.153891	0.176978	0.147436	0.122721	0.13228
a6	0.0153612	0.0155469	0.0200154	0.047236	0.0802961	0.126134	0.166082	0.17141	0.170887	0.187032
a75	0.0146586	0.0115253	0.0141895	0.0337872	0.0612782	0.108763	0.154698	0.172354	0.196638	0.232109
a92	0.00806487	0.00616602	0.0100632	0.0228439	0.0406946	0.0779679	0.123731	0.164156	0.250958	0.295355
a21	0.00704902	0.00485922	0.00679583	0.0167434	0.0313944	0.0619946	0.104016	0.157881	0.278324	0.330943
a47	0.00310327	0.00199856	0.00238983	0.00520937	0.00920044	0.0224999	0.0509612	0.127976	0.333541	0.443121
a61	0.00343495	0.00187865	0.0017919	0.00362488	0.0057404	0.015487	0.0405787	0.126183	0.323217	0.478064
a43	0.00123255	0.00073239	0.000852726	0.00164505	0.00257973	0.00679188	0.0188567	0.0760395	0.289235	0.602034
a31	0.000553779	0.000432573	0.000600932	0.00107213	0.0016259	0.00450783	0.015035	0.0677989	0.280337	0.628036
a61	0.000655297	0.000487157	0.000646396	0.00106707	0.00144748	0.00322887	0.00998141	0.0510604	0.266791	0.664635
a94	0.000398806	0.000358618	0.000630518	0.00142354	0.00219617	0.00536225	0.0176944	0.0743627	0.28394	0.613633
a38	0.0013878	0.00133224	0.00237902	0.00467105	0.00746153	0.0179129	0.0460621	0.123895	0.296436	0.498462
a82	0.00668657	0.00543516	0.00737058	0.0117913	0.0168124	0.0317637	0.065838	0.145069	0.285111	0.424123
a10	0.111507	0.0628833	0.0701136	0.0734939	0.0683639	0.0761642	0.0905067	0.115388	0.150809	0.18077
a87	0.238123	0.129649	0.108877	0.0762334	0.0658176	0.0592361	0.0608883	0.0739358	0.0909144	0.0963257
a23	0.267875	0.176751	0.122773	0.0728071	0.0616846	0.0534395	0.0520001	0.0550786	0.0636921	0.0738981
a99	0.040845	0.0254117	0.0179997	0.0152494	0.0160078	0.0204566	0.0334152	0.0901811	0.270256	0.470177
a97	0.0118148	0.00799449	0.00629912	0.00693944	0.0093989	0.0160977	0.0316391	0.0871649	0.307936	0.514715
a27	0.00888284	0.00660893	0.0056721	0.00608074	0.00774928	0.0127986	0.0251059	0.0799725	0.298284	0.548845
</S>	0.0572446	0.0479548	0.0490313	0.0312603	0.024353	0.0246945	0.034345	0.0811062	0.246894	0.403116
