 	l'	autre	chef	est	en	voyage	</S>
a66	0.329745	0.204079	0.151963	0.136456	0.0906479	0.0497	0.0374098
a87	0.246057	0.144934	0.170546	0.189336	0.125008	0.0695309	0.0545868
a97	0.397659	0.241863	0.143508	0.0927069	0.0556994	0.0353643	0.0331998
a30	0.408247	0.256072	0.147855	0.0818923	0.0385058	0.0282585	0.0391701
a4	0.431509	0.240443	0.139752	0.0807259	0.0407906	0.0292104	0.0375689
a53	0.480052	0.241542	0.119134	0.0717966	0.0403563	0.0263448	0.0207742
a93	0.313724	0.275272	0.173948	0.107448	0.0586671	0.0386271	0.0323138
a70	0.239169	0.263454	0.186231	0.121995	0.0765188	0.0599254	0.0527074
a93	0.180044	0.237056	0.189036	0.136909	0.095427	0.0844273	0.0771008
a56	0.153497	0.201626	0.170506	0.138688	0.113747	0.11569	0.106247
a75	0.138907	0.177889	0.160323	0.146351	0.124662	0.134096	0.117772
a85	0.0816621	0.106801	0.118246	0.142554	0.166042	0.204582	0.180113
a92	0.082815	0.0973934	0.111828	0.141669	0.160928	0.202636	0.20273
a61	0.0722717	0.077426	0.0956539	0.127318	0.173109	0.225344	0.228878
a21	0.0254957	0.0306639	0.0496618	0.0881247	0.160307	0.272004	0.373743
a12	0.0118704	0.015007	0.027554	0.0621435	0.157194	0.294049	0.432182
a96	0.00767502	0.00856022	0.0149831	0.0332728	0.102889	0.275891	0.556729
a54	0.00676201	0.00672989	0.0116866	0.0246462	0.0728612	0.226957	0.650357
a36	0.00343987	0.00303454	0.00505312	0.0107123	0.0369909	0.183853	0.756916
a26	0.0277616	0.0207534	0.0316284	0.0482066	0.0873053	0.21728	0.567065
a57	0.182507	0.0881737	0.0730083	0.0769931	0.0961828	0.154603	0.328533
a97	0.333736	0.157083	0.102246	0.0794734	0.0730063	0.0855383	0.168917
a87	0.214125	0.13138	0.11371	0.111088	0.119089	0.127053	0.183555
a97	0.145477	0.0968305	0.090295	0.105469	0.1397	0.175869	0.24636
a87	0.0739545	0.0487893	0.0509433	0.0675502	0.111253	0.234559	0.412951
a97	0.0934542	0.0704404	0.0685689	0.0857333	0.127491	0.204877	0.349436
a99	0.0861173	0.0665516	0.0747266	0.101023	0.140471	0.221146	0.309964
a97	0.0664404	0.0472875	0.0563169	0.0851714	0.144775	0.227576	0.372432
</S>	0.0931746	0.060868	0.0662524	0.0886104	0.134781	0.228864	0.32745
