 	ii	a	dénoué	la	corde	avec	laquelle	on	avait	attaché	le	cabri	</S>
a66	0.406172	0.328063	0.0861061	0.0476533	0.0353002	0.0347779	0.0256166	0.00522125	0.00430107	0.00386158	0.00544025	0.00763825	0.00984774
a87	0.501816	0.308171	0.0395738	0.0257742	0.0178136	0.016943	0.0189022	0.00870862	0.00837716	0.00753344	0.0101439	0.0153158	0.0209271
a23	0.523655	0.256123	0.0540705	0.0370131	0.0224548	0.0209318	0.0162132	0.0104748	0.0101197	0.01165	0.00988696	0.0117743	0.0156334
a79	0.458012	0.229037	0.032272	0.0285169	0.019944	0.0217748	0.0206213	0.0134089	0.0157797	0.0178708	0.0274538	0.0461434	0.0691654
a69	0.259702	0.141345	0.0448613	0.067275	0.051222	0.0389059	0.0332941	0.0328582	0.0372644	0.0425931	0.0558167	0.08756	0.107302
a84	0.142633	0.165547	0.12391	0.132657	0.0970685	0.0843856	0.0550515	0.0328603	0.030566	0.0288555	0.0304604	0.03759	0.0384155
a11	0.104832	0.120227	0.108818	0.13313	0.163985	0.127073	0.0740655	0.0275611	0.0221271	0.0219568	0.0246405	0.0335664	0.0380165
a56	0.0605907	0.0681506	0.116078	0.183868	0.193068	0.205283	0.081456	0.0256475	0.0166492	0.0132475	0.00993091	0.0124295	0.0136013
a43	0.0460057	0.0576552	0.129021	0.202589	0.203766	0.19765	0.0858579	0.0228803	0.01212	0.00968442	0.00833351	0.0112149	0.0132217
a62	0.0175032	0.0220707	0.0763275	0.157826	0.24494	0.230453	0.13048	0.0366726	0.0181804	0.0136174	0.0121898	0.017906	0.021833
a88	0.0113812	0.0151646	0.0781029	0.145452	0.224906	0.197808	0.150462	0.0504468	0.0307135	0.0210665	0.018131	0.023886	0.0324792
a71	0.00976184	0.0121222	0.0530705	0.124029	0.215763	0.171282	0.160141	0.0657602	0.0456867	0.0325486	0.0263816	0.0344775	0.0489765
a0	0.023966	0.0186217	0.0411533	0.0622113	0.137037	0.106333	0.0933915	0.0919693	0.0742742	0.0580292	0.059723	0.0900782	0.143212
a47	0.0395459	0.0319981	0.0580919	0.0712705	0.139	0.115607	0.0959811	0.0674408	0.0548866	0.0432873	0.0526814	0.0842534	0.145956
a88	0.0256187	0.0198606	0.0464645	0.0816112	0.189173	0.138623	0.102998	0.0760421	0.0614811	0.0485811	0.0469037	0.0613369	0.101306
a75	0.0133135	0.0095288	0.0252089	0.0465008	0.0865163	0.0617593	0.073943	0.0640277	0.0593396	0.066747	0.0957132	0.146184	0.251218
a92	0.00172123	0.00177812	0.00689171	0.0229509	0.0476194	0.0217742	0.032237	0.0638063	0.0700821	0.116756	0.167258	0.179265	0.26786
a37	0.00188911	0.00193592	0.00817371	0.0222947	0.0367798	0.0210937	0.0316389	0.0681119	0.0833882	0.153601	0.195669	0.17864	0.196784
a96	0.00338986	0.00234934	0.00847777	0.0208232	0.0463356	0.0285227	0.0325768	0.0493031	0.0570482	0.116048	0.150295	0.198632	0.286198
a98	0.00186033	0.00113059	0.0043785	0.0108441	0.0197586	0.0125707	0.0230932	0.0472709	0.0590193	0.105739	0.141531	0.213823	0.35898
a47	0.000208509	0.000109962	0.00045804	0.00187696	0.00522882	0.0029921	0.00775974	0.0242841	0.0380146	0.0872291	0.135051	0.221982	0.474805
a7	0.000600553	0.000287419	0.000839255	0.00242029	0.00539685	0.0037342	0.0176224	0.0395379	0.0573033	0.117046	0.146941	0.214906	0.393365
a44	0.00563256	0.00419676	0.00779812	0.0154976	0.0208062	0.0120261	0.0341505	0.0539732	0.069582	0.0888123	0.132657	0.204086	0.350781
a11	0.00419961	0.00237568	0.005661	0.0122663	0.0163871	0.0095965	0.0233384	0.0539615	0.0719545	0.104521	0.134058	0.207525	0.354156
a0	0.00191437	0.00122218	0.00309638	0.00546743	0.00855658	0.00376281	0.0160782	0.0407512	0.0657009	0.098249	0.151337	0.240924	0.36294
a38	0.0054674	0.00378344	0.0060806	0.00955994	0.0131168	0.00647602	0.0289538	0.060533	0.0950005	0.134894	0.147078	0.211229	0.277828
a10	0.00690786	0.00535709	0.0109176	0.0203202	0.0248092	0.0144288	0.0429598	0.0887534	0.122841	0.148604	0.135275	0.166805	0.212021
a87	0.122285	0.0941738	0.079156	0.0856149	0.086144	0.0586822	0.0589373	0.0691294	0.0804201	0.078798	0.0578594	0.0588416	0.0699581
a23	0.280752	0.223462	0.109641	0.086453	0.0657577	0.0525097	0.0430544	0.0273087	0.0244156	0.0231349	0.0195911	0.020117	0.0238035
a87	0.120515	0.092602	0.0713593	0.0895447	0.0722366	0.049615	0.0628736	0.0471386	0.037707	0.0567944	0.0716292	0.0999837	0.128
</S>	0.0130137	0.00995947	0.00992085	0.019169	0.0227714	0.0116772	0.0242341	0.0323679	0.0340374	0.0915483	0.151082	0.220679	0.359539
