 	ma	femme	évente	des	vêtements	</S>
a66	0.415052	0.309723	0.171417	0.0523911	0.0297149	0.0217028
a87	0.60058	0.275805	0.0581613	0.0208471	0.0188163	0.0257908
a23	0.606924	0.220251	0.0584799	0.033996	0.0333965	0.0469527
a13	0.492197	0.132016	0.055584	0.0621984	0.0889774	0.169027
a20	0.296635	0.181449	0.0879694	0.0815015	0.129713	0.222733
a44	0.32295	0.329616	0.179711	0.0711506	0.0550678	0.0415039
a79	0.234233	0.317239	0.205437	0.0977155	0.0872228	0.058153
a7	0.141982	0.240132	0.230266	0.150963	0.140178	0.0964786
a32	0.111945	0.178352	0.182991	0.148549	0.192104	0.186058
a11	0.114479	0.199482	0.19601	0.131456	0.163103	0.19547
a70	0.100184	0.175529	0.196965	0.139539	0.17371	0.214072
a53	0.0718202	0.110571	0.156185	0.14391	0.212933	0.304581
a90	0.0365247	0.0575775	0.103192	0.161384	0.263439	0.377883
a79	0.0332525	0.0614031	0.122525	0.18511	0.275949	0.32176
a47	0.0320885	0.0506092	0.104957	0.179716	0.282891	0.349739
a36	0.0118508	0.0167756	0.053673	0.122264	0.287816	0.507621
a11	0.00968272	0.00979551	0.0260402	0.0735169	0.265774	0.61519
a66	0.0161996	0.0192178	0.0433675	0.109997	0.2644	0.546818
a50	0.0103706	0.0089323	0.0162044	0.0498211	0.210677	0.703994
a88	0.0028432	0.00310994	0.00999492	0.0537204	0.24175	0.688581
a71	0.00339596	0.00321866	0.00908826	0.0446152	0.213356	0.726326
a54	0.00475318	0.00443719	0.00943577	0.0480744	0.227939	0.705361
a37	0.000888777	0.00133109	0.00613596	0.0424098	0.259694	0.689541
a26	0.000570016	0.00077757	0.00342706	0.029336	0.214791	0.751099
a57	0.000533598	0.000779942	0.00265308	0.0266685	0.212471	0.756894
a87	0.0265514	0.0277537	0.0484445	0.133335	0.305647	0.458268
a23	0.314568	0.125546	0.115947	0.125323	0.159117	0.159499
a87	0.213918	0.101898	0.115342	0.135538	0.2121	0.221203
</S>	0.0177138	0.0152741	0.0381922	0.10852	0.343846	0.476454
