 	il	est	arrivé	hier	</S>
a23	0.345669	0.166464	0.101806	0.158731	0.227331
a20	0.478906	0.219835	0.104122	0.0890066	0.108131
a73	0.384216	0.238751	0.173432	0.104509	0.0990913
a11	0.562828	0.261204	0.113538	0.0341052	0.0283252
a41	0.476244	0.267798	0.138108	0.0623046	0.0555456
a56	0.402047	0.267965	0.155849	0.0954826	0.0786557
a54	0.334382	0.235309	0.173882	0.129469	0.126958
a73	0.206869	0.180564	0.190599	0.197616	0.224352
a84	0.176154	0.169527	0.197114	0.209264	0.247941
a53	0.10919	0.150421	0.226892	0.234545	0.278952
a20	0.103769	0.129697	0.185818	0.262416	0.318299
a84	0.103739	0.135486	0.198946	0.268651	0.293179
a57	0.0454535	0.0697342	0.154069	0.289972	0.44077
a87	0.0512651	0.0595137	0.100927	0.236164	0.55213
</S>	0.0302749	0.0420608	0.094858	0.215865	0.616941
