 	dans	notre	village	les	feuilles	de	l'	arbuste	esyese	sont	utilisées	pour	guérir	les	brûlures	</S>
a66	0.219043	0.137526	0.0871598	0.0628489	0.0482097	0.0448523	0.0432256	0.0716539	0.0564793	0.0741824	0.0440056	0.0244463	0.0209971	0.0157716	0.026446	0.0231516
a87	0.280701	0.11978	0.0794842	0.0467747	0.0388118	0.03289	0.0380343	0.0525489	0.0770809	0.054447	0.0326671	0.0189745	0.0152751	0.0162232	0.0367759	0.0595315
a79	0.263231	0.140716	0.105224	0.0693335	0.046179	0.0396615	0.044449	0.0639205	0.0759489	0.0511402	0.0262258	0.0169282	0.0106469	0.00941741	0.0136087	0.0233693
a4	0.228478	0.104421	0.0696616	0.046477	0.0396988	0.0439129	0.0675569	0.0892237	0.106005	0.0654218	0.0363214	0.0243867	0.0118038	0.0111154	0.0176696	0.0378465
a69	0.259109	0.16999	0.101849	0.0637263	0.0505205	0.0450662	0.0561593	0.0684644	0.0669946	0.0453349	0.0215287	0.0110962	0.00606184	0.00601008	0.0118537	0.0162348
a58	0.181895	0.18563	0.145629	0.11487	0.0827867	0.0578613	0.0498836	0.0500306	0.0456948	0.0290079	0.0124362	0.0083478	0.0060568	0.00601732	0.00950315	0.0143498
a53	0.0975682	0.129407	0.130229	0.141422	0.108861	0.0786135	0.0566985	0.056719	0.0572541	0.0409272	0.0239169	0.0180753	0.0136867	0.0118536	0.0142429	0.0205251
a90	0.078879	0.109312	0.129715	0.141114	0.121355	0.0962258	0.0628521	0.0613149	0.0490001	0.0391129	0.0261934	0.0209422	0.0169029	0.0126065	0.014469	0.0200064
a15	0.0837134	0.128703	0.152364	0.156439	0.127063	0.0908579	0.0572754	0.0531475	0.0399678	0.0349835	0.0225658	0.0147063	0.0116601	0.00681649	0.00815208	0.0115851
a25	0.0512833	0.0898797	0.113564	0.131895	0.131032	0.102673	0.0751697	0.0730043	0.05828	0.0434903	0.0291808	0.0191466	0.0204258	0.0131516	0.0193618	0.0284617
a79	0.067959	0.102732	0.115288	0.141338	0.146595	0.101721	0.0594908	0.0482484	0.0439559	0.0397173	0.0269591	0.0185028	0.0224277	0.0139135	0.0207293	0.0304219
a56	0.05423	0.0833364	0.118811	0.15127	0.141819	0.104687	0.0569366	0.052495	0.044599	0.0464052	0.0292026	0.0189621	0.0209309	0.0157878	0.0245599	0.0359673
a32	0.0848705	0.0994938	0.123549	0.146529	0.132629	0.0942086	0.0536554	0.0496944	0.0381132	0.0480999	0.03345	0.0216947	0.0206401	0.0128023	0.0167026	0.0238682
a24	0.030285	0.0322944	0.0430313	0.0771736	0.108607	0.117539	0.0895586	0.106945	0.0780122	0.100775	0.0720261	0.0390962	0.0345613	0.0181821	0.021304	0.0306089
a9	0.00779508	0.00862809	0.0110066	0.0240448	0.0522914	0.101324	0.109586	0.159481	0.121423	0.149251	0.108751	0.0462766	0.0387273	0.0168743	0.0183555	0.0261852
a38	0.00725646	0.00754364	0.0116144	0.0198734	0.0315045	0.0613183	0.0869618	0.182467	0.195214	0.171008	0.107655	0.0417377	0.0290608	0.0123354	0.0143908	0.0200587
a12	0.00909251	0.00809885	0.0109623	0.015598	0.0233364	0.049389	0.0861837	0.195264	0.167926	0.167015	0.120256	0.0540379	0.0350935	0.0163594	0.0182276	0.0231595
a31	0.0109962	0.0105307	0.0119239	0.0204492	0.0375279	0.0661984	0.0825967	0.140652	0.127312	0.148581	0.125942	0.0714767	0.0651628	0.025538	0.0231443	0.031969
a43	0.00819934	0.00767734	0.00888532	0.0161814	0.0298727	0.0531315	0.0727219	0.135723	0.112807	0.144926	0.140611	0.0892389	0.0848078	0.0342313	0.0275228	0.0334626
