 	la	femme	prépare	de	la	viande	boucanée	</S>
a23	0.330701	0.183748	0.133115	0.0931841	0.0815931	0.0592444	0.0630504	0.0553639
a87	0.319928	0.140314	0.0791792	0.0817894	0.108432	0.0967976	0.104616	0.0689449
a23	0.237742	0.169614	0.106128	0.0826293	0.0918977	0.0850888	0.117921	0.108979
a30	0.304588	0.162224	0.0946071	0.0688829	0.0818041	0.0783591	0.11431	0.0952258
a70	0.323474	0.183237	0.118663	0.0708832	0.0660811	0.063649	0.082029	0.0919836
a24	0.504444	0.256332	0.110884	0.0539574	0.0298974	0.0177373	0.0157123	0.0110353
a26	0.383092	0.259147	0.139886	0.078294	0.0487868	0.0305764	0.0362203	0.0239978
a61	0.244136	0.22321	0.179582	0.112299	0.076224	0.0512131	0.0619958	0.0513398
a96	0.231966	0.238825	0.210727	0.142242	0.0837064	0.0378999	0.0321929	0.0224403
a94	0.192859	0.211011	0.211728	0.157859	0.0987346	0.0513618	0.0437396	0.0327069
a35	0.192959	0.210065	0.212319	0.156944	0.0990585	0.0535396	0.0451058	0.0300085
a30	0.204907	0.213032	0.216716	0.145671	0.0954758	0.0542427	0.0445305	0.0254257
a14	0.165429	0.192149	0.230724	0.161208	0.109881	0.0598552	0.0488094	0.0319449
a35	0.159372	0.188794	0.225084	0.151856	0.108503	0.0703269	0.0579132	0.0381503
a14	0.131311	0.170284	0.232978	0.160605	0.119154	0.0772217	0.0649749	0.0434698
a35	0.0949207	0.145168	0.242168	0.178103	0.128935	0.0860539	0.071533	0.0531187
a75	0.0848211	0.119446	0.198091	0.14828	0.130811	0.1098	0.115297	0.0934543
a35	0.071378	0.0885786	0.137912	0.114837	0.133493	0.151028	0.164277	0.138495
a66	0.0484086	0.0551888	0.0901658	0.0906668	0.130303	0.190373	0.215608	0.179286
a94	0.0248884	0.0276141	0.0504602	0.0514766	0.0823757	0.151543	0.301826	0.309816
a98	0.0119918	0.0127275	0.0257011	0.0320311	0.0641098	0.145783	0.350864	0.356791
a14	0.00848153	0.00991026	0.0242099	0.0294511	0.0577803	0.13657	0.328556	0.40504
a35	0.00832521	0.00953107	0.0229716	0.0289489	0.0576864	0.140215	0.309642	0.422679
a75	0.00653845	0.00711765	0.0176443	0.0256878	0.0543498	0.138847	0.316005	0.43381
a61	0.00739465	0.00753543	0.017902	0.0278616	0.0550838	0.128297	0.279796	0.47613
a75	0.00344264	0.00334631	0.00829179	0.0140198	0.0340198	0.102246	0.294327	0.540307
a56	0.00673252	0.00546009	0.0116287	0.0214175	0.0477002	0.113472	0.269747	0.523842
a90	0.0106601	0.00793517	0.0147308	0.0221116	0.0455675	0.108232	0.254802	0.53596
a93	0.00893914	0.006022	0.0103303	0.0164233	0.035562	0.0865679	0.250543	0.585612
a4	0.0139252	0.0104222	0.0170158	0.0228912	0.040852	0.0903105	0.24956	0.555023
a90	0.0133148	0.00841381	0.0123962	0.0189245	0.0397701	0.0872588	0.237604	0.582318
a94	0.0108261	0.00692129	0.0101456	0.0150806	0.0318209	0.0791724	0.240563	0.60547
a61	0.0118299	0.00619085	0.00705992	0.0106524	0.026576	0.0694763	0.259166	0.609049
a31	0.0124588	0.00653225	0.00762164	0.0110956	0.0269334	0.0755204	0.258445	0.601393
a62	0.00860722	0.00500025	0.00708407	0.0120075	0.030565	0.0829957	0.257477	0.596263
a98	0.00895564	0.0053251	0.00728858	0.0102762	0.0235053	0.0663631	0.237564	0.640722
a9	0.00523274	0.00323135	0.00455384	0.00822975	0.0213527	0.0635453	0.239714	0.65414
a87	0.00759427	0.00488583	0.00744227	0.0149719	0.0358533	0.0905527	0.274785	0.563915
</S>	0.00865261	0.00593002	0.00968907	0.0173074	0.0372644	0.0945064	0.267021	0.559629
