 	il	brave	le	danger	</S>
a10	0.279215	0.21828	0.148486	0.152701	0.201319
a53	0.172436	0.120331	0.134684	0.196041	0.376508
a15	0.120161	0.175993	0.232414	0.204069	0.267363
a41	0.33018	0.297984	0.209468	0.0873703	0.0749981
a37	0.342699	0.30388	0.170008	0.101555	0.0818582
a61	0.330146	0.320876	0.196207	0.0987432	0.0540275
a90	0.248539	0.296384	0.248677	0.136958	0.0694417
a76	0.169429	0.267257	0.307263	0.158057	0.0979936
a94	0.18945	0.215241	0.224701	0.199602	0.171006
a75	0.0700991	0.122948	0.226781	0.3002	0.279972
a66	0.0752541	0.126086	0.223886	0.3017	0.273074
a9	0.0401091	0.064839	0.146322	0.321749	0.426981
a75	0.00982808	0.0133624	0.0418324	0.214289	0.720688
a85	0.0230813	0.0441976	0.122103	0.29769	0.512928
a75	0.0236991	0.0454142	0.109673	0.237997	0.583216
a85	0.0254477	0.0605895	0.140273	0.246686	0.527004
a27	0.0306017	0.0648288	0.140955	0.240902	0.522712
a43	0.00971988	0.0229188	0.0680766	0.256816	0.642469
a11	0.0109083	0.0233607	0.0612067	0.237344	0.66718
a25	0.0157454	0.0333893	0.0733846	0.242725	0.634756
a27	0.0142717	0.0276987	0.0611522	0.218577	0.6783
a75	0.0516002	0.0698479	0.115825	0.263756	0.498971
a73	0.0216688	0.0344701	0.0632528	0.219122	0.661486
a2	0.0166756	0.0369739	0.0802352	0.236351	0.629764
a57	0.0327009	0.0595221	0.127417	0.264363	0.515998
a10	0.0572392	0.0710846	0.10451	0.258068	0.509098
</S>	0.0621023	0.068528	0.106116	0.270612	0.492642
