 	réveillez-moi	cet	enfant	qui	dort	</S>
a66	0.33854	0.272212	0.200935	0.112755	0.0422047	0.0333526
a97	0.373764	0.232811	0.156475	0.107299	0.0591615	0.0704887
a87	0.621941	0.173012	0.0685453	0.0576685	0.0315622	0.0472716
a23	0.657201	0.142243	0.0832058	0.0629433	0.0247455	0.0296611
a83	0.439255	0.250455	0.110654	0.0859073	0.0521002	0.0616285
a5	0.686106	0.178946	0.0570806	0.037204	0.0221956	0.0184679
a75	0.419113	0.260564	0.0880517	0.087726	0.0746347	0.0699101
a5	0.31818	0.385434	0.133153	0.0794028	0.0420904	0.0417405
a61	0.360341	0.391414	0.11591	0.0604876	0.0354847	0.0363627
a43	0.387255	0.394247	0.111244	0.0491695	0.0285551	0.0295301
a75	0.237781	0.36708	0.168932	0.0838003	0.064506	0.0779003
a5	0.146321	0.445883	0.1724	0.0858431	0.0695374	0.0800145
a75	0.192763	0.384884	0.172142	0.0986273	0.0728887	0.0786956
a85	0.0626209	0.201462	0.218075	0.175616	0.161535	0.180692
a6	0.0302618	0.111911	0.183536	0.182144	0.215389	0.276758
a92	0.0203489	0.049581	0.140743	0.170407	0.295531	0.323389
a34	0.0140485	0.0286059	0.120626	0.184919	0.33841	0.313391
a96	0.00861178	0.0198824	0.0830599	0.143044	0.30524	0.440162
a34	0.00167763	0.00627403	0.0408074	0.105496	0.279229	0.566516
a93	0.000929605	0.00488119	0.0334303	0.0937945	0.290294	0.576671
a56	0.000578676	0.00376361	0.0289708	0.08174	0.278164	0.606783
a43	0.000237481	0.00189339	0.0129485	0.0565561	0.276295	0.652069
a11	0.000166531	0.00111454	0.0131199	0.059432	0.290155	0.636012
a93	0.000606385	0.00422176	0.0337118	0.0934866	0.293835	0.574138
a70	0.000284738	0.00184929	0.0184754	0.0761211	0.288175	0.615095
a13	0.000205028	0.00201517	0.0154147	0.0593034	0.28126	0.641802
a9	0.000508371	0.00474088	0.0493896	0.125009	0.325859	0.494493
a99	0.0103424	0.0264333	0.0614701	0.116369	0.295132	0.490253
a87	0.0635538	0.0658722	0.0945621	0.117802	0.223085	0.435125
a23	0.234746	0.0976884	0.114204	0.13094	0.175597	0.246825
a87	0.0329141	0.0135549	0.0350318	0.0896349	0.234639	0.594225
a23	0.00721632	0.00622719	0.0228905	0.0723509	0.22407	0.667245
a87	0.00715006	0.0102132	0.0372768	0.101441	0.228282	0.615637
</S>	0.00455999	0.00630513	0.0284577	0.0679162	0.205524	0.687237
