 	tout	le	monde	dit	que	je	suis	honnête	</S>
a66	0.34346	0.184382	0.10979	0.0895668	0.0973165	0.078923	0.039308	0.0303618	0.0268913
a87	0.347364	0.164136	0.109098	0.096647	0.0774096	0.0772537	0.0482022	0.0373307	0.0425597
a10	0.431378	0.179646	0.100812	0.069762	0.0492109	0.0436652	0.0342218	0.0428054	0.0484992
a87	0.37063	0.178783	0.0864986	0.0516564	0.0472883	0.0598924	0.0548381	0.0680935	0.0823193
a97	0.290334	0.171267	0.0995927	0.0664544	0.0633327	0.0830175	0.0704869	0.0744101	0.0811045
a87	0.225022	0.132436	0.0917487	0.0827439	0.0943122	0.118852	0.0892305	0.0740399	0.0916146
a97	0.230158	0.126018	0.0844823	0.0747924	0.0894231	0.117477	0.0950396	0.0869351	0.0956741
a79	0.219038	0.12689	0.0960309	0.0976119	0.115284	0.126964	0.0806346	0.0592004	0.0783452
a20	0.396539	0.196002	0.0972401	0.0629251	0.0529928	0.0519182	0.0364705	0.0375055	0.0684067
a15	0.343374	0.244535	0.148403	0.0787704	0.0532704	0.0399004	0.0275677	0.0267458	0.0374321
a98	0.219719	0.235266	0.214701	0.118511	0.0768114	0.0506463	0.029617	0.0231128	0.0316153
a47	0.193336	0.217251	0.217252	0.132898	0.0891504	0.0541293	0.0301195	0.0287466	0.0371172
a36	0.106236	0.151281	0.19591	0.158441	0.114713	0.0786634	0.0513439	0.0557554	0.0876576
a75	0.102038	0.122215	0.151742	0.14536	0.130669	0.0940035	0.0640557	0.0824588	0.107457
a79	0.0707589	0.0900486	0.128429	0.140452	0.143243	0.114117	0.0797773	0.103696	0.129478
a98	0.0949974	0.123901	0.172602	0.163084	0.126507	0.0912318	0.0599058	0.0731205	0.0946504
a85	0.0403612	0.0534543	0.0891012	0.140503	0.161907	0.142779	0.10607	0.13252	0.133304
a6	0.0158073	0.0223074	0.0441699	0.102123	0.141671	0.133741	0.125332	0.207616	0.207231
a0	0.0156788	0.0211576	0.0395993	0.0936285	0.153983	0.157793	0.13713	0.205626	0.175404
a75	0.0111118	0.015402	0.0299726	0.0756871	0.154035	0.172131	0.146877	0.190597	0.204186
a25	0.00283469	0.00400443	0.00895112	0.0321361	0.0911884	0.133792	0.164123	0.272079	0.290891
a92	0.00147758	0.00247477	0.0065438	0.0290817	0.0871697	0.131102	0.181297	0.298004	0.262849
a37	0.00170457	0.00232922	0.00472853	0.0161672	0.055385	0.0917292	0.150803	0.332376	0.344778
a96	0.00210516	0.00298134	0.00608	0.0179206	0.0463004	0.077353	0.149938	0.322817	0.374504
a62	0.00218123	0.00307324	0.00588007	0.0145246	0.0312086	0.0533162	0.131899	0.321488	0.43643
a47	0.00213463	0.00279807	0.00477629	0.0107838	0.0183982	0.0334637	0.102351	0.280482	0.544812
a88	0.001645	0.00197165	0.00337122	0.00909202	0.0159913	0.027916	0.09028	0.277742	0.57199
a90	0.000862008	0.00106973	0.00198252	0.00663475	0.0116062	0.0213578	0.0758873	0.248602	0.631998
a69	0.00057739	0.000809392	0.00177	0.00565714	0.0111538	0.0201246	0.0687742	0.237619	0.653515
a4	0.000145266	0.000210676	0.000487737	0.00213872	0.00641381	0.013069	0.0550725	0.272264	0.650198
a53	0.00119583	0.00157307	0.00297813	0.00853336	0.0144721	0.0226847	0.0747787	0.251504	0.62228
a69	0.000664514	0.000847522	0.00160524	0.00512778	0.0104197	0.0168002	0.058242	0.243311	0.662982
a58	0.000655416	0.000803675	0.00150562	0.00503752	0.010242	0.0153142	0.0522866	0.236958	0.677197
a57	0.00467605	0.00492806	0.00720426	0.0167252	0.0260162	0.0339118	0.0821511	0.290613	0.533775
a82	0.0365449	0.0282751	0.035842	0.061818	0.0711252	0.0678791	0.108784	0.251093	0.338639
a97	0.124184	0.0655581	0.0564056	0.0647131	0.0636288	0.0633564	0.0883722	0.211439	0.262343
a87	0.143519	0.0809214	0.0656867	0.0678326	0.0636393	0.0672029	0.0933074	0.201367	0.216524
a97	0.0881925	0.0489185	0.0400601	0.0490044	0.0581311	0.0818791	0.134605	0.258489	0.240721
a87	0.0557967	0.030147	0.023052	0.0307949	0.0479348	0.0755348	0.112858	0.249178	0.374704
a97	0.0416117	0.0221781	0.0178131	0.0307716	0.0648678	0.0970895	0.119766	0.241223	0.364679
</S>	0.0316096	0.0193422	0.0168296	0.0284627	0.0571523	0.0887179	0.124264	0.258135	0.375487
