 	as-tu	écouté	leurs	voix	</S>
a66	0.467497	0.314162	0.128771	0.0650788	0.0244911
a87	0.34324	0.256146	0.187523	0.137485	0.0756063
a97	0.32683	0.407244	0.116646	0.089966	0.0593137
a99	0.401988	0.452081	0.0839154	0.0366603	0.0253553
a93	0.44954	0.458337	0.0449067	0.029019	0.0181965
a53	0.514844	0.408663	0.0365165	0.026824	0.0131529
a90	0.519726	0.388849	0.0506848	0.025698	0.0150418
a75	0.440642	0.405676	0.0791745	0.0429927	0.031515
a34	0.359977	0.405926	0.128739	0.062178	0.0431795
a96	0.331312	0.421582	0.124645	0.0683377	0.0541237
a31	0.285286	0.370161	0.159483	0.0953181	0.0897511
a21	0.244547	0.295882	0.237497	0.113316	0.108758
a75	0.122245	0.160075	0.247188	0.233643	0.236848
a85	0.059755	0.0895352	0.225996	0.279944	0.344769
a6	0.0501609	0.0723248	0.221492	0.253325	0.402697
a98	0.041915	0.0754219	0.187247	0.21663	0.478786
a47	0.0262958	0.0485023	0.142775	0.22054	0.561887
a36	0.00619088	0.0130454	0.0622962	0.223565	0.694902
a2	0.0063529	0.00686627	0.0227379	0.171687	0.792356
a57	0.011496	0.0105476	0.044963	0.269861	0.663132
a97	0.0664835	0.065892	0.0725366	0.255522	0.539566
a87	0.176705	0.175062	0.154224	0.223524	0.270485
a97	0.132098	0.168146	0.192477	0.257258	0.250021
</S>	0.138729	0.226008	0.181564	0.213493	0.240205
