 	l'	étang	où	mon	épouse	et	moi	avons	péché	à	l'	écope	n'	avait	que	très	peu	d'	eau	dans	son	lit	</S>
a66	0.0559873	0.0434267	0.0436212	0.0722108	0.095186	0.0915449	0.0970899	0.100561	0.0737162	0.0472702	0.044255	0.037859	0.039269	0.0383671	0.0347072	0.0267881	0.0182406	0.0101985	0.00754462	0.00611758	0.00535998	0.00527967	0.0053994
a87	0.15986	0.140205	0.0841634	0.0607493	0.0506793	0.028152	0.0361801	0.0443022	0.0472402	0.033379	0.0325563	0.0333611	0.0333247	0.0328125	0.0317133	0.0241433	0.0188256	0.0129968	0.0126092	0.0144589	0.0190367	0.0236333	0.0256174
a23	0.238687	0.141401	0.0841048	0.0671548	0.0453769	0.0335565	0.0316747	0.0289132	0.0268172	0.0252263	0.0265307	0.0266491	0.0278192	0.0274481	0.0265576	0.0240626	0.01985	0.0139123	0.0126055	0.0135644	0.0155688	0.0200004	0.0225194
a83	0.242391	0.218428	0.105512	0.0565727	0.0401624	0.0211868	0.0200691	0.0359723	0.0318388	0.0254583	0.023855	0.0214459	0.0189711	0.0167248	0.0136031	0.0110669	0.0105052	0.00843704	0.00873187	0.0115482	0.014876	0.018634	0.0240101
a9	0.185441	0.15248	0.0799727	0.0540385	0.059376	0.0425896	0.0483287	0.064864	0.0428836	0.0266155	0.025525	0.0218149	0.0182273	0.0160321	0.0142773	0.0133149	0.0138395	0.0125639	0.0143408	0.0149823	0.0190861	0.0254272	0.033979
a38	0.21393	0.209732	0.124796	0.0751843	0.0742205	0.0334146	0.0339194	0.0479384	0.0280178	0.0137701	0.0126345	0.0103741	0.00807136	0.00739561	0.00815351	0.0100206	0.0104568	0.00982227	0.0121929	0.010899	0.0118849	0.0151507	0.0180205
a93	0.191449	0.225683	0.119869	0.0696922	0.0592384	0.0283883	0.0257648	0.0338848	0.0234816	0.0152996	0.0151971	0.013187	0.0113926	0.0106146	0.0118049	0.0150215	0.0152215	0.0158029	0.0185798	0.0177345	0.0185012	0.0207629	0.0234286
a62	0.115629	0.179515	0.113553	0.0786554	0.0777809	0.0423386	0.0384005	0.0526225	0.0380231	0.0246824	0.0237447	0.0189078	0.0151647	0.0120518	0.0116735	0.0138997	0.0137558	0.0154716	0.0184576	0.019158	0.0211766	0.0245911	0.0307468
a47	0.0991625	0.153691	0.109276	0.0828643	0.083344	0.0511698	0.0458984	0.0671045	0.0526367	0.0319024	0.029905	0.0214708	0.0179373	0.013918	0.0126421	0.0135203	0.0135149	0.0150882	0.0168544	0.0155628	0.0151209	0.0164293	0.0209859
a96	0.0641902	0.103589	0.0962377	0.0876637	0.0907021	0.0640574	0.0579131	0.0775451	0.0665094	0.0396662	0.0386696	0.0280251	0.0231616	0.0162297	0.0133864	0.0131745	0.0123416	0.0140001	0.0163465	0.0170325	0.0168862	0.0189789	0.0236929
a18	0.0521981	0.102744	0.101895	0.0902744	0.0919195	0.064477	0.0589418	0.0756173	0.0642254	0.0383347	0.037696	0.0284467	0.0246483	0.0182416	0.0158923	0.0168599	0.0155567	0.0170775	0.0188085	0.0172119	0.0146492	0.0152466	0.0190377
a62	0.0256157	0.0499208	0.0643538	0.0740383	0.0810207	0.074907	0.0662766	0.079709	0.0736969	0.0525709	0.0512518	0.0395894	0.0353818	0.0265644	0.0224798	0.0214745	0.0181089	0.0190362	0.0205344	0.0204747	0.0202882	0.0259219	0.0367841
a47	0.0145405	0.0346695	0.0557819	0.0746688	0.0830684	0.0796867	0.0786199	0.0940247	0.0912003	0.0544348	0.0567143	0.0447948	0.0441991	0.0327479	0.0263018	0.0233327	0.0181256	0.0165382	0.016554	0.0150734	0.013148	0.014057	0.0177175
a96	0.0094228	0.017978	0.0325512	0.0580191	0.0664755	0.0802631	0.0822114	0.0936322	0.100375	0.0697035	0.075016	0.0602792	0.0602109	0.043299	0.0319521	0.0240631	0.0168158	0.0135109	0.0128268	0.012323	0.0112741	0.0120752	0.0157223
