 	mon	beau-frère	consomme	la	banane	plan	tain	comme	aliment	de	base	</S>
a66	0.0309748	0.0696489	0.155755	0.244082	0.205216	0.175919	0.0995888	0.0127905	0.00330744	0.001154	0.000837687	0.000726457
a87	0.172779	0.184426	0.18941	0.161986	0.110992	0.0639591	0.0354907	0.0143491	0.0158751	0.0135757	0.0182373	0.0189192
a23	0.193428	0.135401	0.127432	0.157609	0.162385	0.103975	0.0686055	0.0197014	0.00858036	0.00626816	0.00738902	0.00922434
a99	0.310081	0.151593	0.0989821	0.0983238	0.0988936	0.0643064	0.0464127	0.0291485	0.018577	0.0179385	0.0277182	0.0380252
a38	0.201956	0.147465	0.116924	0.146954	0.156627	0.0616724	0.0388614	0.0325693	0.0299925	0.0222636	0.021804	0.0229106
a90	0.157484	0.145893	0.108653	0.160503	0.159443	0.0858664	0.0655777	0.0408204	0.0247311	0.0182967	0.0172539	0.0154773
a98	0.147453	0.154576	0.0910363	0.121559	0.143811	0.130596	0.13165	0.0523678	0.0156405	0.00540485	0.00346874	0.00243655
a6	0.133227	0.130813	0.0659412	0.104151	0.152324	0.149599	0.138798	0.0708795	0.031246	0.0116307	0.00696173	0.00442818
a37	0.147571	0.141469	0.0599312	0.0831543	0.103399	0.097302	0.0887483	0.082127	0.0745856	0.0553973	0.0411438	0.0251716
a98	0.179772	0.142473	0.06413	0.0778014	0.0926069	0.0705584	0.065226	0.0560754	0.0604521	0.0708569	0.0640617	0.0559863
a15	0.0842987	0.0815875	0.0487305	0.0573791	0.0743983	0.0825652	0.0919156	0.125652	0.140302	0.0996797	0.0660684	0.0474226
a25	0.0604359	0.068833	0.0549281	0.0564243	0.0635699	0.0603582	0.0716429	0.113725	0.1383	0.116967	0.0994228	0.0953929
a92	0.0439673	0.0615702	0.0630717	0.0636535	0.0769556	0.0730999	0.0882287	0.127906	0.119439	0.0923626	0.091564	0.0981807
a79	0.0478805	0.0620857	0.0604753	0.0568316	0.0735445	0.0761051	0.104244	0.128443	0.115851	0.0968231	0.0835389	0.0941766
a75	0.0412768	0.0647349	0.0807133	0.0763486	0.0995114	0.0970597	0.122969	0.128989	0.0932624	0.0694123	0.0579881	0.0677344
a98	0.0216821	0.0362493	0.0587706	0.0513589	0.0683685	0.0770288	0.11464	0.139613	0.117615	0.101087	0.0947471	0.118839
a47	0.0123706	0.0239339	0.0479102	0.04242	0.0610001	0.0724016	0.105638	0.154121	0.133836	0.111391	0.106422	0.128555
a15	0.00783826	0.0107693	0.0272677	0.0239048	0.0369781	0.0563563	0.0749175	0.129001	0.131221	0.110873	0.166837	0.224037
a7	0.00292537	0.00273225	0.00645835	0.00634406	0.00837712	0.0137167	0.0172665	0.0383093	0.0727749	0.114471	0.258712	0.457913
a79	0.00151237	0.00108553	0.00195305	0.00185927	0.00241932	0.00458575	0.00512262	0.0138618	0.0421865	0.116776	0.298277	0.510361
a54	0.00131607	0.000858982	0.00186224	0.00184702	0.00281288	0.00570769	0.00668886	0.0168388	0.0480461	0.120422	0.2809	0.5127
a79	0.00145389	0.00087453	0.00140834	0.00123479	0.00198268	0.0042037	0.00395581	0.0137157	0.0513142	0.133149	0.277009	0.509698
a7	0.000632565	0.000506822	0.00102173	0.000889442	0.00131863	0.00302587	0.00290911	0.00912369	0.0345574	0.120406	0.281221	0.544387
a12	0.0021017	0.00199635	0.00296536	0.00305994	0.00505344	0.0084788	0.00925281	0.029482	0.0693329	0.155164	0.250351	0.462762
a5	0.00143041	0.0011924	0.00181348	0.00165276	0.00258647	0.00474032	0.0050215	0.022459	0.0691428	0.173123	0.258504	0.458334
a36	0.000888374	0.000516907	0.000636499	0.000497942	0.000724992	0.00118381	0.00129721	0.00737911	0.0378864	0.138618	0.277882	0.532488
a26	0.00410156	0.00444286	0.00586816	0.00726847	0.0107673	0.0113882	0.0089074	0.0248573	0.0864099	0.172109	0.273683	0.390197
a57	0.0225669	0.0221062	0.0319863	0.0651901	0.0756655	0.0797105	0.0639413	0.0674481	0.109217	0.106261	0.160948	0.194958
a87	0.0573945	0.0641119	0.103164	0.15366	0.157023	0.145494	0.111453	0.05789	0.0408755	0.0320631	0.0353105	0.0415604
a23	0.0713822	0.0681889	0.0821825	0.0988008	0.113961	0.127598	0.102853	0.0847688	0.0705415	0.0566017	0.0543656	0.0687563
a99	0.0167962	0.0110268	0.0103335	0.0103423	0.0112294	0.0150383	0.014061	0.0190402	0.0636621	0.188573	0.27803	0.361867
a30	0.0123138	0.00831401	0.0111505	0.0121912	0.0139845	0.021151	0.0193218	0.0207696	0.0535133	0.152075	0.280635	0.39458
</S>	0.00494174	0.00599541	0.00589766	0.00864866	0.0135495	0.0156289	0.0121628	0.0143607	0.0335407	0.109697	0.277143	0.498434
