 	ce	garçon	et	moi	nous	vivons	dans	la	plus	grande	familiarité	</S>
a66	0.109688	0.11034	0.1388	0.203155	0.12919	0.108527	0.0731279	0.0694493	0.0340745	0.0121822	0.00685473	0.00461122
a87	0.271758	0.268223	0.196505	0.120596	0.0504967	0.0227701	0.0172243	0.0191237	0.0130608	0.0108177	0.00576273	0.00366119
a23	0.243988	0.198238	0.133562	0.0968915	0.0856799	0.0665606	0.0375671	0.0367084	0.0340431	0.0258996	0.0226435	0.0182183
a61	0.244305	0.139474	0.10174	0.0789452	0.0795901	0.112461	0.0658622	0.0482288	0.0378075	0.036505	0.0232409	0.0318404
a43	0.118323	0.101819	0.12238	0.174032	0.125969	0.114174	0.0681135	0.0697398	0.0453333	0.0279728	0.0170437	0.0151004
a75	0.109086	0.105835	0.126032	0.143783	0.170272	0.168748	0.0800975	0.0598152	0.0221843	0.00823073	0.00394332	0.00197206
a85	0.0957439	0.0944972	0.114277	0.125837	0.181017	0.165828	0.0872112	0.082797	0.0354979	0.0116156	0.00399382	0.0016849
a47	0.0895525	0.0846402	0.105524	0.125005	0.16105	0.129432	0.0911896	0.0966982	0.0640884	0.0304407	0.0141767	0.00820228
a98	0.100268	0.0919024	0.0994343	0.110682	0.152134	0.16539	0.0983766	0.0686924	0.0409982	0.0303171	0.0251088	0.0166956
a85	0.0756864	0.0690715	0.0770592	0.0905829	0.138153	0.12433	0.1106	0.101979	0.0804123	0.0571021	0.0474758	0.027547
a92	0.0491141	0.049412	0.0592167	0.0831573	0.124867	0.106516	0.105453	0.0913248	0.0782421	0.0783928	0.0968358	0.0774688
a37	0.0562062	0.0568812	0.0685594	0.0945502	0.129073	0.109279	0.0971261	0.0821197	0.0795145	0.0689571	0.0919989	0.0657345
a98	0.0500723	0.0510445	0.0681077	0.0982935	0.133154	0.134813	0.122646	0.100805	0.0681032	0.0478787	0.0644495	0.0606322
a79	0.0202663	0.0226734	0.0335734	0.0578379	0.0867855	0.086125	0.116814	0.107977	0.126246	0.119585	0.129253	0.0928646
a92	0.0179064	0.0192573	0.0297023	0.0545054	0.0839393	0.0701048	0.0980273	0.100749	0.135109	0.13451	0.149661	0.106529
a75	0.0122906	0.011324	0.0157379	0.0291278	0.0461117	0.0461103	0.0699217	0.0769766	0.11081	0.147121	0.210567	0.223902
a12	0.00892179	0.00781738	0.0104567	0.0186917	0.0308687	0.0295083	0.0475441	0.0573328	0.0974683	0.156076	0.248028	0.287287
a96	0.00717188	0.00683669	0.00657113	0.0083308	0.00999462	0.0105556	0.0179442	0.0245319	0.0589115	0.152496	0.233373	0.463283
a61	0.00227916	0.00221952	0.00187349	0.00222189	0.00229097	0.00208681	0.00442962	0.00644617	0.0247116	0.10011	0.194916	0.656414
a47	0.000965715	0.000976785	0.000889423	0.00108303	0.0010689	0.000893196	0.001826	0.00285543	0.0148501	0.082942	0.215307	0.676342
a31	0.000916313	0.00101821	0.000940982	0.0011281	0.000986929	0.000792712	0.00172283	0.00312606	0.017328	0.0814939	0.216397	0.674149
a88	0.000504371	0.000524271	0.000487794	0.000657413	0.000623261	0.000485024	0.00120479	0.00230889	0.0130071	0.0652768	0.199036	0.715884
a62	0.00102839	0.00111982	0.00099534	0.00130362	0.00119198	0.00136679	0.00338268	0.00757898	0.0302119	0.0846472	0.158951	0.708222
a88	0.000649216	0.000704789	0.000691059	0.000897387	0.00084992	0.000623387	0.00151784	0.00334655	0.0183893	0.08297	0.199734	0.689626
a71	0.00192793	0.00209179	0.00146188	0.00158882	0.00163027	0.00191839	0.00492424	0.0124582	0.0471561	0.113416	0.188187	0.62324
a9	0.0272629	0.0359892	0.0209103	0.0169163	0.0122729	0.010928	0.0272663	0.0557703	0.115532	0.141308	0.153589	0.382254
a99	0.131726	0.149888	0.0893758	0.0626713	0.0476132	0.0329444	0.0500584	0.0572966	0.0713692	0.0690237	0.0747638	0.163269
a87	0.20609	0.171248	0.100381	0.0676665	0.0559427	0.0405045	0.0348334	0.0393093	0.0469769	0.0559224	0.0574276	0.123699
a23	0.155657	0.14917	0.0938252	0.0681456	0.0613731	0.0448173	0.0321816	0.0350251	0.0486038	0.0713508	0.0772875	0.162563
a99	0.0499922	0.0436415	0.0189767	0.0110868	0.008583	0.00531455	0.00541693	0.00765849	0.0204198	0.085251	0.167601	0.576059
a97	0.0226459	0.0167935	0.00798982	0.00573716	0.00663046	0.00463303	0.00691505	0.00991797	0.0253542	0.0851308	0.237322	0.57093
a26	0.0055888	0.00454002	0.0022435	0.00173907	0.00235143	0.00153339	0.00228793	0.00318951	0.0110846	0.0616167	0.174959	0.728866
</S>	0.00837349	0.00693121	0.00446078	0.00374816	0.00534708	0.00348535	0.00359719	0.00416177	0.0120229	0.0637582	0.151525	0.732589
