 	la	genette	mange	beaucoup	de	noix	de	palme	</S>
a66	0.252618	0.454461	0.171991	0.0858747	0.0222462	0.00769263	0.00236705	0.0014964	0.00125307
a87	0.390541	0.304517	0.108355	0.0672209	0.036867	0.0241128	0.0208649	0.019184	0.0283377
a97	0.236345	0.259471	0.191655	0.138613	0.0805732	0.0384016	0.0178441	0.0147432	0.0223542
a87	0.242752	0.24782	0.181917	0.135538	0.0776345	0.039844	0.0233092	0.0231952	0.0279912
a97	0.212278	0.227004	0.173507	0.125235	0.0760374	0.0464121	0.0385063	0.0459652	0.0550549
a10	0.149635	0.238106	0.179694	0.167633	0.11795	0.0598904	0.0341066	0.0264091	0.026576
a54	0.16069	0.24756	0.184785	0.175737	0.126236	0.0524061	0.0223564	0.015051	0.0151783
a79	0.319311	0.273542	0.158767	0.110425	0.068662	0.0290599	0.0145527	0.0116413	0.0140389
a44	0.446432	0.187265	0.141862	0.0887285	0.0691795	0.0416845	0.0143299	0.00580795	0.0047111
a98	0.434835	0.129924	0.143026	0.084158	0.073933	0.0634015	0.0311188	0.0193296	0.0202739
a85	0.341189	0.107127	0.141207	0.0996077	0.0947253	0.0970901	0.0521366	0.0351843	0.0317339
a6	0.242659	0.110456	0.187865	0.131931	0.10303	0.101281	0.0487796	0.0389082	0.0350899
a36	0.20508	0.104448	0.164644	0.126076	0.101862	0.108745	0.0652023	0.0637892	0.0601526
a75	0.130772	0.126472	0.179999	0.148949	0.110339	0.105103	0.0625276	0.0659883	0.0698499
a85	0.0825899	0.0998373	0.15944	0.165838	0.135468	0.124047	0.0810755	0.0804831	0.07122
a6	0.0526488	0.0933737	0.140399	0.172425	0.147883	0.134728	0.0923027	0.0895264	0.0767137
a37	0.0352711	0.0714661	0.0956952	0.127981	0.134069	0.143554	0.1348	0.141943	0.115221
a21	0.0160696	0.0476907	0.0688659	0.0927348	0.1062	0.142955	0.162668	0.189574	0.173242
a98	0.00373067	0.0133801	0.0203249	0.0376859	0.0605179	0.105914	0.197886	0.287939	0.272622
a15	0.00210149	0.0116915	0.0294838	0.0663406	0.0929816	0.126062	0.197499	0.23839	0.23545
a79	0.000251474	0.00203925	0.00446729	0.0110917	0.0222687	0.0460871	0.138457	0.323316	0.452021
a37	0.000534378	0.00380267	0.0074226	0.0168717	0.0297288	0.0508113	0.141712	0.304872	0.444244
a5	0.000216451	0.00121543	0.00324659	0.00902463	0.0182075	0.0387887	0.12917	0.289711	0.51042
a18	0.000166404	0.000643439	0.00159104	0.00448646	0.0090155	0.0195193	0.0927603	0.282526	0.589292
a71	0.000107652	0.000285414	0.00081106	0.00223571	0.00438887	0.00788505	0.0514697	0.251561	0.681256
a82	0.0102107	0.021265	0.0295967	0.0336099	0.0395901	0.0364938	0.0889009	0.243487	0.496846
a97	0.0747563	0.121504	0.133454	0.12336	0.100858	0.0877422	0.0967347	0.124727	0.136864
a99	0.0391468	0.0640089	0.0857604	0.103495	0.101531	0.0971153	0.139983	0.182265	0.186695
a3	0.00875624	0.0117296	0.0152755	0.022689	0.0335237	0.0492866	0.131765	0.278345	0.448629
a97	0.00224597	0.00488484	0.00919667	0.017302	0.0265188	0.0380117	0.105734	0.254254	0.541852
</S>	0.00454558	0.0126581	0.0211812	0.0310013	0.0390297	0.047947	0.112231	0.24148	0.489926
