 	le	coq	avale	les	arachides	d'	un	trait	</S>
a66	0.308219	0.288049	0.175775	0.0774635	0.0474005	0.0391884	0.0319385	0.0248362	0.00713013
a87	0.427085	0.40378	0.108102	0.0275172	0.00906408	0.00801234	0.00853419	0.00593872	0.00196635
a23	0.423805	0.316758	0.136558	0.0648731	0.0286956	0.0159604	0.00787894	0.00347612	0.00199511
a30	0.28356	0.220822	0.139094	0.138829	0.102141	0.0559995	0.0247054	0.0110705	0.0237784
a66	0.380137	0.274351	0.0929945	0.0671375	0.0663372	0.0524035	0.0307752	0.0152479	0.0206166
a38	0.330143	0.256024	0.0580689	0.0683848	0.0693972	0.0613342	0.0443244	0.0463186	0.0660047
a11	0.248747	0.215617	0.0599533	0.0854244	0.102408	0.10334	0.0692507	0.0618623	0.0533977
a34	0.128787	0.119317	0.0737405	0.11906	0.185496	0.181973	0.108722	0.0655354	0.0173675
a75	0.063083	0.0652167	0.0898552	0.178512	0.276049	0.197993	0.0873821	0.0354229	0.00648622
a6	0.0292541	0.0394744	0.0692507	0.133093	0.240246	0.244804	0.185945	0.05074	0.00719242
a36	0.032999	0.0358492	0.0608501	0.116145	0.221331	0.253341	0.189884	0.070051	0.0195497
a61	0.04819	0.042259	0.0460479	0.0934049	0.146538	0.247803	0.228032	0.105766	0.0419594
a5	0.0385851	0.0359597	0.0451917	0.0997599	0.119676	0.211216	0.240466	0.142524	0.0666207
a37	0.0374275	0.0344966	0.0395349	0.077668	0.0943774	0.162559	0.217913	0.184838	0.151186
a43	0.0295549	0.0242315	0.027045	0.0736323	0.108196	0.183871	0.19333	0.163608	0.196532
a62	0.0301159	0.0235837	0.0240726	0.0600056	0.0921374	0.150561	0.185571	0.187286	0.246667
a88	0.031983	0.0261708	0.0222947	0.0436964	0.0513015	0.0984405	0.16154	0.192976	0.371596
a71	0.0127067	0.0116949	0.00847957	0.0192383	0.0277541	0.0529018	0.12452	0.235506	0.507198
a93	0.010009	0.00679186	0.00403296	0.00961168	0.0201427	0.031995	0.0759028	0.187619	0.653895
a70	0.00594851	0.00368821	0.00260482	0.00652047	0.0126444	0.0249048	0.0686181	0.136031	0.73904
a13	0.00246055	0.00178686	0.00100696	0.00202965	0.00482213	0.00796448	0.0275399	0.0887872	0.863602
a9	0.00747901	0.00516759	0.00165488	0.00218204	0.00592564	0.00873322	0.0385656	0.143965	0.786327
a87	0.0176255	0.0119012	0.00509375	0.00505976	0.0122816	0.0149243	0.0472644	0.134789	0.751061
a23	0.279166	0.241339	0.135655	0.0601499	0.0558914	0.0432646	0.0349207	0.045908	0.103705
a87	0.135151	0.0875211	0.118068	0.0874048	0.116269	0.101762	0.099351	0.0707526	0.183722
</S>	0.0498055	0.0261593	0.0284684	0.0271076	0.047751	0.0489488	0.0654125	0.0823491	0.623998
