 	dès	qu'	il	a	vu	le	fantôme	il	cité	la	devise	de	son	clan	</S>
a66	0.275936	0.22139	0.169989	0.148309	0.105614	0.0336124	0.013338	0.00677469	0.00323007	0.0016563	0.00175164	0.00213204	0.00380355	0.00501991	0.00744511
a87	0.332267	0.258366	0.155218	0.0829575	0.0466902	0.0224724	0.0133097	0.0135576	0.0165961	0.0106139	0.00841045	0.00808522	0.00848786	0.0107159	0.0122524
a23	0.300801	0.249521	0.193635	0.113321	0.0506818	0.019024	0.00738003	0.00861738	0.00810823	0.00677032	0.00606194	0.00674322	0.00807218	0.0109555	0.0103077
a30	0.371255	0.24568	0.127833	0.064176	0.0268654	0.00923614	0.00349774	0.0041907	0.00503518	0.00742108	0.0147184	0.0191512	0.025453	0.0349767	0.0405098
a53	0.489547	0.20286	0.0743577	0.037996	0.0205025	0.00932333	0.00500657	0.00591721	0.0082443	0.0097467	0.0147268	0.0177703	0.0249595	0.0430149	0.036027
a54	0.224859	0.099118	0.0480745	0.0471167	0.0649039	0.0494583	0.0327186	0.023381	0.0176246	0.0171005	0.022316	0.0342869	0.0492578	0.107799	0.161985
a79	0.0453935	0.0500609	0.0772863	0.100846	0.155563	0.159399	0.117004	0.0994878	0.0417232	0.0321191	0.0256738	0.0216968	0.0175831	0.0228804	0.0332823
a7	0.0236302	0.0303315	0.0538458	0.0844914	0.21162	0.218934	0.145612	0.0823401	0.0409389	0.0215085	0.0154524	0.013573	0.0119788	0.0176655	0.0280778
a47	0.0296358	0.0392007	0.0743931	0.0998847	0.151121	0.178419	0.182873	0.114962	0.0470294	0.0190355	0.011998	0.0108638	0.0100283	0.0136736	0.0168821
a31	0.0291672	0.0367794	0.0670458	0.0882256	0.10437	0.121896	0.145412	0.133152	0.079584	0.0406025	0.0285774	0.025733	0.0238042	0.0304531	0.0451976
a0	0.0102295	0.0147871	0.0446476	0.0742318	0.115722	0.174512	0.175395	0.177643	0.0766524	0.0361855	0.022953	0.0192416	0.0166904	0.0174608	0.0236479
a24	0.00793143	0.0120086	0.027761	0.0400157	0.0614928	0.128494	0.167815	0.257536	0.114708	0.0701044	0.035563	0.0229361	0.0152479	0.016822	0.0215639
a0	0.013669	0.0177836	0.0348549	0.0432242	0.0472081	0.0750533	0.0861182	0.242716	0.130008	0.093214	0.059817	0.0441045	0.0321517	0.0353075	0.04477
a24	0.011912	0.0154444	0.0300397	0.0397077	0.0482971	0.0800872	0.0844732	0.240211	0.132818	0.0897661	0.0571494	0.0432536	0.0345467	0.042513	0.049781
a83	0.0125219	0.0136595	0.0242073	0.0335553	0.0462154	0.0926427	0.0769973	0.217108	0.132895	0.100959	0.0736641	0.0531568	0.039387	0.0399886	0.0430412
a9	0.0136113	0.0128675	0.0212801	0.0250961	0.0290082	0.0584404	0.0536675	0.193886	0.133036	0.120104	0.0938233	0.0696332	0.0514204	0.0575524	0.0665735
a87	0.0296043	0.0392896	0.0539559	0.0473764	0.0401608	0.0395731	0.0269055	0.0633995	0.0681157	0.0754439	0.0741921	0.0693705	0.0819519	0.139534	0.151127
a23	0.102172	0.080233	0.0637172	0.0619797	0.0716377	0.0749425	0.0818793	0.0615573	0.0582766	0.0458973	0.0404704	0.0415189	0.0482305	0.0822462	0.0852408
a40	0.012813	0.0109932	0.00844252	0.00593053	0.00520262	0.00595254	0.00816716	0.0162487	0.0354842	0.044356	0.0503711	0.0866714	0.137027	0.267932	0.304407
a75	0.00975566	0.00761773	0.00982307	0.0127897	0.019871	0.0366346	0.038959	0.0393056	0.0205507	0.0272685	0.0327544	0.0624125	0.104332	0.246903	0.331023
a6	0.00183064	0.00225614	0.0043796	0.00766406	0.0146441	0.0286007	0.0261581	0.0266104	0.0182238	0.0313638	0.0521129	0.0953356	0.125931	0.253314	0.311575
a25	0.000155031	0.000224038	0.000437876	0.00074264	0.00126942	0.00282967	0.0034072	0.00713073	0.00880421	0.0179868	0.034222	0.0860656	0.147063	0.317954	0.371707
a69	0.000308374	0.000408224	0.000881555	0.00156352	0.0027424	0.00462245	0.00298704	0.00800317	0.00903697	0.0161902	0.0348931	0.0854149	0.150289	0.324158	0.358501
