 	le	voleur	a	traversé	cette	plaine	à	vive	allure	</S>
a85	0.234637	0.140137	0.12784	0.112492	0.113785	0.122892	0.0823067	0.0382535	0.0137385	0.0139182
a66	0.589571	0.195431	0.0868972	0.0413806	0.0220297	0.0150255	0.0158975	0.0115443	0.00973392	0.0124893
a87	0.303188	0.14984	0.124538	0.108364	0.0775309	0.062966	0.0618717	0.0264736	0.0321568	0.0530719
a23	0.360836	0.259473	0.139669	0.0907078	0.0585351	0.0361093	0.0248131	0.0123986	0.00744872	0.0100091
a87	0.346634	0.292302	0.12811	0.0820439	0.0550898	0.0275804	0.0156398	0.00914417	0.0146254	0.0288303
a23	0.403872	0.255316	0.117369	0.0718467	0.0568003	0.032768	0.0222824	0.0104608	0.0112417	0.0180439
a83	0.418486	0.222334	0.0770378	0.0515497	0.0479064	0.0360153	0.0278973	0.0231853	0.0378717	0.057717
a96	0.312911	0.237607	0.150589	0.105802	0.054347	0.0355897	0.0287586	0.0259565	0.0223169	0.0261217
a44	0.150347	0.191485	0.154338	0.133713	0.0992344	0.088345	0.0784106	0.0435606	0.0284325	0.0321345
a98	0.0991154	0.135186	0.125668	0.112712	0.101765	0.0998793	0.11603	0.0725522	0.0622323	0.0748592
a85	0.0378047	0.0586436	0.0837212	0.081185	0.0789499	0.0799711	0.143859	0.169806	0.130374	0.135685
a47	0.0446337	0.0543699	0.0752345	0.079058	0.0731655	0.0755619	0.125503	0.161887	0.155434	0.155152
a79	0.0456865	0.0499627	0.0842509	0.0942933	0.0890857	0.087343	0.107686	0.123289	0.152247	0.166156
a92	0.0301501	0.0293937	0.0622743	0.0837488	0.0926905	0.0958549	0.112431	0.143687	0.171717	0.178054
a47	0.0219561	0.0195278	0.042564	0.0719637	0.0960697	0.107502	0.105589	0.135023	0.191365	0.20844
a79	0.00587919	0.00564077	0.01529	0.0359752	0.0612692	0.0714932	0.0783479	0.18513	0.252493	0.288481
a44	0.0073988	0.00643992	0.0131685	0.0295447	0.0539765	0.0661902	0.0654692	0.151725	0.267733	0.338354
a90	0.00825633	0.00582134	0.00931809	0.0202887	0.032666	0.0469948	0.0451558	0.140232	0.293822	0.397445
a56	0.00186028	0.00131058	0.00224983	0.00571453	0.01062	0.0162775	0.018811	0.0935315	0.310953	0.538672
a90	0.000549067	0.000336396	0.000493587	0.00116161	0.00247274	0.00380409	0.0057431	0.0359305	0.239398	0.710111
a94	0.000692296	0.000443164	0.000699533	0.00143569	0.00264834	0.00395074	0.00793103	0.0414418	0.225843	0.714914
a98	0.00414641	0.00250228	0.0031371	0.00445244	0.00883634	0.0112303	0.0223042	0.0645979	0.243194	0.635599
a47	0.00152723	0.000752166	0.00104701	0.00186533	0.00463137	0.0088713	0.0241635	0.0819028	0.27696	0.598279
a92	0.000466478	0.000230451	0.000335811	0.000639223	0.00156357	0.00335036	0.0116452	0.0640044	0.248953	0.668812
a37	0.000449194	0.000247302	0.000413105	0.000783245	0.00188948	0.00373716	0.01116	0.0440153	0.239772	0.697533
a26	0.00658044	0.00356159	0.00457295	0.00609437	0.0138438	0.0235731	0.0437726	0.0830583	0.262748	0.552195
a3	0.114343	0.0468942	0.0290436	0.0202577	0.0348982	0.0446236	0.0557591	0.0760984	0.216392	0.36169
a10	0.332587	0.184879	0.113829	0.0744364	0.0596642	0.0415044	0.0364634	0.0292622	0.0477119	0.0796619
a87	0.244683	0.157788	0.118142	0.0914134	0.0815495	0.0627395	0.0526236	0.0384913	0.0636798	0.0888906
a23	0.170946	0.121551	0.100609	0.0840795	0.0865726	0.0735151	0.0673015	0.0473301	0.0960366	0.152058
a87	0.0455612	0.0346736	0.0269432	0.0178494	0.016053	0.0145013	0.016264	0.0255095	0.185347	0.617298
a23	0.00505761	0.00425068	0.00296488	0.0022634	0.00278631	0.00349706	0.00672829	0.0275268	0.286388	0.658537
</S>	0.0101263	0.00986873	0.00803286	0.00690708	0.00856137	0.0102476	0.0165803	0.0464553	0.304308	0.578913
