 	ce	singe	que	le	chasseur	a	en	mains	est	un	mangabey	noir	</S>
a66	0.0470431	0.0359471	0.0440859	0.068896	0.0915448	0.148144	0.175759	0.206161	0.102791	0.061782	0.0100962	0.00441359	0.00333568
a87	0.422279	0.132487	0.061239	0.0493896	0.0564914	0.0682293	0.0594859	0.0556929	0.0349591	0.0286816	0.00815188	0.0126919	0.0102216
a23	0.292884	0.105186	0.0601978	0.0722131	0.0843795	0.104289	0.105442	0.105347	0.0412469	0.0181997	0.00337932	0.00386929	0.00336638
a62	0.227512	0.0681557	0.0435312	0.0709001	0.0901041	0.113141	0.118899	0.13271	0.0683037	0.0359164	0.00779323	0.0118136	0.0112195
a75	0.209787	0.0789576	0.0719846	0.0940951	0.078464	0.106136	0.101609	0.114962	0.0555734	0.0485773	0.0129297	0.0137312	0.0131923
a37	0.121191	0.0749609	0.0885473	0.102425	0.0848368	0.1071	0.0893501	0.0963862	0.0839446	0.100588	0.023251	0.0163033	0.0111164
a92	0.17631	0.133873	0.133142	0.119936	0.109408	0.0926429	0.0587835	0.0534583	0.0387887	0.0367785	0.0158359	0.018662	0.0123817
a21	0.150727	0.119898	0.146231	0.124844	0.102022	0.0848703	0.0556586	0.0508905	0.0450674	0.0490751	0.0215371	0.0305938	0.0185851
a47	0.128112	0.117144	0.145592	0.128061	0.109976	0.0996544	0.0724069	0.0674502	0.0490059	0.0404661	0.01309	0.0160069	0.0130359
a12	0.0728032	0.0847664	0.121108	0.143918	0.153748	0.130261	0.0964043	0.0746633	0.0510558	0.0338628	0.0138959	0.0129221	0.0105916
a47	0.0442617	0.0647973	0.122305	0.143428	0.150871	0.134166	0.107677	0.0854859	0.0644769	0.0426376	0.0147613	0.0126946	0.0124369
a34	0.0343042	0.0452192	0.0930439	0.120427	0.164797	0.139081	0.132933	0.100235	0.0765372	0.0505455	0.0178922	0.0130521	0.0119342
a56	0.0186087	0.0272021	0.0772888	0.118329	0.174459	0.150221	0.136239	0.103592	0.0818513	0.0535193	0.0217725	0.0183073	0.0186101
a93	0.0100464	0.0147263	0.0441506	0.0868343	0.152748	0.150009	0.165763	0.128455	0.102898	0.0653875	0.0292271	0.0239699	0.0257848
a4	0.0134739	0.0176069	0.0412531	0.0751209	0.138028	0.1398	0.160978	0.128146	0.103453	0.0733032	0.0422086	0.0318433	0.0347853
a34	0.0103119	0.0120619	0.0224829	0.0444511	0.0971749	0.119424	0.184213	0.168946	0.12661	0.0851241	0.0520161	0.0359371	0.0412467
a47	0.00881315	0.0113602	0.0250704	0.0468998	0.0972627	0.11415	0.172242	0.130507	0.115615	0.0873227	0.0752159	0.0548658	0.0606755
a96	0.00747661	0.0085866	0.0167195	0.0332871	0.0647647	0.0869905	0.174081	0.155618	0.135646	0.0978289	0.0783974	0.0642298	0.0763732
a34	0.00585496	0.00756289	0.0155249	0.0317159	0.0608514	0.0761238	0.140431	0.118352	0.109364	0.0863385	0.114964	0.1105	0.122417
a93	0.00537616	0.0066533	0.0123759	0.0246331	0.0424937	0.0510439	0.0970124	0.0833789	0.0926853	0.0776169	0.136969	0.173666	0.196095
a90	0.00328722	0.00430785	0.00760616	0.0142429	0.0251919	0.0316263	0.0655877	0.0586763	0.068771	0.0613066	0.145352	0.247126	0.266918
a15	0.00134376	0.00180634	0.0034617	0.0071333	0.0148314	0.0193367	0.0469467	0.0468553	0.0544927	0.0447898	0.123199	0.287013	0.34879
a47	0.00131308	0.0012466	0.00192321	0.00384374	0.00866752	0.0118802	0.0409137	0.0365534	0.0409405	0.0310548	0.138039	0.275606	0.408018
a6	0.0028674	0.00226945	0.00337084	0.00644432	0.0148424	0.0206907	0.071162	0.0587103	0.0575275	0.0382911	0.147574	0.238358	0.337891
a61	0.000771579	0.000700669	0.00100264	0.00169637	0.00365522	0.00469147	0.0149526	0.0126718	0.018064	0.0156414	0.129185	0.314227	0.48274
a18	0.000468225	0.00057548	0.000952439	0.00152204	0.00290848	0.00334629	0.00791881	0.00569163	0.0081305	0.00725426	0.0700322	0.316132	0.575067
a82	0.00256005	0.00240281	0.00412552	0.00735235	0.0146594	0.0217796	0.0574433	0.0479805	0.0367777	0.0267432	0.106664	0.253097	0.418415
a87	0.0215323	0.0145148	0.0189511	0.0246812	0.0319917	0.0430176	0.0891645	0.0839158	0.0777066	0.0841214	0.14323	0.156879	0.210293
a79	0.0218594	0.0100499	0.0107455	0.0142334	0.0256173	0.0398342	0.0893554	0.110003	0.134457	0.16253	0.173578	0.112612	0.0951243
a47	0.00627993	0.0032153	0.00285591	0.00262193	0.00518526	0.00851803	0.0203716	0.0231375	0.0335554	0.0561552	0.156	0.282579	0.399525
a79	0.000115713	0.000146942	0.000297016	0.000488778	0.00155002	0.00237327	0.00629903	0.00591346	0.0107086	0.0195601	0.126884	0.328595	0.497068
a7	9.59124e-05	0.000132012	0.000292048	0.000598642	0.00192075	0.00289864	0.00701349	0.00585655	0.00865098	0.0147674	0.0876245	0.332588	0.537561
a26	0.000154876	0.000189647	0.000323267	0.000537047	0.00156923	0.00244882	0.00709418	0.00684168	0.00971643	0.015103	0.0719857	0.295798	0.588238
a57	0.0030574	0.00281808	0.00414871	0.00587717	0.011624	0.0174974	0.0480902	0.0514359	0.0662821	0.0716444	0.143917	0.225216	0.348391
a87	0.0156291	0.00809477	0.00921477	0.012764	0.0201763	0.0303708	0.0750162	0.0908358	0.0993567	0.0989221	0.148426	0.173302	0.217891
a23	0.0384222	0.0135048	0.0104605	0.00983562	0.0199487	0.0355704	0.0944389	0.120766	0.172294	0.144236	0.0860069	0.118384	0.136132
a87	0.0162491	0.00714364	0.00496449	0.00295573	0.00594319	0.00882774	0.0182024	0.0211083	0.0373025	0.049338	0.0982754	0.291809	0.437881
a23	0.0208921	0.00798117	0.0052618	0.0036214	0.00938301	0.0148245	0.0320875	0.0382904	0.0436741	0.0381305	0.0435547	0.251862	0.490437
a99	0.0176063	0.00879223	0.00661424	0.00382563	0.0118813	0.0151539	0.0240149	0.0268329	0.0486305	0.0553667	0.081223	0.276066	0.423992
a97	0.0112708	0.00679398	0.00882959	0.00492615	0.0124513	0.0121147	0.0155337	0.0177479	0.0356988	0.0489325	0.102943	0.29893	0.423827
</S>	0.0141049	0.00892302	0.0111659	0.00697744	0.0174192	0.0166582	0.0239253	0.0264517	0.0381124	0.0400232	0.0789715	0.273093	0.444175
