 	notre	village	est	situé	dans	les	collines	</S>
a66	0.290213	0.239376	0.202866	0.112166	0.0692937	0.0485261	0.0235557	0.0140034
a87	0.43662	0.215158	0.139409	0.0936239	0.0606036	0.032622	0.013669	0.00829533
a23	0.367344	0.280315	0.148369	0.105166	0.0348194	0.0199796	0.0229912	0.0210161
a79	0.234472	0.215925	0.14171	0.178643	0.0995291	0.0369918	0.0324229	0.0603057
a90	0.271292	0.216858	0.203922	0.165138	0.0515556	0.0279103	0.0251629	0.0381616
a25	0.247331	0.24262	0.276071	0.15024	0.0442044	0.0189172	0.0103584	0.010258
a15	0.187832	0.177677	0.233059	0.246715	0.0919017	0.0358416	0.0144917	0.0124815
a79	0.0860834	0.113508	0.167861	0.306244	0.156142	0.0908454	0.041954	0.037363
a21	0.092673	0.118337	0.155476	0.234492	0.199112	0.116166	0.0422631	0.041481
a56	0.102367	0.0953831	0.113472	0.252196	0.217747	0.125544	0.0479859	0.0453061
a21	0.090537	0.0837585	0.100683	0.21648	0.235097	0.158616	0.059528	0.0553008
a12	0.0563475	0.0467615	0.050304	0.118709	0.231581	0.227851	0.132969	0.135477
a62	0.0368343	0.0341533	0.0354715	0.0767447	0.213846	0.251547	0.164773	0.18663
a31	0.0189499	0.0167198	0.0156506	0.0318661	0.127757	0.255842	0.242234	0.29098
a0	0.00753764	0.00619834	0.00574207	0.0129579	0.0679434	0.202266	0.347719	0.349636
a31	0.00587254	0.00510246	0.00370295	0.00681995	0.0308046	0.11303	0.345373	0.489295
a88	0.00162313	0.00143736	0.00108589	0.00246676	0.0127088	0.0490595	0.279879	0.651739
a71	0.001544	0.00152955	0.00103013	0.00133278	0.00596807	0.030508	0.239955	0.718132
a53	0.00848387	0.00956274	0.00627149	0.00506292	0.0107386	0.0400083	0.240051	0.679821
a93	0.000523989	0.000492091	0.000326586	0.000545861	0.00374812	0.0172197	0.149239	0.827904
a70	0.000333622	0.000319051	0.000219884	0.00038868	0.00285443	0.0166614	0.162857	0.816366
a13	0.002769	0.0028446	0.00198487	0.00271013	0.0104375	0.0542714	0.239619	0.685364
a9	0.00595831	0.00624983	0.00448812	0.00663997	0.0230793	0.0915137	0.27196	0.590111
a10	0.114804	0.0946509	0.0569693	0.062883	0.0820248	0.125026	0.184078	0.279565
a87	0.247274	0.180179	0.0931193	0.0833129	0.0692588	0.0896775	0.116616	0.120562
a23	0.279597	0.22522	0.136793	0.138442	0.0643077	0.0514489	0.0507612	0.0534289
a87	0.0813176	0.0682745	0.03775	0.0309337	0.0357456	0.0543337	0.194233	0.497411
</S>	0.00703839	0.00472237	0.00247834	0.00340951	0.00718616	0.0272721	0.247633	0.70026
