 	une	nasse	tissée	avec	la	liane	ekaa	est	durable	</S>
a66	0.199608	0.229913	0.1527	0.109348	0.127819	0.125098	0.0366362	0.00823944	0.00592787	0.00471108
a87	0.425575	0.174863	0.0827021	0.0822533	0.0774556	0.0822112	0.0262934	0.0130711	0.017625	0.0179503
a10	0.353742	0.175615	0.113769	0.0775974	0.0783082	0.107999	0.0352444	0.0146225	0.0173664	0.0257367
a87	0.323955	0.212637	0.113319	0.067551	0.0718371	0.101256	0.0386661	0.0220809	0.0213548	0.0273434
a79	0.270008	0.182492	0.106579	0.08633	0.10096	0.131209	0.051756	0.0232284	0.0206123	0.026826
a69	0.223184	0.162176	0.137614	0.105812	0.112807	0.149913	0.0524869	0.0180564	0.0191747	0.0187772
a90	0.302127	0.279344	0.167222	0.0826081	0.0607287	0.0773151	0.0205276	0.0037593	0.003604	0.00276432
a92	0.288103	0.217833	0.17205	0.110089	0.0638094	0.0921389	0.040489	0.00612037	0.00552749	0.0038401
a56	0.184445	0.135049	0.147542	0.147563	0.0957446	0.137201	0.0842244	0.025642	0.0240088	0.0185806
a44	0.17304	0.113685	0.141913	0.153865	0.0931947	0.117672	0.0811468	0.0386694	0.0435461	0.043268
a75	0.139748	0.100201	0.123068	0.148473	0.0960983	0.112406	0.0911121	0.0539897	0.0622873	0.0726173
a92	0.0828253	0.0668098	0.110204	0.154385	0.112315	0.126155	0.10264	0.0753248	0.0761818	0.0931592
a98	0.0893972	0.0785721	0.11365	0.144622	0.0998632	0.107393	0.106615	0.0899328	0.0799323	0.090023
a79	0.0606816	0.072036	0.105244	0.137732	0.0958924	0.0989674	0.128696	0.116993	0.0921449	0.0916125
a85	0.0593548	0.0713065	0.111257	0.148444	0.109842	0.113505	0.147666	0.105451	0.0682845	0.064889
a5	0.0425239	0.0595463	0.0877144	0.122416	0.0907651	0.0983364	0.157223	0.135344	0.102395	0.103736
a85	0.0317089	0.0567727	0.0855086	0.111104	0.0865141	0.0760852	0.123693	0.143724	0.120967	0.163923
a47	0.0167552	0.0306016	0.0562777	0.091549	0.0772326	0.0764289	0.144807	0.168415	0.150932	0.187001
a92	0.00416544	0.00934003	0.0232171	0.0478525	0.0421172	0.037219	0.114258	0.210836	0.199028	0.311966
a56	0.00782037	0.0150733	0.027711	0.0428556	0.0387767	0.0400736	0.096747	0.220079	0.231988	0.278876
a44	0.00265556	0.00468288	0.00998575	0.0189538	0.0179294	0.0167124	0.049597	0.177173	0.291853	0.410457
a62	0.00145379	0.00207167	0.00453194	0.0100669	0.00980274	0.00797783	0.027353	0.135891	0.289212	0.511639
a21	0.000432469	0.000463516	0.00109366	0.00316929	0.00397468	0.00338632	0.0144809	0.137342	0.286079	0.549579
a5	0.000374086	0.000486954	0.00102404	0.00208922	0.0022048	0.00162861	0.00742624	0.112356	0.273269	0.599141
a18	0.000251806	0.000306104	0.000606536	0.00140786	0.00153246	0.00127076	0.00535956	0.103232	0.288301	0.597732
a27	0.000425507	0.000396901	0.000888003	0.00339541	0.00395553	0.00377689	0.00997112	0.0923732	0.220294	0.664524
a82	0.0190513	0.015737	0.0344971	0.0667442	0.0520915	0.0328955	0.0375517	0.0911418	0.153944	0.496346
a87	0.155247	0.0625744	0.0664124	0.0835502	0.098145	0.113618	0.0709127	0.0810138	0.0928902	0.175637
a23	0.166717	0.0698081	0.0664999	0.078774	0.0849279	0.0952878	0.0593274	0.100385	0.109399	0.168874
a97	0.0187965	0.00422186	0.0025606	0.0043762	0.00429641	0.00718285	0.0113556	0.084021	0.249569	0.61362
</S>	0.00463871	0.00154987	0.00160125	0.00366069	0.00427788	0.00593167	0.0120933	0.0853647	0.238105	0.642777
