 	mon	fils	est	tenu	responsable	pour	tout	ce	qui	se	perd	dans	ce	village	</S>
a11	0.141091	0.10465	0.0818216	0.111477	0.0789701	0.0795185	0.0808022	0.0550526	0.0729741	0.0717868	0.0368537	0.0305484	0.0227488	0.0177383	0.0139669
a84	0.138576	0.0588671	0.0488403	0.0725133	0.0838565	0.0771211	0.0757246	0.0721146	0.0833315	0.0942406	0.0547137	0.0479895	0.0337865	0.0298494	0.0284757
a87	0.286391	0.12904	0.0701337	0.144044	0.105091	0.0831722	0.0505531	0.0332298	0.035315	0.0210304	0.0081029	0.0072473	0.00684332	0.00831331	0.011493
a23	0.231865	0.13006	0.0782262	0.172056	0.137058	0.0821097	0.0451454	0.0305981	0.0312643	0.016899	0.00839198	0.00860243	0.00792677	0.00849021	0.0113065
a87	0.249972	0.118086	0.0801154	0.114684	0.0715685	0.0609683	0.0402141	0.0416871	0.0385828	0.0492335	0.0386963	0.0284999	0.0206095	0.0213148	0.0257681
a99	0.253234	0.121869	0.0715848	0.0919745	0.0634641	0.0613806	0.0435172	0.040142	0.041385	0.0585124	0.0442792	0.0318494	0.0240743	0.0253864	0.0273471
a83	0.202549	0.101821	0.062482	0.0452012	0.0353625	0.0496983	0.0376434	0.0450412	0.0422844	0.0858412	0.0809324	0.0515649	0.0427365	0.0548256	0.0620164
a50	0.285627	0.225409	0.094885	0.056151	0.0377299	0.0397931	0.025931	0.0230346	0.0269519	0.0420737	0.0299914	0.0293299	0.0230519	0.0289488	0.0310921
a83	0.189961	0.164029	0.0988066	0.0947415	0.0709054	0.0552787	0.0402592	0.0346163	0.0428169	0.0538118	0.0403388	0.0358271	0.0260849	0.0263033	0.0262191
a11	0.10745	0.133268	0.108412	0.111181	0.0903584	0.059741	0.0476474	0.0405133	0.0494872	0.0544417	0.0474223	0.0454258	0.035361	0.0341374	0.0351524
a12	0.0690283	0.109817	0.104591	0.114957	0.103164	0.060463	0.0497444	0.0457878	0.0547671	0.0529214	0.0501736	0.0505701	0.0444973	0.0436003	0.0459182
a70	0.0443695	0.0744525	0.0870802	0.114306	0.118759	0.0638579	0.0533035	0.0527652	0.066064	0.0493718	0.0428582	0.0509801	0.0528268	0.0592407	0.0697642
a11	0.0434135	0.0757519	0.0916675	0.120894	0.121815	0.0659004	0.056383	0.0532494	0.0671023	0.0457874	0.0361852	0.0431273	0.0479957	0.0577078	0.0730196
a88	0.0355267	0.0599739	0.0834075	0.133918	0.139344	0.0677153	0.0554373	0.0471285	0.0584934	0.0344394	0.0280056	0.04057	0.0541247	0.0688546	0.0930611
a24	0.0281538	0.0454875	0.0781772	0.137765	0.135548	0.0706091	0.0591293	0.0500182	0.0613533	0.0383512	0.0294094	0.0383813	0.0517414	0.0712841	0.104591
a61	0.0176783	0.0284094	0.0680606	0.136453	0.132473	0.0722939	0.0656468	0.0556071	0.0648079	0.0423222	0.0324507	0.0376222	0.0506294	0.0741593	0.121386
a41	0.0164745	0.024987	0.0600115	0.119313	0.122775	0.0702184	0.0650583	0.0586043	0.0704273	0.0528918	0.0438277	0.0495628	0.0586005	0.0756888	0.11156
a70	0.0169896	0.0298536	0.0640322	0.10568	0.0900856	0.0515891	0.0546197	0.0517877	0.0703709	0.0665532	0.0551289	0.0582912	0.0648364	0.0873197	0.132862
a54	0.0118243	0.0207045	0.0602869	0.122505	0.125209	0.0730991	0.0715694	0.063001	0.0728644	0.0563544	0.0474372	0.0501824	0.0540423	0.0665042	0.104416
a14	0.0127995	0.0242988	0.0573283	0.0963477	0.0905445	0.0529863	0.054441	0.0513596	0.0659587	0.0676766	0.0640598	0.0766526	0.0780408	0.0911263	0.116379
