 	maman	pétrit	le	manioc	</S>
a66	0.604382	0.193023	0.0844715	0.06354	0.054584
a87	0.479151	0.262289	0.121211	0.0672595	0.0700901
a23	0.69414	0.164523	0.0542936	0.0369912	0.0500522
a13	0.610723	0.196289	0.0588341	0.0511399	0.0830136
a53	0.481788	0.194316	0.0896733	0.090044	0.144179
a93	0.516429	0.271319	0.104857	0.0612307	0.046164
a75	0.350688	0.36094	0.136646	0.0797224	0.072004
a85	0.267924	0.395515	0.200587	0.0853042	0.0506701
a6	0.217944	0.356228	0.231749	0.118913	0.0751668
a0	0.174059	0.247023	0.239544	0.187467	0.151907
a11	0.16259	0.218324	0.212253	0.194272	0.212561
a43	0.125657	0.179251	0.232422	0.225208	0.237462
a62	0.0944946	0.130225	0.21245	0.27423	0.2886
a88	0.0706218	0.092297	0.177166	0.309065	0.35085
a53	0.0247734	0.0304451	0.0827726	0.278245	0.583764
a69	0.0253476	0.0307945	0.0848307	0.280038	0.57899
a4	0.0096186	0.00995298	0.0368551	0.208073	0.7355
a57	0.00726914	0.00681996	0.0331872	0.214159	0.738565
a82	0.00777407	0.00850393	0.0335427	0.185351	0.764828
a87	0.155217	0.108015	0.149032	0.234433	0.353304
a23	0.373144	0.196836	0.145803	0.140607	0.14361
a10	0.191185	0.0780436	0.110506	0.233057	0.387208
a87	0.0294126	0.0250614	0.0775558	0.272507	0.595463
</S>	0.0211128	0.0162098	0.0638034	0.270352	0.628522
