 	je	ne	comprends	pas	comment	il	a	trompé	sa	belle	famille	</S>
a66	0.15919	0.122826	0.108424	0.107596	0.118979	0.116745	0.129051	0.0697524	0.0315334	0.0167822	0.0103678	0.00875153
a10	0.279637	0.181149	0.0874557	0.073853	0.0661261	0.0497425	0.050084	0.0391869	0.027297	0.0394105	0.0504934	0.0555648
a87	0.39483	0.217039	0.130255	0.0829779	0.0559675	0.0299106	0.0214978	0.0127379	0.0100417	0.0117824	0.0134945	0.0194653
a23	0.294771	0.220111	0.204859	0.100483	0.0596155	0.0292817	0.0249356	0.0177359	0.0118685	0.0123083	0.010857	0.0131746
a87	0.337385	0.198742	0.171864	0.0745457	0.0451821	0.0309898	0.029854	0.0273675	0.0191099	0.0188206	0.0202986	0.025841
a23	0.300804	0.18974	0.191273	0.0805241	0.0485274	0.0332124	0.0329678	0.0331296	0.022116	0.0206494	0.0216711	0.0253853
a50	0.289125	0.168182	0.136471	0.0644445	0.0472592	0.0400199	0.0423578	0.0464269	0.03682	0.035083	0.0411306	0.0526804
a83	0.475095	0.223844	0.094011	0.0373179	0.0231015	0.0184011	0.022764	0.0251367	0.0228241	0.020413	0.0189766	0.0181154
a9	0.445449	0.262647	0.104102	0.0402515	0.0236374	0.0182559	0.018389	0.0167814	0.0164442	0.0169728	0.0183202	0.0187494
a38	0.360213	0.241801	0.134906	0.0666125	0.0401698	0.0283278	0.0234524	0.0199895	0.020412	0.0212373	0.0220306	0.0208479
a99	0.271995	0.220718	0.16294	0.0823035	0.0499121	0.0352725	0.0289977	0.0260359	0.0272573	0.0305793	0.032791	0.0311987
a70	0.206357	0.227569	0.193835	0.100454	0.0557029	0.0354059	0.0257005	0.0231049	0.0260757	0.0316362	0.0373098	0.0368491
a13	0.187018	0.236602	0.21848	0.10507	0.060405	0.0396845	0.0257675	0.0217547	0.0232449	0.0251184	0.0271296	0.0297263
a18	0.167991	0.215028	0.219609	0.121041	0.0768093	0.0497058	0.0298088	0.023248	0.0236417	0.0222279	0.0236393	0.0272497
a50	0.135838	0.187751	0.202423	0.139975	0.103616	0.0680912	0.0368557	0.0257276	0.0257124	0.0225261	0.0237906	0.027694
a62	0.0889941	0.145937	0.187706	0.150869	0.128753	0.0916979	0.0492206	0.0334881	0.0326492	0.0266874	0.0286349	0.0353628
a47	0.108326	0.163895	0.176258	0.128968	0.107423	0.0900769	0.0562298	0.0367438	0.0329585	0.028012	0.0326597	0.0384506
a96	0.0704008	0.123038	0.169787	0.149436	0.142107	0.116712	0.0743569	0.0441002	0.0333974	0.0260431	0.0243621	0.0262598
a66	0.0588792	0.0947557	0.139345	0.135201	0.143485	0.13273	0.098132	0.0608686	0.0415287	0.0308697	0.0305134	0.0336919
a71	0.0385835	0.0708716	0.131803	0.165501	0.176178	0.142435	0.0972384	0.0527139	0.0365225	0.0281142	0.0269672	0.0330707
a83	0.0409806	0.0596177	0.115123	0.146103	0.168095	0.151945	0.113233	0.0701343	0.0504182	0.0353368	0.0242609	0.0247526
a70	0.0522843	0.0651817	0.0852253	0.109257	0.124606	0.121603	0.102619	0.0794189	0.0677433	0.0552226	0.0631023	0.0737363
a93	0.038338	0.0496982	0.0736014	0.0988526	0.129651	0.134698	0.128679	0.103002	0.0766846	0.056791	0.0521502	0.0578541
a90	0.0304702	0.040247	0.0634262	0.0842485	0.118157	0.127807	0.119927	0.0983533	0.0792072	0.0717007	0.0788502	0.0876066
a98	0.0124895	0.0221603	0.0466008	0.0639988	0.0974959	0.118923	0.125664	0.122501	0.102919	0.0934121	0.0932494	0.100586
a47	0.00935702	0.0149486	0.0317973	0.0474682	0.0856667	0.120361	0.13375	0.139067	0.109293	0.0950989	0.0985784	0.114614
a7	0.00517464	0.00771578	0.0142548	0.0277438	0.0705262	0.12918	0.159258	0.167341	0.116432	0.0757761	0.0889712	0.137627
a44	0.00641395	0.00874229	0.0176372	0.0379548	0.0871591	0.131788	0.148728	0.149671	0.101628	0.0745599	0.0882649	0.147453
a93	0.00686155	0.00893759	0.0179521	0.0329294	0.072561	0.107127	0.120405	0.132803	0.106954	0.0920347	0.116078	0.185355
a56	0.00488302	0.00702484	0.0157043	0.0298377	0.067734	0.0970726	0.109312	0.130657	0.120861	0.12466	0.128538	0.163716
a96	0.00299813	0.00448297	0.0100382	0.0183297	0.0434777	0.0642689	0.078605	0.107799	0.108332	0.145869	0.183908	0.231891
a66	0.00381222	0.00587054	0.0115001	0.0194201	0.0361186	0.0436704	0.050021	0.072387	0.0787415	0.132443	0.224278	0.321738
a57	0.00534409	0.0070019	0.0105345	0.0166759	0.0281231	0.0313275	0.0355035	0.054615	0.0629554	0.125257	0.252729	0.369933
a9	0.00943187	0.00946425	0.0129024	0.0204263	0.0374534	0.0464765	0.0578238	0.079622	0.0806012	0.124624	0.217484	0.30369
a87	0.022693	0.015467	0.0165203	0.0251911	0.0445406	0.0607028	0.0785058	0.103042	0.101348	0.12374	0.180879	0.22737
