 	il	est	un	nécessiteux	comme	moi	</S>
a84	0.366239	0.23738	0.106276	0.130651	0.0731907	0.0501497	0.0361139
a87	0.479654	0.272852	0.126343	0.0749728	0.022283	0.0137764	0.0101185
a23	0.367395	0.258622	0.169393	0.0957777	0.0419029	0.0317516	0.035158
a53	0.23598	0.204393	0.181356	0.149636	0.0762208	0.0701653	0.0822481
a15	0.411859	0.279818	0.143533	0.0747252	0.0291962	0.0299358	0.0309332
a47	0.273623	0.314696	0.249003	0.102472	0.0252316	0.0190046	0.0159691
a92	0.17074	0.304992	0.323923	0.12178	0.0296196	0.0248138	0.0241312
a85	0.178092	0.245738	0.3142	0.159231	0.04461	0.0306344	0.0274945
a6	0.15529	0.20855	0.271583	0.154936	0.0773395	0.0665168	0.0657847
a92	0.17751	0.198235	0.230329	0.154779	0.0846597	0.0753478	0.0791384
a56	0.178764	0.165258	0.182528	0.198622	0.103564	0.0833945	0.0878695
a93	0.118498	0.102418	0.12427	0.236068	0.155618	0.126421	0.136707
a4	0.056103	0.0423692	0.0561265	0.224848	0.236396	0.190733	0.193425
a62	0.0192261	0.0146132	0.0164591	0.0990928	0.184883	0.252852	0.412874
a75	0.0200391	0.0139062	0.0126278	0.0638388	0.155829	0.269159	0.4646
a25	0.00223485	0.00191675	0.00262308	0.0290209	0.15881	0.272931	0.532464
a69	0.00136333	0.00103889	0.00134861	0.0164991	0.128056	0.274131	0.577564
a40	0.000986432	0.000801651	0.00114854	0.013331	0.0941745	0.243049	0.646509
a98	0.0020395	0.00168986	0.00246488	0.0172822	0.0925251	0.219776	0.664222
a47	0.000509444	0.000477346	0.000795246	0.00863954	0.0746943	0.207609	0.707275
a7	0.000687162	0.000626212	0.0012429	0.0137475	0.0942257	0.234868	0.654603
a26	0.00898725	0.00762127	0.00890104	0.0391513	0.119283	0.2376	0.578455
a57	0.197131	0.118987	0.0862363	0.129828	0.111152	0.134109	0.222557
a87	0.324323	0.159665	0.0919011	0.124188	0.0795671	0.0911169	0.129239
a23	0.346491	0.197979	0.122298	0.143849	0.0650016	0.0609214	0.0634598
a99	0.0451009	0.0262413	0.0216341	0.0881812	0.195587	0.266155	0.3571
a2	0.0256964	0.0163549	0.0148754	0.067409	0.182263	0.258112	0.435289
</S>	0.011951	0.0109625	0.0151868	0.0598467	0.189093	0.256547	0.456413
