 	le	féticheur	lui	a	soigné	sa	brûlure	</S>
a85	0.365163	0.0952443	0.0561186	0.0606014	0.0976631	0.133896	0.0962079	0.0951059
a87	0.153959	0.0650509	0.0560015	0.0681096	0.0961855	0.161694	0.198223	0.200777
a23	0.296247	0.140097	0.0755849	0.0477651	0.0516392	0.0868518	0.152562	0.149253
a13	0.131607	0.0556111	0.0441847	0.0354011	0.0643118	0.140801	0.257785	0.270299
a38	0.290149	0.099413	0.0556088	0.0445518	0.0699472	0.103883	0.157395	0.179053
a30	0.527386	0.163703	0.0830364	0.05822	0.0618525	0.0442153	0.0296456	0.0319413
a35	0.226717	0.174886	0.155438	0.112257	0.0990946	0.0830653	0.0737348	0.0748085
a30	0.275904	0.206766	0.162072	0.107262	0.0789319	0.0623387	0.0553855	0.0513393
a41	0.100993	0.119897	0.141991	0.150632	0.125239	0.129548	0.112917	0.118784
a35	0.126293	0.134058	0.15153	0.157277	0.125625	0.121702	0.0934993	0.0900141
a12	0.124613	0.144087	0.164006	0.175194	0.132412	0.112562	0.0785026	0.068624
a94	0.150886	0.128248	0.122917	0.139408	0.161335	0.14236	0.0938119	0.0610335
a32	0.110472	0.122674	0.140147	0.165272	0.162095	0.135837	0.0944973	0.0690057
a75	0.0548633	0.0745618	0.108268	0.150525	0.168554	0.182031	0.151562	0.109635
a76	0.0540472	0.0625921	0.0849913	0.130808	0.186806	0.216447	0.157401	0.106908
a94	0.0406047	0.0470735	0.0725207	0.120909	0.199477	0.242055	0.166214	0.111146
a76	0.0191469	0.0215522	0.0383545	0.0720209	0.15197	0.278913	0.252437	0.165605
a14	0.0140849	0.0184933	0.0371864	0.0772669	0.169107	0.273558	0.240923	0.16938
a30	0.015789	0.0186505	0.032401	0.0582872	0.118953	0.236972	0.297161	0.221786
a2	0.00757253	0.00618794	0.00975387	0.0191679	0.0531278	0.182509	0.340284	0.381397
a57	0.00422358	0.00369393	0.00694112	0.0166885	0.0500638	0.165475	0.318622	0.434292
a87	0.00479925	0.0027604	0.00421398	0.01185	0.0581438	0.20901	0.316489	0.392734
a23	0.00906473	0.00656089	0.0101483	0.0221593	0.075259	0.187947	0.338967	0.349894
a79	0.0192682	0.0149339	0.0197025	0.0397752	0.128031	0.311481	0.259541	0.207267
a20	0.0140486	0.00807959	0.0101119	0.0201068	0.0754432	0.214624	0.296883	0.360702
a35	0.0126366	0.00843752	0.0139882	0.0363724	0.105532	0.228022	0.270037	0.324974
a24	0.00610784	0.00578513	0.0106822	0.0291936	0.0899222	0.196474	0.308006	0.353829
a30	0.00409239	0.0038074	0.00641543	0.0176157	0.0638118	0.18765	0.315391	0.401217
a35	0.00222875	0.00279824	0.00540011	0.0150187	0.0519291	0.165687	0.350427	0.406511
a24	0.00383219	0.00444666	0.00851725	0.0226885	0.0714415	0.186971	0.309834	0.392269
a32	0.00355959	0.00384027	0.00717942	0.0187258	0.0620493	0.165215	0.288411	0.45102
a90	0.00210285	0.00220165	0.00419258	0.011371	0.0388368	0.133434	0.321652	0.486209
a35	0.00129745	0.00151045	0.00321531	0.00935975	0.0332255	0.127097	0.324074	0.500221
a24	0.0010003	0.00111482	0.00273184	0.0077213	0.0292428	0.113604	0.301005	0.54358
a56	0.000530361	0.000483475	0.00122564	0.00367641	0.0174078	0.087046	0.328639	0.560992
a90	0.000883229	0.000883833	0.00183097	0.00493038	0.0203917	0.0811268	0.310342	0.579611
a94	0.000896275	0.000807297	0.00189785	0.00556964	0.0240747	0.0921878	0.323296	0.551271
a58	0.00183819	0.00121144	0.00252552	0.0068183	0.0319445	0.102759	0.318739	0.534164
a82	0.00310111	0.00213429	0.00409213	0.0100064	0.0383908	0.115954	0.334448	0.491874
a87	0.00438214	0.00298502	0.00440546	0.00793182	0.0274632	0.111589	0.357284	0.48396
</S>	0.00989152	0.00707634	0.00896825	0.0138392	0.0382303	0.145029	0.340166	0.436799
