 	les	enfants	d'	ossombo	sont	avides	de	nourriture	</S>
a84	0.256204	0.28969	0.247823	0.117239	0.0473245	0.0188019	0.0113746	0.00667907	0.00486408
a87	0.40379	0.210788	0.112715	0.130588	0.0546839	0.036349	0.0291255	0.0138698	0.00809091
a23	0.274091	0.182481	0.120622	0.0758507	0.0655349	0.0635077	0.0844219	0.0737065	0.0597836
a54	0.143543	0.107008	0.136989	0.13279	0.0847202	0.105247	0.115779	0.0883539	0.0855697
a47	0.160845	0.189933	0.193664	0.177037	0.136663	0.0569526	0.0365187	0.0253847	0.0230014
a85	0.181489	0.256007	0.151301	0.0820045	0.160319	0.0816823	0.0474342	0.024909	0.0148543
a47	0.143236	0.175581	0.0978711	0.0894104	0.246934	0.126698	0.0704153	0.0338275	0.0160271
a15	0.0999809	0.148168	0.0841513	0.0741752	0.307891	0.160348	0.0718683	0.0352824	0.0181346
a79	0.0876833	0.116841	0.100586	0.0805271	0.265757	0.156392	0.0896389	0.0630367	0.0395382
a56	0.100385	0.172198	0.143069	0.0702122	0.204398	0.103477	0.0763166	0.0719329	0.0580108
a25	0.0978482	0.112571	0.102274	0.0654166	0.192437	0.122945	0.112863	0.10134	0.0923062
a56	0.020523	0.0429793	0.0709837	0.055511	0.132125	0.101693	0.145245	0.194581	0.23636
a44	0.00655187	0.0081846	0.0207414	0.0324812	0.0945625	0.0886713	0.18476	0.230745	0.333302
a98	0.00582239	0.0053799	0.0104572	0.0168914	0.040357	0.0554477	0.170525	0.277555	0.417564
a47	0.0018373	0.00209952	0.0048898	0.0114106	0.0320877	0.0410834	0.143869	0.257728	0.504995
a92	0.000736314	0.000934205	0.00232977	0.00611392	0.0180771	0.0232052	0.0955784	0.278137	0.574888
a85	0.0014152	0.00169262	0.00281492	0.00673545	0.0131065	0.0173659	0.0722704	0.261672	0.622927
a6	0.000926707	0.00113908	0.00256317	0.006913	0.0174402	0.0222683	0.071251	0.244148	0.633351
a36	0.00731621	0.00756461	0.0101554	0.0216734	0.0329477	0.0360242	0.0889406	0.257114	0.538264
a85	0.00547455	0.00590693	0.00934834	0.0339125	0.0745488	0.0782422	0.134447	0.258726	0.399393
a47	0.00230074	0.00222333	0.00340181	0.0150874	0.0390342	0.0475468	0.0908813	0.292881	0.506643
a36	0.00124512	0.00190515	0.00324408	0.0116818	0.0275007	0.0363052	0.072424	0.29906	0.546634
a2	0.0155018	0.0163854	0.0237312	0.0580713	0.146574	0.149285	0.149795	0.211046	0.229611
a10	0.104721	0.0946588	0.0712088	0.0709664	0.0842997	0.0922647	0.124536	0.158721	0.198623
a87	0.339118	0.155831	0.0738777	0.136852	0.0758956	0.0658511	0.0598986	0.0453662	0.0473101
a23	0.223372	0.108599	0.080568	0.188716	0.108112	0.0806121	0.0830127	0.0646987	0.0623089
a97	0.0225145	0.0121055	0.0105497	0.0285026	0.030804	0.0648189	0.194782	0.263367	0.372555
</S>	0.00429768	0.0025799	0.0031207	0.00876507	0.0263337	0.0531482	0.145358	0.308977	0.44742
