 	cette	manière	d'	attiser	le	feu	est	celle	d'	un	homme	affamé	</S>
a66	0.107371	0.0672923	0.0514807	0.0366716	0.0496962	0.0912029	0.115167	0.169136	0.141529	0.106037	0.0317116	0.020388	0.0123176
a87	0.311714	0.159086	0.073973	0.0231612	0.0304426	0.0346144	0.0421086	0.0621514	0.0834995	0.0818842	0.050246	0.0276997	0.0194198
a23	0.416463	0.238597	0.108384	0.0519496	0.0329946	0.0289716	0.0250141	0.025633	0.019819	0.0206141	0.0148919	0.00723839	0.00943012
a83	0.252326	0.250058	0.102828	0.0765405	0.0796058	0.0698762	0.040939	0.0341024	0.0248832	0.0217654	0.020285	0.0142766	0.0125141
a9	0.236078	0.197525	0.131688	0.116582	0.0763133	0.0634054	0.0348455	0.0295864	0.0201475	0.0236706	0.0271351	0.0230856	0.0199382
a30	0.272257	0.163323	0.103994	0.1254	0.0821603	0.0648427	0.0340052	0.0245959	0.020278	0.0334531	0.0359172	0.0264312	0.0133432
a93	0.292069	0.170278	0.0956084	0.118655	0.0684312	0.0439124	0.0242919	0.0172999	0.0169205	0.0325076	0.0495506	0.0464116	0.0240633
a34	0.199141	0.163745	0.162636	0.183484	0.0877519	0.0589477	0.0282712	0.0188316	0.0135614	0.018863	0.0274768	0.0235713	0.0137183
a47	0.139267	0.155222	0.175566	0.220745	0.10842	0.0682775	0.0352361	0.0231622	0.0135216	0.0151471	0.0179274	0.0165548	0.0109535
a21	0.178602	0.182225	0.154159	0.1791	0.106686	0.0717606	0.0417869	0.0283544	0.0143609	0.0123416	0.0114665	0.0106513	0.00850642
a5	0.0937492	0.0960231	0.125613	0.199739	0.154048	0.109787	0.0757725	0.0551656	0.0273488	0.0199104	0.0155085	0.0146548	0.0126794
a61	0.0635304	0.0559747	0.0877797	0.180894	0.185975	0.141871	0.0952471	0.0715177	0.0376809	0.0257129	0.0189936	0.0172258	0.0175968
