 	le	conseil	de	famille	au	sujet	de	la	santé	de	tsanganzoro	s'	est	tenu	calmement	</S>
a97	0.177389	0.0700893	0.0388447	0.0263411	0.024616	0.0351358	0.0543582	0.0648848	0.0595831	0.0664511	0.0750827	0.0847197	0.079011	0.0527171	0.0403773	0.0503988
a99	0.228199	0.0891048	0.0469393	0.0282759	0.0308896	0.035215	0.0415956	0.0467008	0.0510442	0.0401881	0.0368122	0.0278997	0.0341573	0.0423014	0.0881203	0.132557
a97	0.283112	0.216376	0.0890334	0.04325	0.0351812	0.0341708	0.0279975	0.0271813	0.0192456	0.0146736	0.0115576	0.0116836	0.016798	0.0164727	0.0475465	0.10572
a83	0.209219	0.228232	0.0993392	0.0535163	0.0468938	0.0412554	0.0412509	0.0415919	0.0240112	0.0180423	0.0146797	0.0166659	0.0217634	0.0201695	0.0389684	0.0844008
a56	0.217195	0.149325	0.0570062	0.0459599	0.0460186	0.0408862	0.0438349	0.0421453	0.0259922	0.0231627	0.0196565	0.0260362	0.031387	0.0260299	0.0577127	0.147651
a25	0.295805	0.226283	0.120032	0.0819115	0.0482212	0.0299755	0.0233318	0.021088	0.014072	0.014577	0.0123845	0.0177436	0.0191919	0.0150859	0.024416	0.0358813
a98	0.171024	0.212771	0.173465	0.127574	0.0725393	0.0459662	0.0328178	0.0267285	0.0163915	0.0148251	0.0116057	0.0132403	0.0137026	0.0125894	0.0223913	0.0323681
a6	0.144657	0.168239	0.149671	0.126707	0.0889749	0.0733636	0.0530073	0.0417103	0.0277765	0.0237612	0.0161837	0.0144249	0.0128333	0.0124881	0.0204628	0.0257396
a36	0.0807615	0.112245	0.136086	0.158218	0.111493	0.103316	0.0732568	0.0555221	0.0357269	0.0274423	0.0195006	0.0174512	0.0152594	0.0135171	0.0181844	0.0220198
a11	0.0493094	0.0882988	0.0965265	0.129556	0.115151	0.128957	0.107107	0.0780317	0.0544551	0.0355448	0.0251443	0.0198825	0.0172142	0.0151929	0.0185101	0.0211175
a75	0.0495003	0.0988534	0.091644	0.104884	0.100485	0.115014	0.114832	0.0897954	0.0615844	0.0411338	0.0308326	0.0225382	0.0189543	0.0164342	0.0190101	0.024504
a6	0.0190313	0.0383845	0.0673483	0.123421	0.119746	0.146677	0.117706	0.084359	0.0658819	0.043945	0.0354401	0.0263222	0.0236626	0.0257695	0.0295169	0.0327881
a37	0.0130006	0.0332834	0.0681651	0.13923	0.13371	0.164666	0.117931	0.0792053	0.0624493	0.0380459	0.0301646	0.0203206	0.0180992	0.0209481	0.0263622	0.0344182
a85	0.0179225	0.0409197	0.0753974	0.124303	0.116532	0.142408	0.117233	0.0895055	0.0674673	0.0441477	0.0354648	0.0251913	0.0221239	0.02323	0.0271002	0.0310546
a61	0.0130897	0.0314012	0.0620367	0.118543	0.114407	0.151832	0.110027	0.079709	0.069955	0.0460848	0.04229	0.0302156	0.0273899	0.0342801	0.0314257	0.0373131
a43	0.0202649	0.0349071	0.063994	0.0981786	0.0999831	0.127157	0.122168	0.107675	0.0763724	0.0578797	0.0517746	0.0365656	0.0297073	0.0273641	0.0220908	0.0239173
a75	0.0239418	0.0356191	0.0578261	0.086814	0.092265	0.116915	0.117526	0.110126	0.0867035	0.0671707	0.0610913	0.0408385	0.0316662	0.0270368	0.0213416	0.0231179
a56	0.0129528	0.0226518	0.0371728	0.0693018	0.0744181	0.10678	0.096028	0.0800494	0.0728402	0.0586547	0.0656819	0.0555233	0.0516762	0.0703688	0.0620336	0.0638663
a90	0.015005	0.0233254	0.0475981	0.0870507	0.092038	0.124239	0.119019	0.105982	0.0759093	0.061556	0.0655627	0.0482802	0.0385118	0.0393138	0.0267396	0.0298694
a58	0.0185662	0.0253996	0.0438227	0.0911152	0.0940959	0.129376	0.114581	0.0953362	0.0737573	0.0544359	0.0572878	0.0422619	0.0367448	0.0442563	0.037068	0.0418951
a82	0.0134035	0.0183245	0.0294258	0.0690966	0.0844563	0.124397	0.112734	0.0976324	0.0800222	0.0638891	0.0698558	0.0485152	0.0425296	0.0421623	0.0384435	0.065112
a10	0.0194467	0.0261014	0.032746	0.0528062	0.0599883	0.0864638	0.0854302	0.0865981	0.0745816	0.0711401	0.0912971	0.0632537	0.0616086	0.0458844	0.0474126	0.0952411
a40	0.0120216	0.0146349	0.0171161	0.0310843	0.0469425	0.0739894	0.0832207	0.0902371	0.082031	0.0841039	0.0941186	0.0686749	0.0662766	0.0461397	0.0610311	0.128378
a47	0.0205328	0.0271812	0.0420862	0.0845982	0.0770847	0.111356	0.0804091	0.0532391	0.0435565	0.0357071	0.0360814	0.029636	0.0366144	0.0516921	0.0911674	0.179058
a44	0.00878117	0.0102606	0.0198353	0.0665128	0.0802424	0.129111	0.103252	0.0741995	0.0710983	0.0532379	0.0589549	0.0422817	0.0439874	0.0576875	0.069796	0.110761
a26	0.0119341	0.0139052	0.0233259	0.0648495	0.0845473	0.129099	0.105137	0.0821407	0.0692248	0.0526938	0.0593889	0.0447223	0.044502	0.049529	0.0574842	0.107517
a53	0.00780723	0.00908419	0.0141451	0.0374858	0.0538166	0.0835183	0.0757569	0.0642895	0.0577973	0.0497122	0.0609075	0.0485538	0.0554837	0.0602372	0.096382	0.225023
a76	0.0117714	0.0161237	0.0244679	0.0653386	0.0741188	0.107993	0.0886754	0.0676017	0.0583421	0.0465976	0.0528277	0.0405546	0.048144	0.060853	0.094502	0.142089
a94	0.0180982	0.0201597	0.0244066	0.0526323	0.0493647	0.0628947	0.0526878	0.0411924	0.0409042	0.0340664	0.0493274	0.0393589	0.0520914	0.0742807	0.135744	0.25279
a90	0.00418896	0.00488019	0.00860908	0.0289329	0.0482916	0.0796472	0.0545307	0.0396394	0.0431246	0.0323352	0.0380325	0.0350388	0.0504698	0.084901	0.171888	0.27549
a15	0.0179323	0.0216669	0.0316877	0.0727761	0.0676182	0.103594	0.0685152	0.0449044	0.0435408	0.032749	0.0374913	0.0269831	0.0362523	0.0527855	0.1137	0.227803
a25	0.0111453	0.0123513	0.0216066	0.0550862	0.0595318	0.0829073	0.0592655	0.0394654	0.0408434	0.0296787	0.0388737	0.0295389	0.0458591	0.0698063	0.147715	0.256326
a44	0.00759739	0.00862329	0.0166989	0.0383392	0.0455236	0.0676092	0.0506768	0.0354994	0.0420933	0.0273851	0.0312789	0.0263934	0.0411959	0.0620333	0.149352	0.349701
a11	0.00646423	0.00833267	0.0153895	0.0409804	0.0527178	0.0890421	0.0613032	0.0409562	0.0465839	0.0349205	0.0326234	0.0259375	0.034732	0.0549255	0.144581	0.31051
a75	0.00337279	0.00382693	0.00638621	0.0190489	0.0266177	0.0389261	0.0253965	0.0174505	0.0190708	0.0162324	0.0193226	0.0198841	0.0310322	0.0569653	0.198605	0.497862
a25	0.0063572	0.00770268	0.0142507	0.0434478	0.0488519	0.0655631	0.039372	0.0240008	0.0246244	0.0181967	0.0189914	0.0146157	0.0230465	0.0441573	0.166612	0.44021
a69	0.00551092	0.0071279	0.0158886	0.0470189	0.0507877	0.066345	0.044797	0.0281807	0.030355	0.0196446	0.0214197	0.0170145	0.0254679	0.0474188	0.189854	0.383169
a4	0.00260374	0.00422533	0.00974938	0.0290669	0.038772	0.0610638	0.0436169	0.0295304	0.037987	0.0279916	0.0330991	0.032203	0.0455097	0.0790803	0.186909	0.338592
a53	0.00264388	0.00377606	0.00803753	0.0249322	0.0345565	0.0530649	0.0335722	0.0212209	0.0258489	0.0195483	0.0193386	0.0191003	0.0288273	0.0555564	0.201218	0.448759
a90	0.00164811	0.00236068	0.00456497	0.0129924	0.019202	0.0301218	0.0200417	0.0142613	0.019918	0.0154354	0.0181024	0.0189622	0.0306781	0.0611029	0.237398	0.49321
a25	0.00156915	0.00209509	0.00402354	0.012244	0.0166833	0.0243734	0.0160266	0.0114632	0.0154615	0.0125955	0.016819	0.0184471	0.0292561	0.0602682	0.237429	0.521245
a21	0.00143275	0.00235909	0.00561672	0.0189871	0.026122	0.0389821	0.0254861	0.0149965	0.018363	0.0124164	0.0152176	0.0130584	0.0204468	0.0472976	0.233996	0.505222
a25	0.00621256	0.00709276	0.0108626	0.019303	0.0251318	0.0312447	0.0216242	0.0159697	0.0195658	0.0168463	0.0198351	0.0192416	0.0245254	0.0443967	0.208889	0.509259
a90	0.00323052	0.00428241	0.0101439	0.0314485	0.0443725	0.0543945	0.034714	0.0225015	0.0258044	0.0190501	0.0184483	0.0157164	0.0196408	0.0362394	0.194359	0.465653
a58	0.00101666	0.00144015	0.00307136	0.00857474	0.0130519	0.0190906	0.0137822	0.0101882	0.0146348	0.0116182	0.0139324	0.0168045	0.0251189	0.0537066	0.271312	0.522657
