 	ne	vous	fiez	pas	aux	paroles	des	féticheurs	</S>
a66	0.22533	0.202876	0.268223	0.0800433	0.0868261	0.109682	0.0130399	0.00844925	0.00553015
a87	0.28263	0.140558	0.0749534	0.0647363	0.11677	0.131004	0.0726651	0.0583249	0.0583574
a23	0.287631	0.188149	0.148892	0.0956251	0.120066	0.106363	0.0232294	0.0152821	0.0147616
a87	0.246288	0.178569	0.214804	0.0990846	0.0991366	0.10207	0.0296419	0.016017	0.0143896
a23	0.183394	0.186565	0.276608	0.109942	0.0945991	0.100468	0.0260625	0.0133989	0.0089632
a18	0.229664	0.187507	0.251709	0.083045	0.0697432	0.0894297	0.0398016	0.0254178	0.0236823
a75	0.237408	0.198362	0.251046	0.0796387	0.0564655	0.0850218	0.0463202	0.0243743	0.0213623
a6	0.239922	0.196689	0.259709	0.0731038	0.0471705	0.0743014	0.0518978	0.0307442	0.0264626
a79	0.13171	0.142667	0.221667	0.104689	0.0871766	0.150764	0.0827658	0.0506862	0.0278745
a98	0.105415	0.135255	0.186452	0.137376	0.105356	0.134381	0.0858908	0.0663398	0.0435338
a92	0.0760482	0.107662	0.163785	0.149296	0.115221	0.134807	0.101194	0.0854014	0.0665869
a12	0.106647	0.108476	0.164135	0.165563	0.137042	0.148837	0.0725189	0.0518752	0.0449048
a43	0.109713	0.126122	0.199361	0.169856	0.141599	0.138021	0.0524518	0.0360318	0.0268441
a0	0.0737725	0.120996	0.200806	0.19744	0.16469	0.139838	0.0446681	0.0335749	0.0242157
a62	0.0353461	0.0809878	0.159091	0.252829	0.217524	0.152352	0.0436571	0.0323101	0.0259016
a96	0.0245005	0.056169	0.132498	0.24375	0.238139	0.171782	0.0675175	0.0375522	0.028091
a90	0.0169995	0.0341908	0.0944508	0.231866	0.243682	0.203199	0.0808436	0.0512323	0.0435359
a4	0.00677722	0.0141738	0.0466889	0.156518	0.183211	0.166134	0.151667	0.147316	0.127515
a53	0.00991154	0.0186141	0.0495533	0.16803	0.201207	0.172644	0.142626	0.125723	0.111691
a90	0.00989568	0.0145052	0.0347687	0.11454	0.158485	0.141809	0.162184	0.17818	0.185632
a25	0.00552225	0.00937136	0.0216321	0.0924884	0.13996	0.123551	0.158988	0.201543	0.246944
a21	0.00915225	0.0161463	0.0375771	0.131958	0.168455	0.14266	0.149482	0.154899	0.18967
a12	0.00668038	0.00878714	0.0171805	0.0542579	0.0919497	0.111274	0.148497	0.227377	0.333996
a43	0.00550623	0.00677344	0.0119222	0.0404142	0.0745963	0.0948558	0.153928	0.247048	0.364955
a21	0.0262856	0.0325178	0.0480662	0.0906151	0.1264	0.117432	0.143083	0.193908	0.221692
a85	0.00487508	0.00546557	0.00886886	0.0283661	0.0506855	0.0583351	0.134839	0.247245	0.46132
a6	0.0044243	0.00697518	0.0124305	0.0226653	0.0341415	0.0472159	0.110739	0.232407	0.529001
a37	0.00693354	0.0085097	0.0125342	0.0356582	0.0586648	0.0527529	0.156891	0.208227	0.459829
a36	0.00790376	0.00743888	0.00864882	0.0221079	0.0334204	0.0216269	0.105776	0.266666	0.526412
a26	0.0285967	0.0278593	0.0280365	0.0370306	0.0449491	0.0279789	0.101192	0.260835	0.443521
a27	0.0565613	0.0554862	0.0473457	0.048434	0.057351	0.0358399	0.107908	0.241655	0.34942
a57	0.0549295	0.0593664	0.0506255	0.0554872	0.0718843	0.0566999	0.147072	0.251515	0.252421
a87	0.0533481	0.0339569	0.03006	0.0425794	0.0763921	0.0634666	0.208024	0.272564	0.21961
a57	0.0665453	0.0293042	0.0213255	0.0404961	0.0868078	0.0690829	0.254565	0.23678	0.195094
a87	0.0946262	0.0374447	0.0253827	0.0689257	0.12801	0.122336	0.249944	0.161551	0.11178
a97	0.0918741	0.0426849	0.0325572	0.0725713	0.115248	0.107733	0.222433	0.17819	0.136708
a87	0.148265	0.0661163	0.0402748	0.077176	0.123965	0.106239	0.173406	0.135656	0.128901
a23	0.0975206	0.0520156	0.0368673	0.0904627	0.13459	0.118088	0.178518	0.143633	0.148305
a97	0.0402066	0.0211522	0.0147097	0.0403902	0.0636166	0.0572255	0.169525	0.211393	0.381781
a10	0.0839639	0.0387732	0.0233962	0.0588564	0.0797435	0.0719077	0.14884	0.172261	0.322259
</S>	0.107559	0.0505065	0.0314075	0.0821712	0.110311	0.0973647	0.15053	0.149861	0.220288
