 	fais	lui	écouter	les	chansons	d'	okwakassa	</S>
a23	0.290054	0.121765	0.13984	0.122112	0.0996863	0.0850065	0.0654758	0.0760615
a99	0.376372	0.178135	0.180379	0.122034	0.0542375	0.0331705	0.0231227	0.0325504
a53	0.400963	0.250579	0.164737	0.0705163	0.0388678	0.0228943	0.0188944	0.0325491
a90	0.55101	0.2166	0.132689	0.0477236	0.0241751	0.0131756	0.00729568	0.00733149
a70	0.390702	0.248594	0.178214	0.0842439	0.0494131	0.0233596	0.0124976	0.0129758
a61	0.283427	0.262039	0.218888	0.109475	0.0607956	0.0286472	0.0177116	0.0190157
a12	0.236158	0.266974	0.231003	0.122519	0.0711158	0.0325271	0.019797	0.0199066
a0	0.229156	0.243781	0.225576	0.136868	0.0868612	0.0394705	0.0199546	0.0183322
a75	0.10852	0.177505	0.267027	0.20664	0.126051	0.05134	0.0314563	0.0314613
a73	0.0976479	0.133201	0.184211	0.172862	0.170265	0.105654	0.0732893	0.0628696
a69	0.0718212	0.0988327	0.177427	0.205249	0.192745	0.108536	0.0759871	0.0694021
a44	0.039215	0.0533842	0.0998172	0.178222	0.244762	0.166573	0.114575	0.103452
a56	0.0338416	0.0470824	0.102753	0.192099	0.242123	0.160715	0.116564	0.104822
a66	0.041738	0.0560309	0.11319	0.201612	0.221313	0.152811	0.117358	0.0959475
a11	0.0175555	0.0269656	0.0781777	0.219298	0.271636	0.155784	0.111062	0.119521
a75	0.0215511	0.031231	0.0759311	0.214209	0.279061	0.156794	0.103582	0.117641
a66	0.0213349	0.0302475	0.0597312	0.134018	0.222014	0.173009	0.174075	0.185571
a90	0.0138404	0.0194375	0.0494101	0.157779	0.279701	0.200156	0.132396	0.14728
a44	0.0115167	0.0152283	0.0382362	0.123416	0.25316	0.209634	0.165126	0.183682
a20	0.00735187	0.0103383	0.0261007	0.0861241	0.216863	0.218505	0.204314	0.230402
a58	0.00975534	0.0135314	0.0289241	0.0743066	0.176351	0.167766	0.206155	0.323211
a15	0.00218995	0.00260076	0.00496812	0.0170591	0.0637729	0.140679	0.256338	0.512392
a73	0.00469543	0.00533203	0.00934555	0.0243173	0.0751173	0.138943	0.236607	0.505642
a84	0.00341704	0.00449545	0.00858833	0.0239943	0.0840142	0.149274	0.246159	0.480057
a40	0.00266351	0.00252781	0.00399474	0.011186	0.0396233	0.1028	0.270952	0.566253
a98	0.0112196	0.0114936	0.0174664	0.0419997	0.0990235	0.138256	0.206024	0.474517
a73	0.00646017	0.00727877	0.0120634	0.030736	0.0920564	0.137703	0.202865	0.510837
a11	0.00178707	0.00279224	0.00507336	0.0144938	0.0503592	0.101931	0.237242	0.586321
a27	0.00254449	0.00236003	0.00404228	0.0100144	0.0284576	0.0863363	0.27841	0.587834
a57	0.0124054	0.0085686	0.0111586	0.0194914	0.0420675	0.116938	0.271806	0.517565
a10	0.0354336	0.0194914	0.0190105	0.028172	0.0540067	0.152766	0.277222	0.413898
a87	0.0359119	0.0205975	0.0200537	0.035027	0.0736361	0.170968	0.257726	0.38608
a23	0.07546	0.0406116	0.0368075	0.0693076	0.104995	0.174672	0.207392	0.290755
a87	0.0423734	0.0288504	0.0412576	0.10239	0.163533	0.206497	0.188758	0.226341
</S>	0.0246133	0.0133256	0.0180843	0.0532319	0.112719	0.196559	0.253617	0.32785
