 	mon	chien	avait	disparu	pour	de	bon	</S>
a66	0.344815	0.171655	0.122317	0.0988038	0.0937323	0.0792793	0.0542277	0.0351708
a87	0.249857	0.167015	0.114238	0.129993	0.124476	0.110241	0.0664954	0.0376842
a23	0.373936	0.242721	0.1168	0.102821	0.0597988	0.0484029	0.0315821	0.0239385
a38	0.370432	0.25341	0.14169	0.113526	0.0451846	0.031247	0.0240462	0.0204641
a98	0.404063	0.217401	0.0937306	0.0777229	0.0555112	0.0534721	0.0517936	0.0463054
a92	0.390445	0.23039	0.117395	0.0840987	0.0569176	0.0447162	0.0412207	0.0348178
a85	0.196866	0.210152	0.183432	0.153778	0.0940821	0.0712206	0.0535243	0.0369459
a6	0.178541	0.184463	0.146681	0.131386	0.0994308	0.107743	0.0911763	0.0605789
a37	0.152329	0.168903	0.175404	0.15021	0.0893429	0.102621	0.0930378	0.0681517
a85	0.148047	0.167707	0.193477	0.162176	0.0935736	0.09462	0.0774546	0.0629441
a92	0.0477486	0.0754744	0.129401	0.129616	0.118799	0.162022	0.17405	0.162889
a21	0.0546707	0.0779063	0.128212	0.136352	0.14931	0.173663	0.153712	0.126173
a12	0.0266478	0.0410807	0.0738472	0.0840145	0.142116	0.205414	0.225344	0.201536
a98	0.0120307	0.0176029	0.0390557	0.0509299	0.122867	0.211869	0.279275	0.26637
a79	0.00557085	0.00720288	0.0187627	0.0263528	0.0822508	0.16406	0.290712	0.405088
a7	0.00290235	0.00359277	0.0103323	0.0157519	0.0600865	0.129573	0.2533	0.524461
a90	0.00245247	0.00300057	0.00699964	0.0104969	0.0444728	0.0995521	0.218296	0.61473
a69	0.00146731	0.00207493	0.005493	0.00927273	0.043366	0.106831	0.227125	0.60437
a58	0.00199433	0.00250932	0.00570922	0.0087873	0.0410207	0.0983621	0.22976	0.611857
a82	0.00300725	0.00400567	0.0103187	0.0196582	0.0563141	0.118805	0.242304	0.545586
a97	0.0564247	0.0491427	0.0663201	0.0845014	0.118692	0.145611	0.199858	0.27945
a87	0.156517	0.102907	0.082664	0.101548	0.135391	0.13773	0.139018	0.144224
a97	0.125597	0.0868228	0.0736681	0.0966925	0.15179	0.171364	0.147935	0.146131
a10	0.0832243	0.0633825	0.0630671	0.0826554	0.144808	0.184161	0.176664	0.202038
a57	0.10289	0.0789154	0.0735115	0.0877179	0.11657	0.152893	0.163054	0.224449
</S>	0.0890313	0.0762289	0.0795453	0.0899529	0.119792	0.160045	0.165284	0.220121
