 	va	chercher	l'	homme	qui	est	adossé	à	l'	arbre	</S>
a23	0.143716	0.0807848	0.0536862	0.0490257	0.0634011	0.0888681	0.125782	0.134354	0.118549	0.0874092	0.0544235
a11	0.138556	0.102293	0.0859048	0.0843328	0.0845094	0.0703764	0.0658676	0.0835448	0.0883189	0.095962	0.100334
a90	0.233396	0.182457	0.124957	0.0921356	0.0740573	0.0458164	0.0580198	0.0489419	0.0509169	0.0498516	0.0394505
a76	0.30126	0.200971	0.107972	0.0680153	0.0768253	0.0570182	0.0730568	0.0417098	0.0360858	0.022946	0.014139
a41	0.213188	0.204958	0.160002	0.107224	0.0959422	0.0621676	0.0546211	0.0333585	0.0297563	0.0218696	0.0169133
a35	0.203069	0.18093	0.158311	0.115889	0.0946995	0.069683	0.0553005	0.0385847	0.0345238	0.0270946	0.0219142
a14	0.188281	0.160767	0.147604	0.112638	0.0986044	0.0849379	0.0707588	0.0452927	0.0393952	0.0294855	0.0222368
a35	0.152853	0.12857	0.141729	0.123939	0.110383	0.106058	0.0792063	0.0535587	0.0451395	0.0336013	0.0249619
a76	0.140425	0.122756	0.148859	0.140285	0.121326	0.102606	0.0676445	0.0492105	0.0436835	0.0346353	0.0285683
a94	0.101564	0.0972455	0.123663	0.131899	0.122819	0.115953	0.0826257	0.0656837	0.0610816	0.051062	0.0464041
a41	0.0562762	0.0555812	0.0882984	0.122268	0.140114	0.14443	0.103464	0.0843941	0.0775339	0.0675921	0.0600484
a66	0.0482891	0.0536439	0.0880638	0.118685	0.135559	0.139904	0.106542	0.0878426	0.0820618	0.0734361	0.0659725
a38	0.0201294	0.02703	0.0561579	0.102949	0.14783	0.172844	0.138187	0.101227	0.0868362	0.0766386	0.0701702
a26	0.0152982	0.0217096	0.0451116	0.0879402	0.13496	0.163597	0.143846	0.110253	0.0974071	0.0911485	0.0887288
a98	0.0163986	0.0227714	0.0492428	0.093641	0.138219	0.141627	0.14052	0.111541	0.100771	0.0925864	0.0926821
a76	0.0158538	0.0212352	0.0372266	0.0647869	0.104221	0.137993	0.146674	0.117322	0.112043	0.116776	0.12587
a90	0.0235786	0.0286249	0.0387264	0.0566636	0.0853024	0.12023	0.132652	0.122962	0.122131	0.128836	0.140293
a25	0.0258194	0.036201	0.0521093	0.069861	0.0934216	0.117315	0.131908	0.122263	0.118914	0.113764	0.118424
a76	0.019331	0.0291668	0.0429447	0.0594142	0.0783024	0.0977576	0.133102	0.122994	0.131306	0.137514	0.148168
a94	0.0162086	0.0175974	0.0221263	0.0300801	0.0408459	0.0518023	0.0831878	0.100523	0.139806	0.214105	0.283719
a76	0.00882411	0.0126452	0.0204204	0.0302473	0.0439919	0.066747	0.103455	0.134636	0.155603	0.190056	0.233373
a94	0.0164784	0.0182869	0.0237708	0.0293763	0.0421858	0.0518885	0.0809723	0.116939	0.156089	0.207901	0.256113
a24	0.011271	0.0126705	0.0213119	0.0284549	0.0400697	0.0436735	0.0638604	0.0981262	0.1439	0.216818	0.319844
a98	0.00560887	0.00537454	0.0090433	0.0137725	0.0229053	0.0272828	0.0457335	0.0796576	0.126235	0.240399	0.423988
a71	0.00626359	0.00620067	0.0100214	0.0137606	0.0216129	0.0266263	0.0504472	0.105861	0.160994	0.240374	0.357839
a38	0.0129632	0.00896329	0.012196	0.0152078	0.0236852	0.0286853	0.0439473	0.0822126	0.128391	0.238346	0.405402
a76	0.00860384	0.00496535	0.00618353	0.00792975	0.0132789	0.0171555	0.0312011	0.0748905	0.126499	0.260242	0.449051
a73	0.00459386	0.0046297	0.00738542	0.00995215	0.0152142	0.018403	0.0331452	0.0927115	0.156952	0.267702	0.389311
a84	0.00491233	0.00418879	0.00656043	0.00899113	0.0133772	0.0164045	0.0306219	0.0984293	0.160892	0.263613	0.39201
a57	0.0119505	0.00681316	0.00679511	0.00828182	0.0134096	0.0171315	0.0352579	0.09199	0.144139	0.274634	0.389598
a87	0.0183692	0.0105801	0.00733222	0.00604426	0.00842804	0.0152931	0.050054	0.119381	0.171625	0.269168	0.323725
</S>	0.0120981	0.00796851	0.00528875	0.00425467	0.00646872	0.016088	0.0765192	0.152536	0.195398	0.246552	0.276829
