 	l'	éléphant	barrit	</S>
a23	0.702633	0.198272	0.0549716	0.0441237
a83	0.656211	0.227704	0.0615366	0.054548
a90	0.469303	0.333768	0.134397	0.0625327
a25	0.462491	0.367588	0.120304	0.0496167
a21	0.362785	0.35185	0.183706	0.101659
a85	0.341197	0.330875	0.215009	0.112919
a47	0.249126	0.217264	0.226878	0.306732
a7	0.141509	0.139477	0.228618	0.490396
a90	0.0336352	0.0482688	0.199667	0.718429
a69	0.00713914	0.0155892	0.11405	0.863221
a58	0.00726221	0.0133033	0.090027	0.889407
a82	0.0107984	0.0253796	0.10979	0.854032
a87	0.123391	0.124062	0.148753	0.603794
a23	0.432152	0.252956	0.170424	0.144468
a87	0.263588	0.226176	0.258683	0.251552
</S>	0.086215	0.103853	0.25191	0.558022
