 	aucun	homme	n'	est	venu	hier	</S>
a23	0.320515	0.148026	0.108815	0.0974338	0.1035	0.0964598	0.125251
a54	0.380901	0.206936	0.145296	0.0953966	0.0603665	0.0439976	0.0671052
a14	0.440318	0.222597	0.114384	0.0841693	0.0688301	0.0360257	0.0336759
a44	0.46788	0.305053	0.123112	0.0598631	0.0247904	0.0100629	0.00923833
a84	0.486918	0.28238	0.122377	0.0572607	0.0229705	0.0132591	0.0148341
a57	0.355944	0.245416	0.17052	0.106039	0.0529304	0.0335663	0.0355844
a53	0.257405	0.17584	0.146372	0.12724	0.100458	0.0903573	0.102327
a76	0.243198	0.236448	0.179405	0.127226	0.0785596	0.0621975	0.0729662
a73	0.221504	0.268466	0.190907	0.11715	0.0799466	0.0617419	0.0602847
a84	0.218058	0.243932	0.198322	0.125297	0.0823003	0.0644493	0.0676418
a57	0.135664	0.134594	0.157807	0.158368	0.129971	0.123153	0.160444
a87	0.158047	0.153296	0.183412	0.170839	0.118621	0.0954675	0.120318
a23	0.123337	0.124169	0.1431	0.166579	0.144867	0.128932	0.169016
a10	0.117547	0.126129	0.15126	0.169005	0.144562	0.130709	0.160788
a11	0.104849	0.112605	0.129216	0.153708	0.161165	0.154489	0.18397
a24	0.114576	0.13773	0.152926	0.169647	0.155944	0.130735	0.138441
a31	0.137997	0.193596	0.187029	0.157707	0.127191	0.100682	0.0957982
a88	0.134802	0.175857	0.210222	0.190983	0.133345	0.0845318	0.0702588
a57	0.121799	0.135977	0.175548	0.193493	0.159399	0.114821	0.0989627
a47	0.0555468	0.0613731	0.107734	0.188152	0.242649	0.190575	0.15397
a62	0.0956069	0.0817062	0.100893	0.153086	0.186828	0.178114	0.203767
a66	0.0852879	0.0623603	0.068884	0.101165	0.164905	0.227176	0.290222
a9	0.0621714	0.0488119	0.0586064	0.0980449	0.185429	0.242291	0.304645
a38	0.0368747	0.0253724	0.0327148	0.0644609	0.162789	0.278628	0.39916
a90	0.0647147	0.0396797	0.0382067	0.0581768	0.137084	0.260725	0.401413
a25	0.0544978	0.0299644	0.0292278	0.0488722	0.128217	0.287545	0.421676
a92	0.0354809	0.0254335	0.028903	0.049471	0.134388	0.295743	0.43058
a12	0.0491538	0.0274567	0.0292637	0.0458178	0.126367	0.292057	0.429884
a18	0.0278713	0.0183298	0.0177995	0.0258343	0.0701024	0.279725	0.560338
a61	0.0184913	0.0162113	0.0155241	0.0213361	0.0481595	0.195424	0.684854
a75	0.0249275	0.0174671	0.0190288	0.0271025	0.0661663	0.232936	0.612372
a21	0.0374224	0.0213357	0.021499	0.0291962	0.0633556	0.232693	0.594498
a85	0.0243473	0.0139326	0.0161788	0.0239399	0.0631616	0.259238	0.599202
a6	0.0154089	0.0109353	0.0128262	0.0238711	0.0688501	0.278409	0.589699
a27	0.0112186	0.00834419	0.011007	0.0220341	0.0681309	0.264112	0.615154
a54	0.00145671	0.00139757	0.0022441	0.00578488	0.0271637	0.182753	0.7792
a73	0.00173333	0.00169635	0.00251521	0.00652733	0.0295975	0.194602	0.763328
a84	0.00182479	0.00210943	0.00296757	0.00705508	0.0277405	0.183617	0.774686
a57	0.00227961	0.00422666	0.00630234	0.0135556	0.0405312	0.215446	0.717659
a87	0.022559	0.0294299	0.02805	0.0337996	0.06544	0.223696	0.597026
</S>	0.0209125	0.0265014	0.021964	0.0322378	0.0840564	0.214288	0.60004
